R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fixed_OM_cost_per_MWhyr,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Fixed_CAP,Fixed_CAP_MW,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,Cost_sheet_name,index
32,7,Wind_z07_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z06_02,32
33,8,Wind_z08_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1339,0,0,0,1,-1,-1,0,0,0,0,25766,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z08_01,33
34,8,Wind_z08_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1920,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z08_02,34
35,9,Wind_z09_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1461,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z09_01,35
36,9,Wind_z09_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2805,0,0,0,1,-1,-1,0,0,0,0,32050,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z09_02,36
37,10,Wind_z10_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2712,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z10_01,37
38,10,Wind_z10_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1221,0,0,0,1,-1,-1,0,0,0,0,23146,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z10_02,38
39,11,Wind_z11_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z10_02,39
40,12,Wind_z12_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,29,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z10_02,40
41,13,Wind_z13_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,344,0,0,0,1,-1,-1,0,0,0,0,33324,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z13_01,41
42,13,Wind_z13_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1130,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z13_02,42
43,14,Wind_z14_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,861,0,0,0,1,-1,-1,0,0,0,0,44229,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z14_01,43
44,14,Wind_z14_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1499,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z14_02,44
45,15,Wind_z15_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2431,0,0,0,1,-1,-1,0,0,0,0,36030,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z15_01,45
46,15,Wind_z15_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3380,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z15_02,46
47,16,Wind_z16_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2678,0,0,0,1,-1,-1,0,0,0,0,39116,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z16_01,47
