Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,,,,,,,,,,,,119,9466.78584230726,2703.6014717458715,1290.345886308041
,,,,,,,,,,,,,,,,,,,120,8598.348543056227,2455.7713368358336,1172.5762220815132
,,,,,,,,,,,,,,,,,,,121,8010.5148051197975,2287.820336318287,1091.6735831780727
,,,,,,,,,,,,,,,,,,,122,7674.609812013264,2191.5557384606686,1045.589801524214
,,,,,,,,,,,,,,,,,,,123,7519.9706231136115,2147.5198053981417,1025.1081207891657
,,,,,,,,,,,,,,,,,,,124,7464.669191321682,2132.158433399585,1017.939532531899
,,,,,,,,,,,,,,,,,,,125,7662.3206049483915,2188.4834640609574,1044.5657174874616
,,,,,,,,,,,,,,,,,,,126,8338.226993516413,2381.0126597761937,1136.7332807951789
,,,,,,,,,,,,,,,,,,,127,9614.256327085739,2745.5892218752583,1310.8275670430892
,,,,,,,,,,,,,,,,,,,128,10479.621324570555,2992.395265318726,1428.5972312696167
,,,,,,,,,,,,,,,,,,,129,10746.911578231546,3069.2021253115067,1465.4642565927036
,,,,,,,,,,,,,,,,,,,130,10922.032778905987,3119.382607173456,1489.018189438009
,,,,,,,,,,,,,,,,,,,131,11039.80434661102,3153.17762557028,1504.3794499892954
,,,,,,,,,,,,,,,,,,,132,11077.69606839438,3163.418540235984,1509.4998701730574
,,,,,,,,,,,,,,,,,,,133,11001.912624827663,3141.9126194380055,1499.2590298055331
,,,,,,,,,,,,,,,,,,,134,10913.839974196071,3117.334424240316,1487.9941054012565
,,,,,,,,,,,,,,,,,,,135,10769.441791183812,3075.346674110929,1468.5365087029606
