region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,THERM,Commit,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag_1,MinCapTag_2,MinCapTag_3
NENG_ME,1,NENG_ME_conventional_hydroelectric_1,other_renewables,0,26,3,0,0,0,1,0,0,0,0,0,0.8,0,1,0,0,327.81,0,0,-1,7.8,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.402,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
NENG_ME,1,NENG_ME_natural_gas_fired_combined_cycle_1,natural_gas,1,27,3,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,274.5,0,0,0,137.25,0,0,0,-1,0,-1,0,16291,0,0,0,0,4.5,0,91,2,12.62,NENG_ME_NG,0.474,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENG_ME,2,NENG_ME_natural_gas_fired_combined_cycle_2,natural_gas,1,28,3,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,1114.1,0,0,0,557.05,0,0,0,-1,0,-1,0,9668,0,0,0,0,3.57,0,91,2,7.65,NENG_ME_NG,0.386,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENG_ME,1,NENG_ME_natural_gas_fired_combustion_turbine_1,natural_gas,1,29,3,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,163.5,0,0,0,54.5,0,0,0,-1,0,-1,0,11540,0,0,0,0,4.6,0,118,3.5,4.75,NENG_ME_NG,0.697,0,1,1,1,0,0,0,0,1,3.78,3.78,1,1,0.315,0.63,0,0,0,0,0
NENG_ME,1,NENG_ME_onshore_wind_turbine_1,onshore_wind,1,30,3,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,1190.9,0,0,0,48.5,0,0,0,-1,0,-1,0,43205,0,0,0,0,-18,0,0,0,9.12,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,1,0,0
NENG_ME,1,NENG_ME_small_hydroelectric_1,other_renewables,0,31,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,195.266,0,0,-1,1.1,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.192,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENG_ME,1,NENG_ME_solar_photovoltaic_1,solar,1,32,3,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,11.8,0,0,0,1.5,0,0,0,-1,0,-1,0,18760,0,0,0,0,0,0,0,0,9.12,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENGREST,0,NENGREST_naturalgas_ccccsavgcf_mid_0,natural_gas_CCS,1,33,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,500,0,-1,0,-1,0,-1,229388,27483,0,0,0,0,5.82,0,103,0,7.52,NENGREST_NG_ccs90,0.6,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENGREST,0,NENGREST_naturalgas_ccavgcf_mid_0,natural_gas,1,34,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,1,500,0,-1,0,-1,0,-1,110025,12441,0,0,0,0,1.61,0,103,2,6.27,NENGREST_NG,0.2,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENGREST,0,NENGREST_naturalgas_ctavgcf_mid_0,natural_gas,1,35,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,1,100,0,-1,0,-1,0,-1,81998,6960,0,0,0,0,4.49,0,134,3.5,9.9,NENGREST_NG,0.3,0,1,1,1,0,0,0,0,1,3.78,3.78,1,1,0.315,0.63,0,0,0,0,0
NENGREST,0,NENGREST_battery_mid_0,battery_mid,0,36,1,0,0,1,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,19584,4895,22494,5622,0,0,0.15,0.15,0,0,0,None,0,0,0.92,0.92,1,1,10,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENGREST,0,NENGREST_naturalgas_ccs100_mid_0,natural_gas_CCS,1,37,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,500,0,-1,0,-1,0,-1,239841,37153,0,0,0,0,6.26,0,103,0,7.89,NENGREST_NG_ccs100,0.6,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENGREST,1,NENGREST_landbasedwind_ltrg1_mid_130_1,onshore_wind,1,38,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,0,0,0,1,1,0,4888.236,0,-1,0,-1,194100,41460,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,1,0,0
NENGREST,1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,solar,1,39,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,0,0,0,1,1,0,20835.569,0,-1,0,-1,99283,13055,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,1
NENGREST,1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,offshore_wind,1,40,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,0,0,0,1,1,0,9848.442,0,-1,0,-1,260044,91549,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,1,1,0
NENG_CT,0,NENG_CT_naturalgas_ccccsavgcf_mid_0,natural_gas_CCS,1,41,2,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,500,0,-1,0,-1,0,-1,229388,27483,0,0,0,0,5.82,0,103,0,7.52,NENG_CT_NG_ccs90,0.6,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
