Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.8350088997222,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.183419569996028,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.502099356758,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.804603748862,2798.4039093162564,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.6980380163807,576.9431565526414,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.3433843717968,2086.206908864799,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.1858717835532,1886.4109990816712,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2703.108724092166,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1669.753957716171,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.9117215182955,1456.4631781356295,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.9117215182955,0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.923806433967,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.923806433967,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.475762125649329
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.475762125649329
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.475762125649329
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.475762125649329
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.1012471743904,0.0
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.804603748862,1170.8515077633033,675.6637996801819
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2262.035535594694,675.6637996801819
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,675.6637996801819
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2446.3014890228906,675.6637996801819
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2789.285929852429,486.83627571913314
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2690.0716628745167,486.83627571913314
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2351.8470869489324,27.725074171537333
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2351.8470869489324,27.725074171537333
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2351.8470869489324,27.725074171537333
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2351.8470869489324,27.725074171537333
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2351.8470869489324,27.725074171537333
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1841.4607103671167,0.0
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1841.4607103671167,0.0
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1841.4607103671167,0.0
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,960.3818368122767,0.0
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,960.3818368122767,0.0
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1544.0489064978142,0.0
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1544.0489064978142,0.0
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1544.0489064978142,0.0
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1971.4008179654616,383.3904064155343
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,383.3904064155343
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2773.06779075433,734.417173565415
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2307.63970436205,734.417173565415
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,1870.1882937532596,734.417173565415
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261.7945600512353,1870.1882937532596,734.417173565415
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261.7945600512353,2049.937711781816,734.417173565415
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261.7945600512353,2093.2016536659526,734.417173565415
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.819730945221,2093.2016536659526,734.417173565415
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.3416718109686,2093.2016536659526,0.0
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059.007026466147,0.0
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.50144333236776,0.0
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.6209667291985,2235.458263186508,712.4946409260307
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.1526175092686,682.439722609896,712.4946409260307
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.8274282890172,1996.91461535394,712.4946409260307
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.4882684450372,1276.9832804255752,712.4946409260307
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2220.807254880773,734.417173565415
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,895.8757152346597,734.417173565415
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.8757152346597,599.7020323234839
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.66938642011,0.0,0.0
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.66938642011,0.0,28.58705629983746
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.66938642011,0.0,18.471055080410377
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.9873267009896,624.4564770988973,0.0
t185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.643225591866,1874.1339141762144,0.0
t186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.009232086465,2529.6314087293795,73.38602687560224
t187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.009232086465,2798.4039093162564,73.38602687560224
t188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.2190887096297,1187.430912375678,73.38602687560224
t189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38602687560224
t190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38602687560224
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38602687560224
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1816.1379585498667,73.38602687560224
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.804603748862,1509.7607010499935,73.38602687560224
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0453251320187,2798.4039093162564,73.38602687560224
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.2270405571217,1653.5205007533214,73.38602687560224
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.330889397507,1174.9918447333448,73.38602687560224
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.4811723029998,1580.0184991886524,73.38602687560224
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,73.38602687560224
t199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2019.788073615632,73.38602687560224
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467.1789171183286,2798.4039093162564,734.417173565415
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.0086854674983,2798.4039093162564,734.417173565415
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.8852935063767,2798.4039093162564,734.417173565415
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.3917167749803,2798.4039093162564,647.444497464626
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.2187863397028,2019.2198706476106,647.444497464626
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.2187863397028,2107.7265163563065,647.444497464626
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.2187863397028,2798.4039093162564,647.444497464626
t208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.570057178227,0.0
t209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.9962491919305,0.0
t210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.4361632758582,0.0
