Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Subperiods,Hours_per_period,Sub_Weights_1,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18
,,,,,,,,,,55,3887.2792,8963.20273,5876.816181,13649.63145,4110.45665,14762.00341,18251.44054,13348.18182,6618.759786,3000.698653,5151.594903,25109.2816,3049.878462,4472.364927,9449.973097,21143.73199,13527.84702,32338.21048
,,,,,,,,,,56,3594.4908,9188.667851,6015.542393,14467.47232,4254.841982,15088.02193,18257.13114,13621.84278,6714.89319,3106.102239,5160.360243,24154.0432,2907.336559,4281.444568,9136.740453,20225.35773,13616.42902,31908.68556
,,,,,,,,,,57,3321.1496,9123.484926,5935.399487,14311.81286,4205.55336,15006.12577,17875.03854,13458.8519,6632.615405,3070.120763,5080.572834,23089.3504,2807.120764,4156.034513,8871.353398,19394.42593,13659.56608,31232.59675
,,,,,,,,,,58,3081.3008,9081.120266,5879.34355,14153.16296,4159.119273,14843.57454,17352.95742,13342.55857,6535.76389,3036.223141,4925.115019,22186.0752,2754.896711,4048.038257,8622.003938,18536.27413,13702.66081,30867.88149
,,,,,,,,,,59,2851.1756,8944.516181,5754.126375,13932.69046,4090.488496,14552.97593,16936.24523,13099.14054,6368.639589,2986.121584,4817.970609,21369.0368,2705.373225,3939.947957,8425.804087,17827.3934,13626.64122,30309.16665
,,,,,,,,,,60,2659.9448,8814.307643,5600.016692,13693.62906,4015.864323,14310.21053,16596.92771,12836.00807,6213.613323,2931.644752,4714.669398,20789.7024,2715.35178,3915.927049,8261.030686,17303.10978,13574.87,29714.26952
,,,,,,,,,,61,2584.3168,8730.198666,5469.035982,13495.52896,3959.175343,14106.3102,16363.04396,12633.29745,6115.172761,2890.260896,4647.150492,20286.6544,2725.18594,3896.544916,8060.18791,16837.88899,13562.27702,29257.80535
,,,,,,,,,,62,2426.5784,8619.367652,5361.859701,13295.12114,3879.004651,13784.46526,16307.07328,12449.11094,6023.830288,2831.735018,4621.095238,19823.408,2700.079497,3840.006323,7855.294675,16571.70388,13490.99312,29395.88674
,,,,,,,,,,63,2372.5584,8440.85698,5252.883694,13057.42022,3818.060382,13549.38156,16423.37313,12239.99426,5951.525073,2787.244733,4639.298804,19945.024,2739.79013,3814.353121,7857.958048,16652.80835,13495.65669,30151.58645
,,,,,,,,,,64,2413.6136,8266.057581,5155.795581,12835.61048,3776.674014,13632.06269,16923.59249,12023.09292,5926.739177,2757.032027,4791.32957,20812.92,2886.260829,3935.510204,8088.395434,17130.16936,13720.64171,31110.83564
,,,,,,,,,,65,2706.402,8333.441299,5213.609751,12910.9455,3818.593459,14057.80927,17259.78327,12085.9409,6116.171845,2787.633888,4896.347203,22628.3152,2968.848652,4150.748317,8583.882816,18468.97539,14228.64808,30997.83808
,,,,,,,,,,66,3032.6828,8770.617849,5623.830188,13732.69084,4009.791266,14282.64197,17698.99317,12775.05336,6317.04985,2927.211324,5025.013701,23584.6592,2969.832599,4149.98284,8567.943439,18759.89393,14168.28269,30640.23493
,,,,,,,,,,67,3146.1248,8989.489766,5823.813375,14278.1769,4131.88128,14448.42889,18009.16471,13202.35581,6462.424843,3016.338974,5116.252431,23831.208,2915.318932,4127.7809,8530.779391,18820.81795,14001.3207,29684.17411
,,,,,,,,,,68,3194.7428,9039.998482,5855.887167,14338.38015,4145.958119,14178.01426,17680.78903,13332.35404,6459.561357,3026.61529,5022.697186,23799.1456,2809.745104,4032.937228,8376.8705,18575.23625,13749.56855,28339.68921
,,,,,,,,,,69,3149.366,9018.306506,5836.158991,14265.65253,4117.331496,13711.63533,17067.86408,13395.44533,6374.220132,3005.7174,4845.078159,23282.8304,2614.446528,3881.302634,8060.525708,18021.3756,13317.64919,26869.41121
,,,,,,,,,,70,3070.4968,8750.282872,5614.226883,13841.5771,3981.871775,13033.74494,16369.29241,13088.55055,6141.06158,2906.829652,4641.075168,22547.6064,2604.553906,3715.652721,7728.821553,17343.14356,12628.56625,25940.85323
,,,,,,,,,,71,2978.6628,8336.266462,5276.290261,13084.51042,3807.737381,12409.34643,15758.33482,12544.60796,5883.884908,2779.708778,4458.03174,22054.5088,2486.874051,3605.587618,7670.329457,17137.37821,11979.47604,25293.20392
,,,,,,,,,,72,2885.7484,7833.099834,4905.316411,12234.52405,3564.3546,11788.67301,15040.82672,11841.39143,5583.937299,2602.035482,4260.987667,22033.5024,2478.133976,3568.274638,7582.536779,17029.52759,11580.47841,25058.19297
,,,,,,,,,,73,2906.276,7823.550481,4854.781994,12119.3098,3536.044866,11785.54553,15247.58674,11831.77792,5612.561186,2581.368926,4320.766567,22477.9536,2540.590036,3614.936628,7536.063878,16984.67426,11323.32894,25236.89659
