Time_Index,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate
992,0.917,0.789,0.338
993,0.876,0.816,0.387
994,0.594,0.414,0.183
995,0.662,0.514,0.179
996,0.78,0.783,0.202
997,0.785,0.771,0.268
998,0.714,0.59,0.303
999,0.728,0.549,0.269
1000,0.754,0.549,0.223
1001,0.761,0.589,0.202
1002,0.703,0.516,0.232
1003,0.673,0.633,0.291
1004,0.717,0.642,0.241
1005,0.768,0.764,0.246
1006,0.797,0.816,0.226
1007,0.846,0.819,0.172
1008,0.842,0.837,0.202
1009,0.966,0.84,0.814
1010,0.972,0.848,0.749
1011,0.967,0.872,0.594
1012,0.969,0.856,0.514
1013,0.953,0.8,0.436
1014,0.953,0.749,0.424
1015,0.95,0.758,0.391
1016,0.917,0.789,0.338
1017,0.876,0.816,0.387
1018,0.594,0.414,0.183
1019,0.662,0.514,0.179
1020,0.78,0.783,0.202
1021,0.785,0.771,0.268
1022,0.714,0.59,0.303
1023,0.728,0.549,0.269
1024,0.754,0.549,0.223
1025,0.761,0.589,0.202
1026,0.703,0.516,0.232
1027,0.673,0.633,0.291
1028,0.717,0.642,0.241
1029,0.768,0.764,0.246
1030,0.797,0.816,0.226
1031,0.846,0.819,0.172
1032,0.842,0.837,0.202
1033,0.966,0.84,0.814
1034,0.972,0.848,0.749
1035,0.967,0.872,0.594
1036,0.969,0.856,0.514
1037,0.953,0.8,0.436
1038,0.953,0.749,0.424
1039,0.95,0.758,0.391
1040,0.917,0.789,0.338
1041,0.876,0.816,0.387
1042,0.594,0.414,0.183
1043,0.662,0.514,0.179
1044,0.78,0.783,0.202
1045,0.785,0.771,0.268
1046,0.714,0.59,0.303
1047,0.728,0.549,0.269
1048,0.754,0.549,0.223
1049,0.761,0.589,0.202
1050,0.703,0.516,0.232
1051,0.673,0.633,0.291
1052,0.717,0.642,0.241
1053,0.768,0.764,0.246
1054,0.797,0.816,0.226
1055,0.846,0.819,0.172
1056,0.842,0.837,0.202
1057,0.966,0.84,0.814
1058,0.972,0.848,0.749
1059,0.967,0.872,0.594
1060,0.969,0.856,0.514
1061,0.953,0.8,0.436
1062,0.953,0.749,0.424
1063,0.95,0.758,0.391
1064,0.917,0.789,0.338
1065,0.876,0.816,0.387
1066,0.594,0.414,0.183
1067,0.662,0.514,0.179
1068,0.78,0.783,0.202
1069,0.785,0.771,0.268
1070,0.714,0.59,0.303
1071,0.728,0.549,0.269
1072,0.754,0.549,0.223
1073,0.761,0.589,0.202
1074,0.703,0.516,0.232
1075,0.673,0.633,0.291
1076,0.717,0.642,0.241
1077,0.768,0.764,0.246
1078,0.797,0.816,0.226
1079,0.846,0.819,0.172
1080,0.842,0.837,0.202
1081,0.966,0.84,0.814
1082,0.972,0.848,0.749
1083,0.967,0.872,0.594
1084,0.969,0.856,0.514
1085,0.953,0.8,0.436
1086,0.953,0.749,0.424
1087,0.95,0.758,0.391
1088,0.917,0.789,0.338
1089,0.876,0.816,0.387
1090,0.594,0.414,0.183
1091,0.662,0.514,0.179
1092,0.78,0.783,0.202
1093,0.785,0.771,0.268
1094,0.714,0.59,0.303
1095,0.728,0.549,0.269
1096,0.754,0.549,0.223
1097,0.761,0.589,0.202
1098,0.703,0.516,0.232
1099,0.673,0.633,0.291
1100,0.717,0.642,0.241
1101,0.768,0.764,0.246
1102,0.797,0.816,0.226
1103,0.846,0.819,0.172
1104,0.842,0.837,0.202
1105,0.966,0.84,0.814
1106,0.972,0.848,0.749
1107,0.967,0.872,0.594
1108,0.969,0.856,0.514
1109,0.953,0.8,0.436
1110,0.953,0.749,0.424
1111,0.95,0.758,0.391
1112,0.917,0.789,0.338
1113,0.876,0.816,0.387
1114,0.594,0.414,0.183
1115,0.662,0.514,0.179
1116,0.78,0.783,0.202
1117,0.785,0.771,0.268
1118,0.714,0.59,0.303
1119,0.728,0.549,0.269
1120,0.754,0.549,0.223
1121,0.761,0.589,0.202
1122,0.703,0.516,0.232
1123,0.673,0.633,0.291
1124,0.717,0.642,0.241
1125,0.768,0.764,0.246
1126,0.797,0.816,0.226
1127,0.846,0.819,0.172
1128,0.842,0.837,0.202
1129,0.966,0.84,0.814
1130,0.972,0.848,0.749
1131,0.967,0.872,0.594
1132,0.969,0.856,0.514
1133,0.953,0.8,0.436
1134,0.953,0.749,0.424
1135,0.95,0.758,0.391
1136,0.917,0.789,0.338
1137,0.876,0.816,0.387
1138,0.594,0.414,0.183
1139,0.662,0.514,0.179
1140,0.78,0.783,0.202
1141,0.785,0.771,0.268
1142,0.714,0.59,0.303
1143,0.728,0.549,0.269
1144,0.754,0.549,0.223
1145,0.761,0.589,0.202
1146,0.703,0.516,0.232
1147,0.673,0.633,0.291
1148,0.717,0.642,0.241
1149,0.768,0.764,0.246
1150,0.797,0.816,0.226
1151,0.846,0.819,0.172
1152,0.842,0.837,0.202
1153,0.966,0.84,0.814
1154,0.972,0.848,0.749
1155,0.967,0.872,0.594
1156,0.969,0.856,0.514
1157,0.953,0.8,0.436
1158,0.953,0.749,0.424
1159,0.95,0.758,0.391
1160,0.917,0.789,0.338
1161,0.876,0.816,0.387
1162,0.594,0.414,0.183
1163,0.662,0.514,0.179
1164,0.78,0.783,0.202
1165,0.785,0.771,0.268
1166,0.714,0.59,0.303
1167,0.728,0.549,0.269
1168,0.754,0.549,0.223
1169,0.761,0.589,0.202
1170,0.703,0.516,0.232
1171,0.673,0.633,0.291
1172,0.717,0.642,0.241
1173,0.768,0.764,0.246
1174,0.797,0.816,0.226
1175,0.846,0.819,0.172
1176,0.842,0.837,0.202
1177,0.966,0.84,0.814
1178,0.972,0.848,0.749
1179,0.967,0.872,0.594
1180,0.969,0.856,0.514
1181,0.953,0.8,0.436
1182,0.953,0.749,0.424
1183,0.95,0.758,0.391
1184,0.917,0.789,0.338
1185,0.876,0.816,0.387
1186,0.594,0.414,0.183
1187,0.662,0.514,0.179
1188,0.78,0.783,0.202
1189,0.785,0.771,0.268
1190,0.714,0.59,0.303
1191,0.728,0.549,0.269
1192,0.754,0.549,0.223
1193,0.761,0.589,0.202
1194,0.703,0.516,0.232
1195,0.673,0.633,0.291
1196,0.717,0.642,0.241
1197,0.768,0.764,0.246
1198,0.797,0.816,0.226
1199,0.846,0.819,0.172
1200,0.842,0.837,0.202
1201,0.966,0.84,0.814
1202,0.972,0.848,0.749
1203,0.967,0.872,0.594
1204,0.969,0.856,0.514
1205,0.953,0.8,0.436
1206,0.953,0.749,0.424
1207,0.95,0.758,0.391
1208,0.917,0.789,0.338
1209,0.876,0.816,0.387
1210,0.594,0.414,0.183
1211,0.662,0.514,0.179
1212,0.78,0.783,0.202
1213,0.785,0.771,0.268
1214,0.714,0.59,0.303
1215,0.728,0.549,0.269
1216,0.754,0.549,0.223
1217,0.761,0.589,0.202
1218,0.703,0.516,0.232
1219,0.673,0.633,0.291
1220,0.717,0.642,0.241
1221,0.768,0.764,0.246
1222,0.797,0.816,0.226
1223,0.846,0.819,0.172
1224,0.842,0.837,0.202
1225,0.966,0.84,0.814
1226,0.972,0.848,0.749
1227,0.967,0.872,0.594
1228,0.969,0.856,0.514
1229,0.953,0.8,0.436
1230,0.953,0.749,0.424
1231,0.95,0.758,0.391
1232,0.917,0.789,0.338
1233,0.876,0.816,0.387
1234,0.594,0.414,0.183
1235,0.662,0.514,0.179
1236,0.78,0.783,0.202
1237,0.785,0.771,0.268
1238,0.714,0.59,0.303
1239,0.728,0.549,0.269
1240,0.754,0.549,0.223
1241,0.761,0.589,0.202
1242,0.703,0.516,0.232
1243,0.673,0.633,0.291
1244,0.717,0.642,0.241
1245,0.768,0.764,0.246
1246,0.797,0.816,0.226
1247,0.846,0.819,0.172
1248,0.842,0.837,0.202
1249,0.966,0.84,0.814
1250,0.972,0.848,0.749
1251,0.967,0.872,0.594
1252,0.969,0.856,0.514
1253,0.953,0.8,0.436
1254,0.953,0.749,0.424
1255,0.95,0.758,0.391
1256,0.917,0.789,0.338
1257,0.876,0.816,0.387
1258,0.594,0.414,0.183
1259,0.662,0.514,0.179
1260,0.78,0.783,0.202
1261,0.785,0.771,0.268
1262,0.714,0.59,0.303
1263,0.728,0.549,0.269
1264,0.754,0.549,0.223
1265,0.761,0.589,0.202
1266,0.703,0.516,0.232
1267,0.673,0.633,0.291
1268,0.717,0.642,0.241
1269,0.768,0.764,0.246
1270,0.797,0.816,0.226
1271,0.846,0.819,0.172
1272,0.842,0.837,0.202
1273,0.966,0.84,0.814
1274,0.972,0.848,0.749
1275,0.967,0.872,0.594
1276,0.969,0.856,0.514
1277,0.953,0.8,0.436
1278,0.953,0.749,0.424
1279,0.95,0.758,0.391
1280,0.917,0.789,0.338
1281,0.876,0.816,0.387
1282,0.594,0.414,0.183
1283,0.662,0.514,0.179
1284,0.78,0.783,0.202
1285,0.785,0.771,0.268
1286,0.714,0.59,0.303
1287,0.728,0.549,0.269
1288,0.754,0.549,0.223
1289,0.761,0.589,0.202
1290,0.703,0.516,0.232
1291,0.673,0.633,0.291
1292,0.717,0.642,0.241
1293,0.768,0.764,0.246
1294,0.797,0.816,0.226
1295,0.846,0.819,0.172
1296,0.842,0.837,0.202
1297,0.966,0.84,0.814
1298,0.972,0.848,0.749
1299,0.967,0.872,0.594
1300,0.969,0.856,0.514
1301,0.953,0.8,0.436
1302,0.953,0.749,0.424
1303,0.95,0.758,0.391
1304,0.917,0.789,0.338
1305,0.876,0.816,0.387
1306,0.594,0.414,0.183
1307,0.662,0.514,0.179
1308,0.78,0.783,0.202
1309,0.785,0.771,0.268
1310,0.714,0.59,0.303
1311,0.728,0.549,0.269
1312,0.754,0.549,0.223
1313,0.761,0.589,0.202
1314,0.703,0.516,0.232
1315,0.673,0.633,0.291
1316,0.717,0.642,0.241
1317,0.768,0.764,0.246
1318,0.797,0.816,0.226
1319,0.846,0.819,0.172
1320,0.842,0.837,0.202
1321,0.966,0.84,0.814
1322,0.972,0.848,0.749
1323,0.967,0.872,0.594
1324,0.969,0.856,0.514
1325,0.953,0.8,0.436
1326,0.953,0.749,0.424
1327,0.95,0.758,0.391
1328,0.917,0.789,0.338
1329,0.876,0.816,0.387
1330,0.594,0.414,0.183
1331,0.662,0.514,0.179
1332,0.78,0.783,0.202
1333,0.785,0.771,0.268
1334,0.714,0.59,0.303
1335,0.728,0.549,0.269
1336,0.754,0.549,0.223
1337,0.761,0.589,0.202
1338,0.703,0.516,0.232
1339,0.673,0.633,0.291
1340,0.717,0.642,0.241
1341,0.768,0.764,0.246
1342,0.797,0.816,0.226
1343,0.846,0.819,0.172
1344,0.842,0.837,0.202
1345,0.966,0.84,0.814
1346,0.972,0.848,0.749
1347,0.967,0.872,0.594
1348,0.969,0.856,0.514
1349,0.953,0.8,0.436
1350,0.953,0.749,0.424
1351,0.95,0.758,0.391
1352,0.917,0.789,0.338
1353,0.876,0.816,0.387
1354,0.594,0.414,0.183
1355,0.662,0.514,0.179
1356,0.78,0.783,0.202
1357,0.785,0.771,0.268
1358,0.714,0.59,0.303
1359,0.728,0.549,0.269
1360,0.754,0.549,0.223
1361,0.761,0.589,0.202
1362,0.703,0.516,0.232
1363,0.673,0.633,0.291
1364,0.717,0.642,0.241
1365,0.768,0.764,0.246
1366,0.797,0.816,0.226
1367,0.846,0.819,0.172
1368,0.842,0.837,0.202
1369,0.966,0.84,0.814
1370,0.972,0.848,0.749
1371,0.967,0.872,0.594
1372,0.969,0.856,0.514
1373,0.953,0.8,0.436
1374,0.953,0.749,0.424
1375,0.95,0.758,0.391
1376,0.917,0.789,0.338
1377,0.876,0.816,0.387
1378,0.594,0.414,0.183
1379,0.662,0.514,0.179
1380,0.78,0.783,0.202
1381,0.785,0.771,0.268
1382,0.714,0.59,0.303
1383,0.728,0.549,0.269
1384,0.754,0.549,0.223
1385,0.761,0.589,0.202
1386,0.703,0.516,0.232
1387,0.673,0.633,0.291
1388,0.717,0.642,0.241
1389,0.768,0.764,0.246
1390,0.797,0.816,0.226
1391,0.846,0.819,0.172
1392,0.842,0.837,0.202
1393,0.966,0.84,0.814
1394,0.972,0.848,0.749
1395,0.967,0.872,0.594
1396,0.969,0.856,0.514
1397,0.953,0.8,0.436
1398,0.953,0.749,0.424
1399,0.95,0.758,0.391
1400,0.917,0.789,0.338
1401,0.876,0.816,0.387
1402,0.594,0.414,0.183
1403,0.662,0.514,0.179
1404,0.78,0.783,0.202
1405,0.785,0.771,0.268
1406,0.714,0.59,0.303
1407,0.728,0.549,0.269
1408,0.754,0.549,0.223
1409,0.761,0.589,0.202
1410,0.703,0.516,0.232
1411,0.673,0.633,0.291
1412,0.717,0.642,0.241
1413,0.768,0.764,0.246
1414,0.797,0.816,0.226
1415,0.846,0.819,0.172
1416,0.842,0.837,0.202
1417,0.966,0.84,0.814
1418,0.972,0.848,0.749
1419,0.967,0.872,0.594
1420,0.969,0.856,0.514
1421,0.953,0.8,0.436
1422,0.953,0.749,0.424
1423,0.95,0.758,0.391
1424,0.917,0.789,0.338
1425,0.876,0.816,0.387
1426,0.594,0.414,0.183
1427,0.662,0.514,0.179
1428,0.78,0.783,0.202
1429,0.785,0.771,0.268
1430,0.714,0.59,0.303
1431,0.728,0.549,0.269
1432,0.754,0.549,0.223
1433,0.761,0.589,0.202
1434,0.703,0.516,0.232
1435,0.673,0.633,0.291
1436,0.717,0.642,0.241
1437,0.768,0.764,0.246
1438,0.797,0.816,0.226
1439,0.846,0.819,0.172
1440,0.842,0.837,0.202
1441,0.966,0.84,0.814
1442,0.972,0.848,0.749
1443,0.967,0.872,0.594
1444,0.969,0.856,0.514
1445,0.953,0.8,0.436
1446,0.953,0.749,0.424
1447,0.95,0.758,0.391
1448,0.917,0.789,0.338
1449,0.876,0.816,0.387
1450,0.594,0.414,0.183
1451,0.662,0.514,0.179
1452,0.78,0.783,0.202
1453,0.785,0.771,0.268
1454,0.714,0.59,0.303
1455,0.728,0.549,0.269
1456,0.754,0.549,0.223
1457,0.761,0.589,0.202
1458,0.703,0.516,0.232
1459,0.673,0.633,0.291
1460,0.717,0.642,0.241
1461,0.768,0.764,0.246
1462,0.797,0.816,0.226
1463,0.846,0.819,0.172
1464,0.842,0.837,0.202
1465,0.966,0.84,0.814
1466,0.972,0.848,0.749
1467,0.967,0.872,0.594
1468,0.969,0.856,0.514
1469,0.953,0.8,0.436
1470,0.953,0.749,0.424
1471,0.95,0.758,0.391
1472,0.917,0.789,0.338
1473,0.876,0.816,0.387
1474,0.594,0.414,0.183
1475,0.662,0.514,0.179
1476,0.78,0.783,0.202
1477,0.785,0.771,0.268
1478,0.714,0.59,0.303
1479,0.728,0.549,0.269
1480,0.754,0.549,0.223
1481,0.761,0.589,0.202
1482,0.703,0.516,0.232
1483,0.673,0.633,0.291
1484,0.717,0.642,0.241
1485,0.768,0.764,0.246
1486,0.797,0.816,0.226
1487,0.846,0.819,0.172
1488,0.842,0.837,0.202
1489,0.966,0.84,0.814
1490,0.972,0.848,0.749
1491,0.967,0.872,0.594
1492,0.969,0.856,0.514
1493,0.953,0.8,0.436
1494,0.953,0.749,0.424
1495,0.95,0.758,0.391
1496,0.917,0.789,0.338
1497,0.876,0.816,0.387
1498,0.594,0.414,0.183
1499,0.662,0.514,0.179
1500,0.78,0.783,0.202
1501,0.785,0.771,0.268
1502,0.714,0.59,0.303
1503,0.728,0.549,0.269
1504,0.754,0.549,0.223
1505,0.761,0.589,0.202
1506,0.703,0.516,0.232
1507,0.673,0.633,0.291
1508,0.717,0.642,0.241
1509,0.768,0.764,0.246
1510,0.797,0.816,0.226
1511,0.846,0.819,0.172
1512,0.842,0.837,0.202
1513,0.966,0.84,0.814
1514,0.972,0.848,0.749
1515,0.967,0.872,0.594
1516,0.969,0.856,0.514
1517,0.953,0.8,0.436
1518,0.953,0.749,0.424
1519,0.95,0.758,0.391
1520,0.917,0.789,0.338
1521,0.876,0.816,0.387
1522,0.594,0.414,0.183
1523,0.662,0.514,0.179
1524,0.78,0.783,0.202
1525,0.785,0.771,0.268
1526,0.714,0.59,0.303
1527,0.728,0.549,0.269
1528,0.754,0.549,0.223
1529,0.761,0.589,0.202
1530,0.703,0.516,0.232
1531,0.673,0.633,0.291
1532,0.717,0.642,0.241
1533,0.768,0.764,0.246
1534,0.797,0.816,0.226
1535,0.846,0.819,0.172
1536,0.842,0.837,0.202
1537,0.966,0.84,0.814
1538,0.972,0.848,0.749
1539,0.967,0.872,0.594
1540,0.969,0.856,0.514
1541,0.953,0.8,0.436
1542,0.953,0.749,0.424
1543,0.95,0.758,0.391
1544,0.917,0.789,0.338
1545,0.876,0.816,0.387
1546,0.594,0.414,0.183
1547,0.662,0.514,0.179
1548,0.78,0.783,0.202
1549,0.785,0.771,0.268
1550,0.714,0.59,0.303
1551,0.728,0.549,0.269
1552,0.754,0.549,0.223
1553,0.761,0.589,0.202
1554,0.703,0.516,0.232
1555,0.673,0.633,0.291
1556,0.717,0.642,0.241
1557,0.768,0.764,0.246
1558,0.797,0.816,0.226
1559,0.846,0.819,0.172
1560,0.842,0.837,0.202
1561,0.966,0.84,0.814
1562,0.972,0.848,0.749
1563,0.967,0.872,0.594
1564,0.969,0.856,0.514
1565,0.953,0.8,0.436
1566,0.953,0.749,0.424
1567,0.95,0.758,0.391
1568,0.917,0.789,0.338
1569,0.876,0.816,0.387
1570,0.594,0.414,0.183
1571,0.662,0.514,0.179
1572,0.78,0.783,0.202
1573,0.785,0.771,0.268
1574,0.714,0.59,0.303
1575,0.728,0.549,0.269
1576,0.754,0.549,0.223
1577,0.761,0.589,0.202
1578,0.703,0.516,0.232
1579,0.673,0.633,0.291
1580,0.717,0.642,0.241
1581,0.768,0.764,0.246
1582,0.797,0.816,0.226
1583,0.846,0.819,0.172
1584,0.842,0.837,0.202
1585,0.966,0.84,0.814
1586,0.972,0.848,0.749
1587,0.967,0.872,0.594
1588,0.969,0.856,0.514
1589,0.953,0.8,0.436
1590,0.953,0.749,0.424
1591,0.95,0.758,0.391
1592,0.917,0.789,0.338
1593,0.876,0.816,0.387
1594,0.594,0.414,0.183
1595,0.662,0.514,0.179
1596,0.78,0.783,0.202
1597,0.785,0.771,0.268
1598,0.714,0.59,0.303
1599,0.728,0.549,0.269
1600,0.754,0.549,0.223
1601,0.761,0.589,0.202
1602,0.703,0.516,0.232
1603,0.673,0.633,0.291
1604,0.717,0.642,0.241
1605,0.768,0.764,0.246
1606,0.797,0.816,0.226
1607,0.846,0.819,0.172
1608,0.842,0.837,0.202
1609,0.966,0.84,0.814
1610,0.972,0.848,0.749
1611,0.967,0.872,0.594
1612,0.969,0.856,0.514
1613,0.953,0.8,0.436
1614,0.953,0.749,0.424
1615,0.95,0.758,0.391
1616,0.917,0.789,0.338
1617,0.876,0.816,0.387
1618,0.594,0.414,0.183
1619,0.662,0.514,0.179
1620,0.78,0.783,0.202
1621,0.785,0.771,0.268
1622,0.714,0.59,0.303
1623,0.728,0.549,0.269
1624,0.754,0.549,0.223
1625,0.761,0.589,0.202
1626,0.703,0.516,0.232
1627,0.673,0.633,0.291
1628,0.717,0.642,0.241
1629,0.768,0.764,0.246
1630,0.797,0.816,0.226
1631,0.846,0.819,0.172
1632,0.842,0.837,0.202
1633,0.966,0.84,0.814
1634,0.972,0.848,0.749
1635,0.967,0.872,0.594
1636,0.969,0.856,0.514
1637,0.953,0.8,0.436
1638,0.953,0.749,0.424
1639,0.95,0.758,0.391
1640,0.917,0.789,0.338
1641,0.876,0.816,0.387
1642,0.594,0.414,0.183
1643,0.662,0.514,0.179
1644,0.78,0.783,0.202
1645,0.785,0.771,0.268
1646,0.714,0.59,0.303
1647,0.728,0.549,0.269
1648,0.754,0.549,0.223
1649,0.761,0.589,0.202
1650,0.703,0.516,0.232
1651,0.673,0.633,0.291
1652,0.717,0.642,0.241
1653,0.768,0.764,0.246
1654,0.797,0.816,0.226
1655,0.846,0.819,0.172
1656,0.842,0.837,0.202
1657,0.966,0.84,0.814
1658,0.972,0.848,0.749
1659,0.967,0.872,0.594
1660,0.969,0.856,0.514
1661,0.953,0.8,0.436
1662,0.953,0.749,0.424
1663,0.95,0.758,0.391
1664,0.917,0.789,0.338
1665,0.876,0.816,0.387
1666,0.594,0.414,0.183
1667,0.662,0.514,0.179
1668,0.78,0.783,0.202
1669,0.785,0.771,0.268
1670,0.714,0.59,0.303
1671,0.728,0.549,0.269
1672,0.754,0.549,0.223
1673,0.761,0.589,0.202
1674,0.703,0.516,0.232
1675,0.673,0.633,0.291
1676,0.717,0.642,0.241
1677,0.768,0.764,0.246
1678,0.797,0.816,0.226
1679,0.846,0.819,0.172
1680,0.842,0.837,0.202
