Time_Index,CT_NG,ME_NG,MA_NG,None
474,1.63,1.63,1.81,0
475,1.63,1.63,1.81,0
476,1.63,1.63,1.81,0
477,2.78,2.78,2.74,0
478,2.78,2.78,2.74,0
479,3.78,3.78,4.28,0
480,3.78,3.78,4.28,0
481,5.45,5.45,5.28,0
482,5.45,5.45,5.28,0
483,4.09,4.09,3.98,0
484,4.09,4.09,3.98,0
485,3.14,3.14,3.69,0
486,3.14,3.14,3.69,0
487,2.13,2.13,3.18,0
488,2.13,2.13,3.18,0
489,2.13,2.13,3.18,0
490,2.13,2.13,3.18,0
491,1.82,1.82,2.23,0
492,1.82,1.82,2.23,0
493,1.82,1.82,2.23,0
494,1.82,1.82,2.23,0
495,1.75,1.75,2.11,0
496,1.75,1.75,2.11,0
497,1.75,1.75,2.11,0
498,1.63,1.63,1.81,0
499,1.63,1.63,1.81,0
500,1.63,1.63,1.81,0
501,2.78,2.78,2.74,0
502,2.78,2.78,2.74,0
503,3.78,3.78,4.28,0
504,3.78,3.78,4.28,0
505,5.45,5.45,5.28,0
506,5.45,5.45,5.28,0
507,4.09,4.09,3.98,0
508,4.09,4.09,3.98,0
509,3.14,3.14,3.69,0
510,3.14,3.14,3.69,0
511,2.13,2.13,3.18,0
512,2.13,2.13,3.18,0
513,2.13,2.13,3.18,0
514,2.13,2.13,3.18,0
515,1.82,1.82,2.23,0
516,1.82,1.82,2.23,0
517,1.82,1.82,2.23,0
518,1.82,1.82,2.23,0
519,1.75,1.75,2.11,0
520,1.75,1.75,2.11,0
521,1.75,1.75,2.11,0
522,1.63,1.63,1.81,0
523,1.63,1.63,1.81,0
524,1.63,1.63,1.81,0
525,2.78,2.78,2.74,0
526,2.78,2.78,2.74,0
527,3.78,3.78,4.28,0
528,3.78,3.78,4.28,0
529,5.45,5.45,5.28,0
530,5.45,5.45,5.28,0
531,4.09,4.09,3.98,0
532,4.09,4.09,3.98,0
533,3.14,3.14,3.69,0
534,3.14,3.14,3.69,0
535,2.13,2.13,3.18,0
536,2.13,2.13,3.18,0
537,2.13,2.13,3.18,0
538,2.13,2.13,3.18,0
539,1.82,1.82,2.23,0
540,1.82,1.82,2.23,0
541,1.82,1.82,2.23,0
542,1.82,1.82,2.23,0
543,1.75,1.75,2.11,0
544,1.75,1.75,2.11,0
545,1.75,1.75,2.11,0
546,1.63,1.63,1.81,0
547,1.63,1.63,1.81,0
548,1.63,1.63,1.81,0
549,2.78,2.78,2.74,0
550,2.78,2.78,2.74,0
551,3.78,3.78,4.28,0
552,3.78,3.78,4.28,0
553,5.45,5.45,5.28,0
554,5.45,5.45,5.28,0
555,4.09,4.09,3.98,0
556,4.09,4.09,3.98,0
557,3.14,3.14,3.69,0
558,3.14,3.14,3.69,0
559,2.13,2.13,3.18,0
560,2.13,2.13,3.18,0
561,2.13,2.13,3.18,0
562,2.13,2.13,3.18,0
563,1.82,1.82,2.23,0
564,1.82,1.82,2.23,0
565,1.82,1.82,2.23,0
566,1.82,1.82,2.23,0
567,1.75,1.75,2.11,0
568,1.75,1.75,2.11,0
569,1.75,1.75,2.11,0
570,1.63,1.63,1.81,0
571,1.63,1.63,1.81,0
572,1.63,1.63,1.81,0
573,2.78,2.78,2.74,0
574,2.78,2.78,2.74,0
575,3.78,3.78,4.28,0
576,3.78,3.78,4.28,0
577,5.45,5.45,5.28,0
578,5.45,5.45,5.28,0
579,4.09,4.09,3.98,0
580,4.09,4.09,3.98,0
581,3.14,3.14,3.69,0
582,3.14,3.14,3.69,0
583,2.13,2.13,3.18,0
584,2.13,2.13,3.18,0
585,2.13,2.13,3.18,0
586,2.13,2.13,3.18,0
587,1.82,1.82,2.23,0
588,1.82,1.82,2.23,0
589,1.82,1.82,2.23,0
590,1.82,1.82,2.23,0
591,1.75,1.75,2.11,0
592,1.75,1.75,2.11,0
593,1.75,1.75,2.11,0
594,1.63,1.63,1.81,0
595,1.63,1.63,1.81,0
596,1.63,1.63,1.81,0
597,2.78,2.78,2.74,0
598,2.78,2.78,2.74,0
599,3.78,3.78,4.28,0
600,3.78,3.78,4.28,0
601,5.45,5.45,5.28,0
602,5.45,5.45,5.28,0
603,4.09,4.09,3.98,0
604,4.09,4.09,3.98,0
605,3.14,3.14,3.69,0
606,3.14,3.14,3.69,0
607,2.13,2.13,3.18,0
608,2.13,2.13,3.18,0
609,2.13,2.13,3.18,0
610,2.13,2.13,3.18,0
611,1.82,1.82,2.23,0
612,1.82,1.82,2.23,0
613,1.82,1.82,2.23,0
614,1.82,1.82,2.23,0
615,1.75,1.75,2.11,0
616,1.75,1.75,2.11,0
617,1.75,1.75,2.11,0
618,1.63,1.63,1.81,0
619,1.63,1.63,1.81,0
620,1.63,1.63,1.81,0
621,2.78,2.78,2.74,0
622,2.78,2.78,2.74,0
623,3.78,3.78,4.28,0
624,3.78,3.78,4.28,0
