,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t925,18892.06286198674,0.0007629706354466823,-0.0009041445420400663,0.0,-0.0,0.0,-4.590323302233265e-7,0.0,0.0,-18892.06272036177
t926,19358.4744268007,0.00076321216916804,-0.0009035090366121548,0.0,-0.0,0.0,-4.590395156770605e-7,0.0,0.0,-19358.474286052544
t927,19676.438776320694,0.0007643568664501676,-0.0009013821375871121,0.0,-0.0,0.0,-4.5903134850941914e-7,0.0,0.0,-19676.438638843792
t928,19878.51852566509,0.0007663167535647375,-0.0008983517932070937,0.0,-0.0,0.0,-4.5903002376192846e-7,0.0,0.0,-19878.518393177983
t929,20022.177109277545,0.0007705303371387084,-0.0008930487702129726,0.0,-0.0,0.0,-4.590270469323279e-7,0.0,0.0,-20022.176986306557
t930,19858.40632206765,0.0007660915332926936,-0.0008975670523816966,0.0,-0.0,0.0,-4.5902388591489606e-7,0.0,0.0,-19858.406190139984
t931,19300.053266906798,0.0007618546759187221,-0.0009034629134700009,0.0,-0.0,0.0,-4.5902220023019055e-7,0.0,0.0,-19300.053124846927
t932,18452.467569375374,0.0007613752642232508,-0.0009049109023178771,0.0,-0.0,0.0,-4.590213154711577e-7,0.0,0.0,-18452.46742538833
t933,18048.308058605762,0.0007625298918658508,-0.000903964519413691,0.0,-0.0,0.0,-4.5903849407914856e-7,0.0,0.0,-18048.307916719943
t934,17414.29479859043,0.0007631950220317347,-0.0009022885393685221,0.0,-0.0,0.0,-4.5903554881603256e-7,0.0,0.0,-17414.294659045834
t935,15792.868146388106,0.0007632467646652797,-0.0009045822069288054,0.0,-0.0,0.0,-4.5902578440324587e-7,0.0,0.0,-15792.868004601318
t936,14125.470739782899,0.0007633820255275173,-0.0009023574975425447,0.0,-0.0,0.0,-4.5902969919795607e-7,0.0,0.0,-14125.470600355662
t937,12837.332021376238,0.0007634558655737523,-0.0009024108120784331,0.0,-0.0,0.0,-4.590380748516496e-7,0.0,0.0,-12837.33188196944
t938,12012.731697678935,0.0007632270669386762,-0.000903043158642171,0.0,-0.0,0.0,-4.590491057896235e-7,0.0,0.0,-12012.73155741142
t939,11508.011174574292,0.0007630140670299983,-0.0009035846657662339,0.0,-0.0,0.0,-4.5905356040043876e-7,0.0,0.0,-11508.011033553028
t940,11230.271228582234,0.0007628098613774302,-0.0009041030537910383,0.0,-0.0,0.0,-4.590511592427637e-7,0.0,0.0,-11230.271086837785
t941,11285.819218084083,0.0007628020190278203,-0.0009042530408358627,0.0,-0.0,0.0,-4.590582144276352e-7,0.0,0.0,-11285.819076180835
t942,11741.695819864935,0.00076297802197325,-0.0009040150466596429,0.0,-0.0,0.0,-4.5903553007214894e-7,0.0,0.0,-11741.69567837551
t943,13005.89143801673,0.0007634228826332187,-0.0009030801964216726,0.0,-0.0,0.0,-4.5903034366571964e-7,0.0,0.0,-13005.891297906968
t944,14670.415670163431,0.0007632315706157265,-0.0009026528704185735,0.0,-0.0,0.0,-4.5902979922404356e-7,0.0,0.0,-14670.415530290054
t945,16016.975553683362,0.0007620646029444791,-0.0009054145193950477,0.0,-0.0,0.0,-4.590348010172467e-7,0.0,0.0,-16016.975409881894
t946,17189.229676354324,0.0007609923500332566,-0.0009070845237013365,0.0,-0.0,0.0,-4.590368438099397e-7,0.0,0.0,-17189.229529811066
t947,18235.06423859249,0.0007594138201588149,-0.0009097682552571466,0.0,-0.0,0.0,-4.5903602534530796e-7,0.0,0.0,-18235.064087787086
t948,19061.580017212345,0.0007567892918536615,-0.0009132970153301431,0.0,-0.0,0.0,-4.5903173487035673e-7,0.0,0.0,-19061.57986025349
t949,19664.9461135406,0.0007541425158282288,-0.000915837994181982,0.0,-0.0,0.0,-4.5902793900335207e-7,0.0,0.0,-19664.945951393507
t950,20153.38530994518,0.0007615135522602663,-0.0009029746863879751,0.0,-0.0,0.0,-4.590258393475277e-7,0.0,0.0,-20153.385168030658
t951,20326.73324732991,0.0008109007363165855,-0.000854033613414044,0.0,-0.0,0.0,-4.590237343881864e-7,0.0,0.0,-20326.73320373914
t952,20296.086121295037,0.0007874049509388346,-0.0008710388940312205,0.0,-0.0,0.0,-4.590224157535223e-7,0.0,0.0,-20296.086037205045
t953,20162.962545743412,0.0007608994303704403,-0.0008986170894546621,0.0,-0.0,0.0,-4.5902177028921856e-7,0.0,0.0,-20162.962407572566
t954,19711.874585983296,0.0007525826903051828,-0.000912965553544232,0.0,-0.0,0.0,-4.590207326021001e-7,0.0,0.0,-19711.87442514884
t955,18903.55556742372,0.0007545264839567739,-0.0009136869194361022,0.0,-0.0,0.0,-4.5901944946814077e-7,0.0,0.0,-18903.55540781206
t956,18119.179641451454,0.0007578727293340707,-0.0009095429419122764,0.0,-0.0,0.0,-4.590185175626768e-7,0.0,0.0,-18119.17948933004
t957,17822.285209953585,0.0007604985215067752,-0.0009064700753103911,0.0,-0.0,0.0,-4.590416916032269e-7,0.0,0.0,-17822.285063530988
t958,17258.185796701084,0.0007620984398010623,-0.0009038356794061263,0.0,-0.0,0.0,-4.5905124849801297e-7,0.0,0.0,-17258.185654512778
t959,15822.557590256547,0.0007625432637657237,-0.0009051671876118811,0.0,-0.0,0.0,-4.590384315989682e-7,0.0,0.0,-15822.557447181225
t960,14311.269187488784,0.0007631668192085145,-0.0009027349985184227,0.0,-0.0,0.0,-4.590280553279342e-7,0.0,0.0,-14311.269047468617
t961,13130.395551148726,0.0007635231994016045,-0.0009022677600218217,0.0,-0.0,0.0,-4.5902796519888157e-7,0.0,0.0,-13130.395411951733
t962,12382.413143354901,0.000763436926694896,-0.0009026103851502027,0.0,-0.0,0.0,-4.590349770672725e-7,0.0,0.0,-12382.413003728954
t963,11889.18530745076,0.0007633023486575704,-0.0009029798636452817,0.0,-0.0,0.0,-4.5904686106495876e-7,0.0,0.0,-11889.185167320846
t964,11597.079501801367,0.0007632337271296777,-0.0009032900570895673,0.0,-0.0,0.0,-4.590580156206771e-7,0.0,0.0,-11597.079361292745
