Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1207,0.0,0.0,0.0,0.0,0.0021767472705372663,0.0021767472705372663
t1208,0.0,0.0,0.0,0.0,0.0021767612688924666,0.0021767612688924666
t1209,0.0,0.0,0.0,0.0,0.002177754638078538,0.002177754638078538
t1210,0.0,0.0,0.0,0.0,0.0021778680526780797,0.0021778680526780797
t1211,0.0,0.0,0.0,0.0,0.0021778051761233044,0.0021778051761233044
t1212,0.0,0.0,0.0,0.0,0.0021777193435007455,0.0021777193435007455
t1213,0.0,0.0,0.0,0.0,0.0021778333115522034,0.0021778333115522034
t1214,0.0,0.0,0.0,0.0,0.002177914622154105,0.002177914622154105
t1215,0.0,0.0,0.0,0.0,0.0021784254603868258,0.0021784254603868258
t1216,0.0,0.0,0.0,0.0,0.0021791655567788754,0.0021791655567788754
t1217,0.0,0.0,0.0,0.0,0.002178185079298392,0.002178185079298392
t1218,0.0,0.0,0.0,0.0,0.002174807705122792,0.002174807705122792
t1219,0.0,0.0,0.0,0.0,0.002176100992489103,0.002176100992489103
t1220,0.0,0.0,0.0,0.0,0.0021769952172851098,0.0021769952172851098
t1221,0.0,0.0,0.0,0.0,0.002176845524371119,0.002176845524371119
t1222,0.0,0.0,0.0,0.0,0.002177095685464061,0.002177095685464061
t1223,0.0,0.0,0.0,0.0,0.0021773336616366674,0.0021773336616366674
t1224,0.0,0.0,0.0,0.0,0.002177873175972047,0.002177873175972047
t1225,0.0,0.0,0.0,0.0,0.0021785462567312556,0.0021785462567312556
t1226,0.0,0.0,0.0,0.0,0.0021792319092876367,0.0021792319092876367
t1227,0.0,0.0,0.0,0.0,0.0021797914017757047,0.0021797914017757047
t1228,0.0,0.0,0.0,0.0,0.0021802182161953353,0.0021802182161953353
t1229,0.0,0.0,0.0,0.0,0.002179899303691105,0.002179899303691105
t1230,0.0,0.0,0.0,0.0,0.002178505516568823,0.002178505516568823
t1231,0.0,0.0,0.0,0.0,0.0021766973657597623,0.0021766973657597623
t1232,0.0,0.0,0.0,0.0,0.0021764920067527858,0.0021764920067527858
t1233,0.0,0.0,0.0,0.0,0.0021771164069720496,0.0021771164069720496
t1234,0.0,0.0,0.0,0.0,0.0021775779511979732,0.0021775779511979732
t1235,0.0,0.0,0.0,0.0,0.0021776080904613976,0.0021776080904613976
t1236,0.0,0.0,0.0,0.0,0.0021777720839724485,0.0021777720839724485
t1237,0.0,0.0,0.0,0.0,0.002178009922423554,0.002178009922423554
t1238,0.0,0.0,0.0,0.0,0.00217780805674333,0.00217780805674333
t1239,0.0,0.0,0.0,0.0,0.0021786747108561238,0.0021786747108561238
t1240,0.0,0.0,0.0,0.0,0.0021793695164253135,0.0021793695164253135
