Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t63,1.1566561909474818e-7,1.1920548998882072e-7,0.0,0.0,0.0,2.348711090835689e-7
t64,1.156688698857205e-7,1.1922448642266399e-7,0.0,0.0,0.0,2.3489335630838448e-7
t65,1.156717327119679e-7,1.1922477153586835e-7,0.0,0.0,0.0,2.3489650424783627e-7
t66,1.1566270715911138e-7,1.1916394305582435e-7,0.0,0.0,0.0,2.3482665021493574e-7
t67,1.1556086208039825e-7,1.1884042222944048e-7,0.0,0.0,0.0,2.3440128430983873e-7
t68,1.1544585613407307e-7,1.1852182022450026e-7,0.0,0.0,0.0,2.3396767635857333e-7
t69,1.153994978253139e-7,1.1837229668905623e-7,0.0,0.0,0.0,2.3377179451437013e-7
t70,1.1538492400709374e-7,1.18315027515125e-7,0.0,0.0,0.0,2.3369995152221875e-7
t71,1.1538472895068965e-7,1.1830251334808498e-7,0.0,0.0,0.0,2.3368724229877464e-7
t72,1.1539144530924317e-7,1.1831240508435094e-7,0.0,0.0,0.0,2.337038503935941e-7
t73,1.1540168362628633e-7,1.1833244765802814e-7,0.0,0.0,0.0,2.3373413128431446e-7
t74,1.1541376962857506e-7,1.1835476021134223e-7,0.0,0.0,0.0,2.337685298399173e-7
t75,1.1542676341464135e-7,1.183765266957474e-7,0.0,0.0,0.0,2.3380329011038873e-7
t76,1.1544009466987778e-7,1.1839687917758718e-7,0.0,0.0,0.0,2.3383697384746495e-7
t77,1.1545311287001278e-7,1.184147863626005e-7,0.0,0.0,0.0,2.3386789923261326e-7
t78,1.1546506095320517e-7,1.1842573720667074e-7,0.0,0.0,0.0,2.338907981598759e-7
t79,1.1547424056448564e-7,1.1842678286193756e-7,0.0,0.0,0.0,2.339010234264232e-7
t80,1.1547639925251889e-7,1.1844486679836254e-7,0.0,0.0,0.0,2.3392126605088143e-7
t81,1.1547094506175962e-7,1.1845228738929302e-7,0.0,0.0,0.0,2.3392323245105266e-7
t82,1.154656137883992e-7,1.1844741176048837e-7,0.0,0.0,0.0,2.339130255488876e-7
t83,1.1546108117136332e-7,1.1843211160104216e-7,0.0,0.0,0.0,2.3389319277240548e-7
t84,1.1545732340672718e-7,1.1840800702443434e-7,0.0,0.0,0.0,2.3386533043116152e-7
t85,1.1545556638861754e-7,1.1837953747076721e-7,0.0,0.0,0.0,2.3383510385938476e-7
t86,1.154562535031964e-7,1.1835756763493754e-7,0.0,0.0,0.0,2.3381382113813394e-7
t87,1.1545842679010533e-7,1.1834089157619873e-7,0.0,0.0,0.0,2.3379931836630406e-7
t88,1.15461855781258e-7,1.1832333623547147e-7,0.0,0.0,0.0,2.337851920167295e-7
t89,1.1546397599693154e-7,1.1829363838438077e-7,0.0,0.0,0.0,2.337576143813123e-7
t90,1.154460639298543e-7,1.1822773918824295e-7,0.0,0.0,0.0,2.3367380311809723e-7
t91,1.1528366260773009e-7,1.1787028232418653e-7,0.0,0.0,0.0,2.3315394493191661e-7
t92,1.1519495300865213e-7,1.1766151491290842e-7,0.0,0.0,0.0,2.3285646792156055e-7
t93,1.151655565632691e-7,1.1757623352567545e-7,0.0,0.0,0.0,2.3274179008894456e-7
t94,1.1515824921918392e-7,1.175444240270176e-7,0.0,0.0,0.0,2.3270267324620153e-7
t95,1.1516140939044224e-7,1.1754065819553108e-7,0.0,0.0,0.0,2.327020675859733e-7
t96,1.151699306251962e-7,1.1755297095319712e-7,0.0,0.0,0.0,2.3272290157839332e-7
t97,1.151815758024834e-7,1.1757303047810059e-7,0.0,0.0,0.0,2.32754606280584e-7
t98,1.1519524333210494e-7,1.1759635720886293e-7,0.0,0.0,0.0,2.3279160054096788e-7
t99,1.1520983166541897e-7,1.1762081811731031e-7,0.0,0.0,0.0,2.3283064978272928e-7
t100,1.1522469112825723e-7,1.1764580859133018e-7,0.0,0.0,0.0,2.3287049971958742e-7
t101,1.1523913033197194e-7,1.1766965634998084e-7,0.0,0.0,0.0,2.3290878668195277e-7
t102,1.1525198607019784e-7,1.1768769839775054e-7,0.0,0.0,0.0,2.3293968446794837e-7
t103,1.1526152379376889e-7,1.1769486543473637e-7,0.0,0.0,0.0,2.3295638922850526e-7
t104,1.1526526636206743e-7,1.1769900650966137e-7,0.0,0.0,0.0,2.329642728717288e-7
t105,1.1526443233522755e-7,1.1770522673072374e-7,0.0,0.0,0.0,2.329696590659513e-7
t106,1.1526305776317339e-7,1.1771254269386147e-7,0.0,0.0,0.0,2.3297560045703488e-7
t107,1.152610966796392e-7,1.1771507485394076e-7,0.0,0.0,0.0,2.3297617153357998e-7
t108,1.152595137627027e-7,1.1771570251992235e-7,0.0,0.0,0.0,2.3297521628262506e-7
t109,1.1525913573181157e-7,1.1771890684322082e-7,0.0,0.0,0.0,2.329780425750324e-7
