Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
t96,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,134.8156207828757,0.0,0.0,254.75675383307745,0.0,0.0,0.0,521.8289004280289
t97,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,198.70415869149443,0.0,165.0,0.0,0.0,0.0,460.79738128997394
t98,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,165.0,0.0,176.4312680009631,0.0,0.0,0.0,438.52449059944263
t99,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,165.0,0.0,166.2095074735499,0.0,0.0,0.0,428.3027300720295
t100,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897867,74.14859143058165,165.0,0.0,165.0,0.0,0.0,0.0,427.09322259847954
t101,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,87.24873569767462,165.0,0.0,165.0,0.0,0.0,0.0,440.1933668655725
t102,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897867,74.14859143058165,226.13561443370918,0.0,165.0,0.0,0.0,0.0,488.2288370321887
t103,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,87.41517107112983,300.0,0.0,165.0,0.0,0.0,0.0,575.3598022390277
t104,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,134.8156207828757,171.17560130236512,0.0,300.0,0.0,0.0,0.0,628.9358532531387
t105,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,176.55031090969962,0.0,300.0,0.0,0.0,0.0,653.083442906935
t106,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,134.8156207828757,300.0,0.0,212.78710029335494,0.0,0.0,0.0,670.5473522441284
t107,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,300.0,0.0,208.71315247654834,0.0,0.0,0.0,685.2462844737838
t108,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,300.0,0.0,217.0016519804309,0.0,0.0,0.0,693.5347839776664
t109,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,300.0,0.0,297.6830845956269,0.0,0.0,0.0,694.7763071941065
t110,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.34663278925458,300.0,0.0,300.0,0.0,0.0,0.0,697.2912639571525
t111,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,300.0,0.0,215.2712365166425,0.0,0.0,0.0,691.804368513878
t112,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,300.0,0.0,289.3288728453963,0.0,0.0,0.0,686.4220954438758
t113,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,300.0,0.0,210.31626422113987,0.0,0.0,0.0,686.8493962183753
t114,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,300.0,0.0,296.80811536920305,0.0,0.0,0.0,693.9013379676826
t115,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,300.0,0.0,230.5174848848408,0.0,0.0,0.0,707.0506168820763
t116,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,134.8156207828757,300.0,0.0,273.7225396453701,0.0,0.0,0.0,731.4827915961437
t117,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,76.54643038348739,300.0,0.0,300.0,0.0,0.0,0.0,699.4910615513852
t118,0.0,0.0,0.0,0.0,0.0,0.0,41.71751121435976,134.8156207828757,166.6899195535628,0.0,300.0,0.0,0.0,0.0,643.2230515507982
t119,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,86.26307496608479,165.0,0.0,300.0,0.0,0.0,0.0,574.2077061339826
t120,0.0,0.0,0.0,0.0,0.0,0.0,22.944631167897864,74.14859143058165,251.8466291397951,0.0,165.0,0.0,0.0,0.0,513.9398517382747
t121,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,134.8156207828757,91.45277179694632,68.82926044705816,165.0,0.0,0.0,0.0,561.5998418483432
t122,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,115.66188620445321,90.25660579799683,68.82926044705816,165.0,0.0,0.0,0.0,541.2499412709712
t123,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,74.14859143058165,122.11988596621435,68.82926044705816,165.0,0.0,0.0,0.0,531.5999266653173
t124,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,105.51190765331594,90.25660579799683,68.82926044705816,165.0,0.0,0.0,0.0,531.0999627198339
t125,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,121.81191429224964,90.25660579799683,68.82926044705816,165.0,0.0,0.0,0.0,547.3999693587677
t126,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,99.76563109875727,164.1029196327215,68.82926044705816,165.0,0.0,0.0,0.0,599.2
t127,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,74.14859143058165,149.46917025137304,68.82926044705816,300.0,0.0,0.0,0.0,693.9492109504758
t128,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,134.8156207828757,164.1029196327215,125.14410990374209,218.9342107440357,0.0,0.0,0.0,744.499049884838
t129,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,134.8156207828757,151.552134783089,68.82926044705816,300.0,0.0,0.0,0.0,756.699204834486
t130,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,127.61549678495801,164.1029196327215,68.82926044705816,300.0,0.0,0.0,0.0,762.0498656862007
t131,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,133.55971499890015,164.1029196327215,68.82926044705816,300.0,0.0,0.0,0.0,767.9940839001429
t132,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,134.8156207828757,164.1029196327215,125.14410990374209,244.78253124906396,0.0,0.0,0.0,770.3473703898662
t133,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,134.8156207828757,164.1029196327215,68.82926044705816,300.0,0.0,0.0,0.0,769.2499896841184
t134,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,134.8156207828757,107.13794292810647,125.14410990374209,300.0,0.0,0.0,0.0,768.5998624361873
t135,0.0,0.0,0.0,0.0,0.0,0.0,101.50218882146302,129.81510364773303,164.1029196327215,68.82926044705816,300.0,0.0,0.0,0.0,764.2494725489757
t136,0.0,0.0,0.0,0.0,0.0,0.0,184.54943422084185,74.14859143058165,90.25660579799684,125.14410990374209,300.0,0.0,0.0,0.0,774.0987413531625
t137,0.0,0.0,0.0,0.0,0.0,0.0,103.13463777634787,134.8156207828757,164.1029196327215,125.14410990374209,300.0,0.0,0.0,0.0,827.1972880956872
t138,0.0,0.0,0.0,0.0,0.0,0.0,184.54943422084185,134.8156207828757,117.83759399473857,125.14410990374209,300.0,0.0,0.0,0.0,862.3467589021982
