Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
t168,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t169,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t170,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t171,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t172,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t173,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t174,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t175,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t176,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t177,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t185,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t186,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t187,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t188,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t189,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t190,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t191,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t192,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t193,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t194,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t195,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t196,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t197,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t198,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t199,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t200,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t201,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t209,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t210,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t211,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t212,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t213,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t214,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t215,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t216,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t217,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t218,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t219,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t220,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t221,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t222,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t223,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t224,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t225,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t233,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t234,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.449999999999998
t235,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t236,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t237,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t238,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t239,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t240,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t241,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t242,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t243,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t244,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t245,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t246,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t247,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t248,0.0,165.69647344999998,0.0,0.0,0.0,0.0,14.45
t249,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t257,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t258,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t259,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t260,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t261,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t262,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t263,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t264,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t265,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t266,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t267,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t268,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t269,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t270,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t271,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t272,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t273,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999999
t274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t281,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t282,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t283,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t284,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t285,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t286,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t287,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t288,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t289,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t290,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t291,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t292,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t293,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t294,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t295,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t296,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t297,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t305,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t306,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.449999999999998
t307,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t308,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t309,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t310,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t311,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t312,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t313,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t314,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t315,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t316,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t317,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t318,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t319,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t320,0.0,172.86196015000002,0.0,0.0,0.0,0.0,14.45
t321,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
