Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
110,1,0.4854,0.4854,1,0.249637455,0.249637455,0.4408,0.4408,1,0.390997708,0.390997708,1,1,1
111,1,0.3973,0.3973,1,0.350143909,0.350143909,0.4072,0.4072,1,0.371668875,0.371668875,1,1,1
112,1,0.2948,0.2948,1,0.742475271,0.742475271,0.3063,0.3063,1,0.564464331,0.564464331,1,1,1
113,1,0.0897,0.0897,1,0.870121062,0.870121062,0.1054,0.1054,1,0.659781039,0.659781039,1,1,1
114,1,0,0,1,0.958805382,0.958805382,0,0,1,0.668345809,0.668345809,1,1,1
115,1,0,0,1,0.799080312,0.799080312,0,0,1,0.775924802,0.775924802,1,1,1
116,1,0,0,1,0.399789095,0.399789095,0,0,1,0.654665828,0.654665828,1,1,1
117,1,0,0,1,0.343781441,0.343781441,0,0,1,0.754780889,0.754780889,1,1,1
118,1,0,0,1,0.002315517,0.002315517,0,0,1,0.167690724,0.167690724,1,1,1
119,1,0,0,1,0.094827555,0.094827555,0,0,1,0.573313653,0.573313653,1,1,1
120,1,0,0,1,0.031066958,0.031066958,0,0,1,0.43366161,0.43366161,1,1,1
121,1,0,0,1,0.097598262,0.097598262,0,0,1,0.349793971,0.349793971,1,1,1
122,1,0,0,1,0.058144085,0.058144085,0,0,1,0.266512692,0.266512692,1,1,1
123,1,0,0,1,0.142925054,0.142925054,0,0,1,0.180226371,0.180226371,1,1,1
124,1,0,0,1,0.373674929,0.373674929,0,0,1,0.118735507,0.118735507,1,1,1
125,1,0,0,1,0.434153348,0.434153348,0,0,1,0.091907203,0.091907203,1,1,1
126,1,0,0,1,0.435889482,0.435889482,0,0,1,0.070327573,0.070327573,1,1,1
127,1,0,0,1,0.563583791,0.563583791,0,0,1,0.099923894,0.099923894,1,1,1
128,1,0,0,1,0.845474541,0.845474541,0,0,1,0.154476166,0.154476166,1,1,1
129,1,0.1023,0.1023,1,0.694941878,0.694941878,0.139,0.139,1,0.193684876,0.193684876,1,1,1
130,1,0.2939,0.2939,1,0.832901537,0.832901537,0.4082,0.4082,1,0.242370129,0.242370129,1,1,1
131,1,0.5036,0.5036,1,0.784772754,0.784772754,0.5689,0.5689,1,0.246076912,0.246076912,1,1,1
132,1,0.62,0.62,1,0.584573805,0.584573805,0.6386,0.6386,1,0.237035424,0.237035424,1,1,1
133,1,0.5947,0.5947,1,0.526055634,0.526055634,0.5749,0.5749,1,0.226963848,0.226963848,1,1,1
134,1,0.4261,0.4261,1,0.535089731,0.535089731,0.557,0.557,1,0.258899093,0.258899093,1,1,1
135,1,0.3649,0.3649,1,0.20891723,0.20891723,0.3724,0.3724,1,0.195579961,0.195579961,1,1,1
136,1,0.1992,0.1992,1,0.3200486,0.3200486,0.1936,0.1936,1,0.375185788,0.375185788,1,1,1
137,1,0.0151,0.0151,1,0.762181401,0.762181401,0.0704,0.0704,1,0.408885181,0.408885181,1,1,1
138,1,0,0,1,0.967575073,0.967575073,0,0,1,0.427647233,0.427647233,1,1,1
139,1,0,0,1,0.947055817,0.947055817,0,0,1,0.428736746,0.428736746,1,1,1
140,1,0,0,1,0.922798336,0.922798336,0,0,1,0.413813174,0.413813174,1,1,1
141,1,0,0,1,0.981649756,0.981649756,0,0,1,0.354275286,0.354275286,1,1,1
142,1,0,0,1,0.987221539,0.987221539,0,0,1,0.335782766,0.335782766,1,1,1
143,1,0,0,1,0.972513497,0.972513497,0,0,1,0.419259131,0.419259131,1,1,1
144,1,0,0,1,0.921534657,0.921534657,0,0,1,0.374869168,0.374869168,1,1,1
145,1,0,0,1,0.942537785,0.942537785,0,0,1,0.301030874,0.301030874,1,1,1
146,1,0,0,1,0.942126811,0.942126811,0,0,1,0.325035155,0.325035155,1,1,1
147,1,0,0,1,0.740993917,0.740993917,0,0,1,0.387509257,0.387509257,1,1,1
148,1,0,0,1,0.56838423,0.56838423,0,0,1,0.436268449,0.436268449,1,1,1
149,1,0,0,1,0.254551947,0.254551947,0,0,1,0.409830958,0.409830958,1,1,1
150,1,0,0,1,0.088092998,0.088092998,0,0,1,0.362387031,0.362387031,1,1,1
151,1,0,0,1,0.153454423,0.153454423,0,0,1,0.333725303,0.333725303,1,1,1
152,1,0,0,1,0.125184193,0.125184193,0,0,1,0.27631855,0.27631855,1,1,1
153,1,0.1883,0.1883,1,0.232314631,0.232314631,0.1888,0.1888,1,0.156356975,0.156356975,1,1,1
154,1,0.4067,0.4067,1,0.527668715,0.527668715,0.418,0.418,1,0.096909747,0.096909747,1,1,1
155,1,0.5478,0.5478,1,0.643087626,0.643087626,0.5584,0.5584,1,0.082197607,0.082197607,1,1,1
156,1,0.6386,0.6386,1,0.444231838,0.444231838,0.6543,0.6543,1,0.094594836,0.094594836,1,1,1
157,1,0.6504,0.6504,1,0.497035325,0.497035325,0.6701,0.6701,1,0.102840483,0.102840483,1,1,1
158,1,0.6311,0.6311,1,0.564896762,0.564896762,0.647,0.647,1,0.105240457,0.105240457,1,1,1
159,1,0.5093,0.5093,1,0.640720606,0.640720606,0.5124,0.5124,1,0.067702353,0.067702353,1,1,1
160,1,0.299,0.299,1,0.400899559,0.400899559,0.316,0.316,1,0.140837073,0.140837073,1,1,1
161,1,0.0553,0.0553,1,0.538941324,0.538941324,0.1148,0.1148,1,0.161545038,0.161545038,1,1,1
162,1,0,0,1,0.923362017,0.923362017,0,0,1,0.168319955,0.168319955,1,1,1
163,1,0,0,1,0.840292275,0.840292275,0,0,1,0.248747885,0.248747885,1,1,1
164,1,0,0,1,0.243614614,0.243614614,0,0,1,0.357263148,0.357263148,1,1,1
165,1,0,0,1,0.643543959,0.643543959,0,0,1,0.407699734,0.407699734,1,1,1
166,1,0,0,1,0.796087563,0.796087563,0,0,1,0.559159398,0.559159398,1,1,1
167,1,0,0,1,0.903208315,0.903208315,0,0,1,0.730784357,0.730784357,1,1,1
168,1,0,0,1,0.935438216,0.935438216,0,0,1,0.753751397,0.753751397,1,1,1
169,1,0,0,1,0.997932076,0.997932076,0,0,1,0.818970919,0.818970919,1,1,1
170,1,0,0,1,0.982208312,0.982208312,0,0,1,0.724056244,0.724056244,1,1,1
171,1,0,0,1,0.986259937,0.986259937,0,0,1,0.717351198,0.717351198,1,1,1
172,1,0,0,1,0.994179308,0.994179308,0,0,1,0.723726153,0.723726153,1,1,1
173,1,0,0,1,0.966724813,0.966724813,0,0,1,0.723625481,0.723625481,1,1,1
174,1,0,0,1,0.938414276,0.938414276,0,0,1,0.731772125,0.731772125,1,1,1
175,1,0,0,1,0.819656253,0.819656253,0,0,1,0.790290594,0.790290594,1,1,1
176,1,0,0,1,0.804335475,0.804335475,0,0,1,0.554285526,0.554285526,1,1,1
177,1,0.2056,0.2056,1,0.796525359,0.796525359,0.1964,0.1964,1,0.616902471,0.616902471,1,1,1
178,1,0.4097,0.4097,1,0.6475963,0.6475963,0.35,0.35,1,0.659731388,0.659731388,1,1,1
179,1,0.5584,0.5584,1,0.803939998,0.803939998,0.4004,0.4004,1,0.512989461,0.512989461,1,1,1
180,1,0.4656,0.4656,1,0.813347638,0.813347638,0.5397,0.5397,1,0.467998236,0.467998236,1,1,1
181,1,0.5802,0.5802,1,0.786184669,0.786184669,0.5759,0.5759,1,0.373288602,0.373288602,1,1,1
