,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t139,3762.5656781129214,12593.612364592333,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16356.178042705256
t140,1885.6744812146487,13998.104630443526,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15883.779111658176
t141,3231.3518544471794,12024.593839174237,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15255.945693621417
t142,3406.759289029376,11031.377502456777,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14438.136791486153
t143,4232.8825233120215,9091.815067254573,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13324.697590566591
t144,4350.705472412028,7830.075566844867,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12180.781039256894
t145,3872.1703899238087,7423.75157633953,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11295.921966263337
t146,4795.029719572884,6010.206905409296,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10805.236624982179
t147,5548.422691521626,4989.629161707046,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10538.051853228671
t148,5194.667965027967,5236.713161835237,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10431.381126863203
t149,3628.070484669503,6906.933633520156,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10535.004118189658
t150,1088.5575029570139,9847.731728702744,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10936.289231659757
t151,742.413977206588,10918.220282058688,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11660.634259265275
t152,791.008093969748,11633.59174840822,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12424.599842377967
t153,13207.86774740441,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13207.86774740441
t154,13680.266678451486,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13680.266678451486
t155,60994.54551916454,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-13813.351108488407
t156,13702.616735404252,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13702.616735404252
t157,60631.86504952195,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-13450.670638845811
t158,13166.215368537894,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13166.215368537894
t159,12967.09667932235,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12967.09667932235
t160,34432.35413074399,0.0,-21328.109374666034,0.0,-0.0,0.0,0.0,0.0,0.0,-13104.244756077953
t161,10166.10554208182,3898.175751285356,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14064.281293367176
t162,7399.250766400054,7627.098887615688,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15026.349654015741
t163,9946.096129605276,4904.500803827359,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14850.596933432635
t164,9595.175264286969,4778.959091379903,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14374.134355666873
t165,10199.455026331083,3722.5986318821356,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13922.053658213219
t166,9484.897260250096,3785.9570112939255,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13270.854271544022
t167,9836.493983086702,2582.010389213238,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12418.50437229994
t168,10516.90612400213,964.9276796410238,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11481.833803643154
t169,10782.62899674835,301.10794432028774,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11083.736941068639
t170,10752.835671859706,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10752.835671859706
t171,10640.27101723145,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10640.27101723145
