Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
t863,0.0,5234.926711299418,4377.121398734057,12848.178514443114,0.0,2323.9413311272533,3344.097122831596,0.0,322.9560152632791,8089.1605334698015,0.0,6462.065553519333,591.4539024912515,74.42909443685856,43668.330177615964
t864,0.0,5234.926711299418,4377.121398734057,12268.59708530857,0.0,2323.9413311272533,3192.5010063709783,0.0,322.9560152632791,8119.734204564654,0.0,6462.145571936274,591.8737437633702,74.42909443685856,42968.226162804705
t865,0.0,5234.926711299418,4377.121398734057,13863.130320846136,0.0,2323.9413311272533,3607.915732363077,0.0,322.9560152632791,8188.057400959405,0.0,6463.203663220473,591.9105187284637,74.39496007981178,45047.558052621374
t866,0.0,5234.926711299418,4377.121398734057,13715.458254042122,0.0,2323.9413311272533,3566.4840018037635,0.0,322.9560152632791,7976.676739140096,0.0,6457.934647589119,592.0459484396912,74.46322879390533,44642.00827623271
t867,0.0,5234.926711299418,4377.121398734057,13244.835037542367,0.0,2323.9413311272533,3446.7022436392112,0.0,322.9560152632791,7624.7823501736375,0.0,6463.084573245292,592.0459484396912,74.42909443685856,43704.82470390107
t868,0.0,5234.926711299418,4377.121398734057,12120.883572408553,0.0,2323.9413311272533,3154.063397302163,0.0,322.9560152632791,7625.770316973989,0.0,6462.519907967487,591.9821273704589,74.42909443685856,42288.59387288351
t869,0.0,5234.926711299418,4377.121398734057,11520.188851909874,0.0,2323.9413311272533,2997.7522488979007,0.0,322.9560152632791,7028.6931009649625,0.0,6462.110250852157,591.8730516637795,74.42909443685856,40933.99205514954
t870,0.0,5234.926711299418,4377.121398734057,11897.570616845658,0.0,2323.9413311272533,3095.953506626567,0.0,322.9560152632791,6414.761897599847,0.0,6462.014643432516,591.8408426407607,74.39496007981178,40795.481923649175
t871,0.0,5234.655227330585,4377.121398734057,8386.294129966804,0.0,2323.9413311272533,2182.258677457307,0.0,322.9560152632791,6250.193922147477,0.0,6461.866082677391,592.0459484396912,74.46322879390533,36205.79596193775
t872,0.0,5234.172589163771,4377.121398734057,2909.4221966119853,0.0,2323.9413311272533,757.0819406698458,0.0,322.9560152632791,5814.3571181910165,0.0,6458.121504275606,591.4539024912515,74.42909443685856,28863.057090964925
t873,0.0,5234.172589163771,4377.121398734057,839.2178297819448,2056.5328008527695,2323.9413311272533,218.37898396318081,2274.882833572123,322.9560152632791,5774.855978316958,23.88609,6459.252990874339,591.4539024912515,74.42909443685856,30571.081838577786
t874,0.0,5234.172589163771,4377.121398734057,27.051525275523076,3944.4832391094947,2323.9413311272533,7.039274422777678,4467.25199203366,322.9560152632791,4111.583448085703,45.81414000000001,6460.394473765178,591.4539024912515,74.46322879390533,31987.726558265855
t875,0.0,5234.172589163771,4377.121398734057,44.016578537568414,5314.644992249796,2323.9413311272533,11.453874497718093,5959.214373393698,322.9560152632791,2516.8373892471727,61.72821,6461.568873891071,591.4539024912515,74.46322879390533,33293.57275739054
