,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t35,5689.078736776019,0.0,-68.79356146421966,0.0,-0.0,0.0,0.0,5553.28654675676,-54.57172206855785,-11119.0,3203.057780032891,0.0,-27.057780032890832,0.0,-0.0,0.0,0.0,0.0,-0.0,-3176.0,7123.858268825318,0.0,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1516.0
t36,5830.416857394845,0.0,-0.0,0.0,-0.0,0.0,0.0,5326.172929668318,-53.589787063163136,-11103.0,3006.1340879084737,86.13030964032609,-0.0,0.0,-0.0,0.0,0.0,78.2168644434465,-0.4812619922460742,-3170.0,6005.523508187562,965.97481099512,-0.0,0.0,-0.0,0.0,0.0,-5404.389794111765,-53.10852507091706,-1514.0
t37,5550.298772186491,6.308720986017242,-0.0,0.0,-0.0,0.0,0.0,5492.394954993328,-53.00244816583427,-10996.0,3405.8871553247754,0.0,-0.0,0.0,-0.0,0.0,0.0,-264.26117783484364,-1.6259774899317994,-3140.0,5812.535436839266,965.97481099512,-0.0,0.0,-0.0,0.0,0.0,-5228.133777158484,-51.37647067590247,-1499.0
t38,5078.95852378796,0.0,-20.666772294829155,0.0,-0.0,0.0,0.0,5919.533457971003,-56.82520946413583,-10921.0,3712.1112656335054,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-366.2469112142437,-2.2534873955779773,-3119.0,6160.135514809859,936.7227540154586,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1489.0
t39,4933.143630117857,0.0,-0.0,0.0,-0.0,0.0,0.0,5926.725833446401,-56.86946356425735,-10803.0,3627.632621338569,0.0,-166.89559315322856,0.0,-0.0,0.0,0.0,-373.43928668964145,-2.2977414956994986,-3085.0,6728.595855274774,352.26241355054367,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1473.0
t40,4664.441042111238,0.0,-0.0,0.0,-0.0,0.0,0.0,6202.122917264893,-58.56395937613019,-10808.0,3545.7805586825452,193.0480491331595,-0.0,0.0,-0.0,0.0,0.0,-648.8363705081325,-3.9922373075723425,-3086.0,6919.860192583787,161.99807624153183,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1474.0
t41,3871.2936247143894,1887.2299180917241,-0.0,0.0,-0.0,0.0,0.0,5597.319108023264,-54.84265082937691,-11301.0,3271.303490027323,0.0,-0.0,0.0,-0.0,0.0,0.0,-44.03256126650386,-0.2709287608190551,-3227.0,7465.290190694848,0.0,-317.4319218695301,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1540.0
t42,4387.017169545705,1887.2299180917241,-0.0,0.0,-0.0,0.0,0.0,5800.84785900917,-56.09494664659998,-12019.0,3681.084536830452,0.0,-0.0,0.0,-0.0,0.0,0.0,-247.56131225241026,-1.5232245780421318,-3432.0,7246.858268825317,0.0,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1639.0
t43,5814.651776399029,0.0,-0.0,0.0,-0.0,0.0,0.0,6162.669428878518,-58.32120527754814,-11919.0,3792.5214983070655,224.61086702368354,-0.0,0.0,-0.0,0.0,0.0,-609.3828821217585,-3.7494832089902874,-3404.0,7232.858268825318,0.0,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1625.0
t44,3566.2879736463406,1887.2299180917241,-0.0,0.0,-0.0,0.0,0.0,6145.698895229038,-58.21678696710138,-11541.0,3892.0574133708215,0.0,-0.0,0.0,-0.0,0.0,0.0,-592.4123484722778,-3.645064898543525,-3296.0,7181.858268825317,0.0,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1574.0
