Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
t974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42185.586090423625,-41864.180450044994,-43709.91096758032
t985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-43709.91096758032
t986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-43709.91096758032
t987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-43709.91096758032
t988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-43709.91096758032
t989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66506.9324493153,-66486.67426862568,-67557.90094326633
t990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78902.33039852942,-66486.67426862568,-80144.02285357553
t991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78902.33039852942,-66486.67426862568,-80144.02285357553
t992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80098.76983824508,-80246.80609495142,-84195.24059726148
t993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80098.76983824508,-80246.80609495142,-84195.24059726148
t994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80098.76983824508,-80246.80609495142,-84195.24059726148
t995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80098.76983824508,-80246.80609495142,-84195.24059726148
t996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78902.33039852942,-78878.39587503034,-82816.7375941718
t997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78902.33039852942,-78878.39587503034,-82816.7375941718
t998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78902.33039852942,-78878.39587503034,-82816.7375941718
