Zone,1,2,3
t179,62.55972501211003,63.33434093954418,61.3421507574164
t180,29.461611057495155,29.826405390727725,28.88821181191887
t181,29.461611057495155,29.826405390727725,28.88821181191887
t182,29.461611057495155,29.826405390727725,0.10000000000000002
t183,29.461611057495155,29.826405390727725,0.14194682959120278
t184,27.371316642011543,27.03654947602833,0.14194682959120278
t185,27.371316642011543,27.03654947602833,0.1
t186,27.371316642011543,27.03654947602833,0.1
t187,29.461611057495155,29.10127837171273,0.1
t188,30.92899773716466,31.311961285392293,0.10000000000000002
t189,30.928997737164654,31.31196128539229,0.10000000000000002
t190,29.461611057495155,29.10127837171273,0.1
t191,29.461611057495155,29.10127837171273,0.14194682959120278
t192,0.867726366892839,0.8571135673518859,0.10000000000000002
t193,0.3863511544827497,0.3816258545363813,0.1
t194,0.1019848900628031,0.10073755537788585,0.1
t195,0.1019848900628031,0.1007375553778878,0.1
t196,0.1019848900628031,0.10073755537788585,0.1
t197,0.1019848900628031,0.10073755537788585,0.1
t198,0.1019848900628031,0.10073755537788585,0.1
t199,0.1019848900628031,0.10073755537788584,0.10000000000000002
t200,3.520304360277604,3.4772489848456587,3.451790121173611
t201,39.912986102718556,39.42482700470037,39.136176033665215
t202,39.912986102718556,39.42482700470037,39.136176033665215
t203,39.912986102718556,39.42482700470037,39.136176033665215
t204,39.912986102718556,39.42482700470037,39.136176033665215
t205,39.912986102718556,39.42482700470037,39.136176033665215
t206,34.32307018707963,33.9032790208507,33.655054357506515
t207,34.32307018707963,33.9032790208507,33.655054357506515
t208,39.912986102718556,39.42482700470037,39.136176033665215
t209,34.32307018707963,33.9032790208507,33.655054357506515
t210,39.912986102718556,39.42482700470037,39.136176033665215
t211,34.32307018707963,33.9032790208507,33.655054357506515
t212,39.912986102718556,39.42482700470037,0.1
t213,29.461611057495155,29.10127837171273,0.10000000000000021
t214,21.770882150022917,21.504611564152338,0.1
t215,0.8677263668928417,0.8571135673518885,0.1
t216,0.3769583477642411,0.3816258545363843,0.1
t217,0.1019848900628031,0.10073755537788585,0.1
t218,0.1019848900628031,0.10073755537788585,0.1
t219,0.1019848900628031,0.10073755537788585,0.1
t220,0.1019848900628031,0.10073755537788585,0.1
t221,0.1019848900628031,0.10073755537788584,0.10000000000000002
t222,29.461611057495155,29.10127837171273,28.88821181191887
t223,29.461611057495155,29.10127837171273,28.88821181191887
t224,29.461611057495155,29.826405390727725,28.88821181191887
t225,29.461611057495155,29.826405390727725,28.88821181191887
t226,29.461611057495155,29.826405390727725,28.88821181191887
t227,37.737473174070395,38.2047394188644,37.00300422036183
t228,71.94184620526848,72.83263176912496,70.54167157602086
t229,71.94184620526848,72.83263176912496,70.54167157602086
t230,71.94184620526848,72.83263176912496,70.54167157602086
t231,71.94184620526848,72.83263176912496,70.54167157602086
