Time_Index,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
191,1.0,1.0,1.0,1.0,0.0,1.0,1.0
192,1.0,1.0,1.0,1.0,0.0,1.0,1.0
193,1.0,1.0,1.0,1.0,0.0,1.0,1.0
194,1.0,1.0,1.0,1.0,0.0,1.0,1.0
195,1.0,1.0,1.0,1.0,0.0,1.0,1.0
196,1.0,1.0,1.0,1.0,0.0,1.0,1.0
197,1.0,1.0,1.0,1.0,0.0,1.0,1.0
198,1.0,1.0,1.0,1.0,0.0,1.0,1.0
199,1.0,1.0,1.0,1.0,0.0,1.0,1.0
200,1.0,1.0,1.0,1.0,0.0,1.0,1.0
201,1.0,1.0,1.0,1.0,0.2215,1.0,1.0
202,1.0,1.0,1.0,1.0,0.448,1.0,1.0
203,1.0,1.0,1.0,1.0,0.6102,1.0,1.0
204,1.0,1.0,1.0,1.0,0.6827,1.0,1.0
205,1.0,1.0,1.0,1.0,0.6919,1.0,1.0
206,1.0,1.0,1.0,1.0,0.6824,1.0,1.0
207,1.0,1.0,1.0,1.0,0.6061,1.0,1.0
208,1.0,1.0,1.0,1.0,0.4429,1.0,1.0
209,1.0,1.0,1.0,1.0,0.2227,1.0,1.0
210,1.0,1.0,1.0,1.0,0.0,1.0,1.0
211,1.0,1.0,1.0,1.0,0.0,1.0,1.0
212,1.0,1.0,1.0,1.0,0.0,1.0,1.0
213,1.0,1.0,1.0,1.0,0.0,1.0,1.0
214,1.0,1.0,1.0,1.0,0.0,1.0,1.0
215,1.0,1.0,1.0,1.0,0.0,1.0,1.0
216,1.0,1.0,1.0,1.0,0.0,1.0,1.0
217,1.0,1.0,1.0,1.0,0.0,1.0,1.0
218,1.0,1.0,1.0,1.0,0.0,1.0,1.0
219,1.0,1.0,1.0,1.0,0.0,1.0,1.0
220,1.0,1.0,1.0,1.0,0.0,1.0,1.0
221,1.0,1.0,1.0,1.0,0.0,1.0,1.0
222,1.0,1.0,1.0,1.0,0.0,1.0,1.0
223,1.0,1.0,1.0,1.0,0.0,1.0,1.0
224,1.0,1.0,1.0,1.0,0.0,1.0,1.0
225,1.0,1.0,1.0,1.0,0.2201,1.0,1.0
226,1.0,1.0,1.0,1.0,0.4205,1.0,1.0
227,1.0,1.0,1.0,1.0,0.5658,1.0,1.0
228,1.0,1.0,1.0,1.0,0.6243,1.0,1.0
229,1.0,1.0,1.0,1.0,0.6336,1.0,1.0
230,1.0,1.0,1.0,1.0,0.6206,1.0,1.0
231,1.0,1.0,1.0,1.0,0.5519,1.0,1.0
232,1.0,1.0,1.0,1.0,0.4038,1.0,1.0
233,1.0,1.0,1.0,1.0,0.2062,1.0,1.0
234,1.0,1.0,1.0,1.0,0.0,1.0,1.0
235,1.0,1.0,1.0,1.0,0.0,1.0,1.0
236,1.0,1.0,1.0,1.0,0.0,1.0,1.0
237,1.0,1.0,1.0,1.0,0.0,1.0,1.0
238,1.0,1.0,1.0,1.0,0.0,1.0,1.0
239,1.0,1.0,1.0,1.0,0.0,1.0,1.0
240,1.0,1.0,1.0,1.0,0.0,1.0,1.0
241,1.0,1.0,1.0,1.0,0.0,1.0,1.0
242,1.0,1.0,1.0,1.0,0.0,1.0,1.0
243,1.0,1.0,1.0,1.0,0.0,1.0,1.0
244,1.0,1.0,1.0,1.0,0.0,1.0,1.0
245,1.0,1.0,1.0,1.0,0.0,1.0,1.0
246,1.0,1.0,1.0,1.0,0.0,1.0,1.0
247,1.0,1.0,1.0,1.0,0.0,1.0,1.0
248,1.0,1.0,1.0,1.0,0.0,1.0,1.0
249,1.0,1.0,1.0,1.0,0.0461,1.0,1.0
250,1.0,1.0,1.0,1.0,0.1938,1.0,1.0
251,1.0,1.0,1.0,1.0,0.3902,1.0,1.0
252,1.0,1.0,1.0,1.0,0.3957,1.0,1.0
253,1.0,1.0,1.0,1.0,0.4156,1.0,1.0
254,1.0,1.0,1.0,1.0,0.4371,1.0,1.0
255,1.0,1.0,1.0,1.0,0.5286,1.0,1.0
256,1.0,1.0,1.0,1.0,0.4206,1.0,1.0
257,1.0,1.0,1.0,1.0,0.2085,1.0,1.0
258,1.0,1.0,1.0,1.0,0.0,1.0,1.0
259,1.0,1.0,1.0,1.0,0.0,1.0,1.0
260,1.0,1.0,1.0,1.0,0.0,1.0,1.0
261,1.0,1.0,1.0,1.0,0.0,1.0,1.0
262,1.0,1.0,1.0,1.0,0.0,1.0,1.0
263,1.0,1.0,1.0,1.0,0.0,1.0,1.0
