Time_Index,ng,coal,biomass,nuclear,None
439,3.6,1.95,1.02,0.66,0
440,3.6,1.95,1.02,0.66,0
441,3.6,1.95,1.02,0.66,0
442,3.6,1.95,1.02,0.66,0
443,3.6,1.95,1.02,0.66,0
444,3.6,1.95,1.02,0.66,0
445,3.6,1.95,1.02,0.66,0
446,3.6,1.95,1.02,0.66,0
447,3.6,1.95,1.02,0.66,0
448,3.6,1.95,1.02,0.66,0
449,3.6,1.95,1.02,0.66,0
450,3.6,1.95,1.02,0.66,0
451,3.6,1.95,1.02,0.66,0
452,3.6,1.95,1.02,0.66,0
453,3.6,1.95,1.02,0.66,0
454,3.6,1.95,1.02,0.66,0
455,3.6,1.95,1.02,0.66,0
456,3.6,1.95,1.02,0.66,0
457,3.6,1.95,1.02,0.66,0
458,3.6,1.95,1.02,0.66,0
459,3.6,1.95,1.02,0.66,0
460,3.6,1.95,1.02,0.66,0
461,3.6,1.95,1.02,0.66,0
462,3.6,1.95,1.02,0.66,0
463,3.6,1.95,1.02,0.66,0
464,3.6,1.95,1.02,0.66,0
465,3.6,1.95,1.02,0.66,0
466,3.6,1.95,1.02,0.66,0
467,3.6,1.95,1.02,0.66,0
468,3.6,1.95,1.02,0.66,0
469,3.6,1.95,1.02,0.66,0
470,3.6,1.95,1.02,0.66,0
471,3.6,1.95,1.02,0.66,0
472,3.6,1.95,1.02,0.66,0
473,3.6,1.95,1.02,0.66,0
474,3.6,1.95,1.02,0.66,0
475,3.6,1.95,1.02,0.66,0
476,3.6,1.95,1.02,0.66,0
477,3.6,1.95,1.02,0.66,0
478,3.6,1.95,1.02,0.66,0
479,3.6,1.95,1.02,0.66,0
480,3.6,1.95,1.02,0.66,0
481,3.6,1.95,1.02,0.66,0
482,3.6,1.95,1.02,0.66,0
483,3.6,1.95,1.02,0.66,0
484,3.6,1.95,1.02,0.66,0
485,3.6,1.95,1.02,0.66,0
486,3.6,1.95,1.02,0.66,0
487,3.6,1.95,1.02,0.66,0
488,3.6,1.95,1.02,0.66,0
489,3.6,1.95,1.02,0.66,0
490,3.6,1.95,1.02,0.66,0
491,3.6,1.95,1.02,0.66,0
492,3.6,1.95,1.02,0.66,0
493,3.6,1.95,1.02,0.66,0
494,3.6,1.95,1.02,0.66,0
495,3.6,1.95,1.02,0.66,0
496,3.6,1.95,1.02,0.66,0
497,3.6,1.95,1.02,0.66,0
498,3.6,1.95,1.02,0.66,0
499,3.6,1.95,1.02,0.66,0
500,3.6,1.95,1.02,0.66,0
501,3.6,1.95,1.02,0.66,0
502,3.6,1.95,1.02,0.66,0
503,3.6,1.95,1.02,0.66,0
504,3.6,1.95,1.02,0.66,0
505,3.6,1.95,1.02,0.66,0
506,3.6,1.95,1.02,0.66,0
507,3.6,1.95,1.02,0.66,0
508,3.6,1.95,1.02,0.66,0
509,3.6,1.95,1.02,0.66,0
510,3.6,1.95,1.02,0.66,0
511,3.6,1.95,1.02,0.66,0
512,3.6,1.95,1.02,0.66,0
513,3.6,1.95,1.02,0.66,0
514,3.6,1.95,1.02,0.66,0
515,3.6,1.95,1.02,0.66,0
516,3.6,1.95,1.02,0.66,0
517,3.6,1.95,1.02,0.66,0
518,3.6,1.95,1.02,0.66,0
519,3.6,1.95,1.02,0.66,0
520,3.6,1.95,1.02,0.66,0
521,3.6,1.95,1.02,0.66,0
522,3.6,1.95,1.02,0.66,0
523,3.6,1.95,1.02,0.66,0
524,3.6,1.95,1.02,0.66,0
525,3.6,1.95,1.02,0.66,0
526,3.6,1.95,1.02,0.66,0
527,3.6,1.95,1.02,0.66,0
528,3.6,1.95,1.02,0.66,0
529,3.6,1.95,1.02,0.66,0
530,3.6,1.95,1.02,0.66,0
531,3.6,1.95,1.02,0.66,0
532,3.6,1.95,1.02,0.66,0
533,3.6,1.95,1.02,0.66,0
534,3.6,1.95,1.02,0.66,0
535,3.6,1.95,1.02,0.66,0
536,3.6,1.95,1.02,0.66,0
537,3.6,1.95,1.02,0.66,0
538,3.6,1.95,1.02,0.66,0
539,3.6,1.95,1.02,0.66,0
540,3.6,1.95,1.02,0.66,0
541,3.6,1.95,1.02,0.66,0
542,3.6,1.95,1.02,0.66,0
543,3.6,1.95,1.02,0.66,0
544,3.6,1.95,1.02,0.66,0
545,3.6,1.95,1.02,0.66,0
546,3.6,1.95,1.02,0.66,0
547,3.6,1.95,1.02,0.66,0
548,3.6,1.95,1.02,0.66,0
549,3.6,1.95,1.02,0.66,0
550,3.6,1.95,1.02,0.66,0
551,3.6,1.95,1.02,0.66,0
552,3.6,1.95,1.02,0.66,0
553,3.6,1.95,1.02,0.66,0
554,3.6,1.95,1.02,0.66,0
555,3.6,1.95,1.02,0.66,0
556,3.6,1.95,1.02,0.66,0
557,3.6,1.95,1.02,0.66,0
558,3.6,1.95,1.02,0.66,0
