Time_Index,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
100,1.0,0.911757529,0.0,1.0,0.911757529,0.0,1.0,0.955151796,0.0,1.0,1.0,1.0
101,1.0,0.600341201,0.0,1.0,0.600341201,0.0,1.0,0.945564926,0.0,1.0,1.0,1.0
102,1.0,0.718456745,0.0,1.0,0.718456745,0.0,1.0,0.966163337,0.0,1.0,1.0,1.0
103,1.0,0.47460106,0.0,1.0,0.47460106,0.0,1.0,0.964919329,0.0,1.0,1.0,1.0
104,1.0,0.611973166,0.1287,1.0,0.611973166,0.1307,1.0,0.897765279,0.1287,1.0,1.0,1.0
105,1.0,0.462337017,0.2969,1.0,0.462337017,0.3218,1.0,0.894047737,0.2969,1.0,1.0,1.0
106,1.0,0.286065727,0.4366,1.0,0.286065727,0.4241,1.0,0.956014991,0.4366,1.0,1.0,1.0
107,1.0,0.410449386,0.5574,1.0,0.410449386,0.4843,1.0,0.987810135,0.5574,1.0,1.0,1.0
108,1.0,0.18657057,0.6471,1.0,0.18657057,0.5087,1.0,0.994437337,0.6471,1.0,1.0,1.0
109,1.0,0.044284698,0.6988,1.0,0.044284698,0.6118,1.0,0.996686101,0.6988,1.0,1.0,1.0
110,1.0,0.004641407,0.7057,1.0,0.004641407,0.6588,1.0,0.995325267,0.7057,1.0,1.0,1.0
111,1.0,0.010756869,0.6681,1.0,0.010756869,0.6495,1.0,0.998466611,0.6681,1.0,1.0,1.0
112,1.0,0.062138144,0.5204,1.0,0.062138144,0.4946,1.0,0.99398303,0.5204,1.0,1.0,1.0
113,1.0,0.268422604,0.3357,1.0,0.268422604,0.3379,1.0,0.999444008,0.3357,1.0,1.0,1.0
114,1.0,0.549905419,0.1217,1.0,0.549905419,0.1415,1.0,0.999931455,0.1217,1.0,1.0,1.0
115,1.0,0.59516722,0.0,1.0,0.59516722,0.0,1.0,0.999659896,0.0,1.0,1.0,1.0
116,1.0,0.463209748,0.0,1.0,0.463209748,0.0,1.0,0.966383457,0.0,1.0,1.0,1.0
117,1.0,0.327129066,0.0,1.0,0.327129066,0.0,1.0,0.997240305,0.0,1.0,1.0,1.0
118,1.0,0.395001531,0.0,1.0,0.395001531,0.0,1.0,0.944750071,0.0,1.0,1.0,1.0
119,1.0,0.458472908,0.0,1.0,0.458472908,0.0,1.0,0.916571379,0.0,1.0,1.0,1.0
120,1.0,0.448081851,0.0,1.0,0.448081851,0.0,1.0,0.854930699,0.0,1.0,1.0,1.0
121,1.0,0.686663628,0.0,1.0,0.686663628,0.0,1.0,0.823605299,0.0,1.0,1.0,1.0
122,1.0,0.94721055,0.0,1.0,0.94721055,0.0,1.0,0.599495888,0.0,1.0,1.0,1.0
123,1.0,0.968070626,0.0,1.0,0.968070626,0.0,1.0,0.448240101,0.0,1.0,1.0,1.0
124,1.0,0.751041591,0.0,1.0,0.751041591,0.0,1.0,0.363844037,0.0,1.0,1.0,1.0
125,1.0,0.725488186,0.0,1.0,0.725488186,0.0,1.0,0.316084772,0.0,1.0,1.0,1.0
126,1.0,0.857096016,0.0,1.0,0.857096016,0.0,1.0,0.199303448,0.0,1.0,1.0,1.0
127,1.0,0.570255101,0.0,1.0,0.570255101,0.0,1.0,0.130830407,0.0,1.0,1.0,1.0
128,1.0,0.35289073,0.1681,1.0,0.35289073,0.2003,1.0,0.043213755,0.1681,1.0,1.0,1.0
129,1.0,0.291729033,0.3275,1.0,0.291729033,0.3963,1.0,0.095006242,0.3275,1.0,1.0,1.0
130,1.0,0.255962312,0.47,1.0,0.255962312,0.4968,1.0,0.191337913,0.47,1.0,1.0,1.0
131,1.0,0.155585855,0.4264,1.0,0.155585855,0.4553,1.0,0.145866185,0.4264,1.0,1.0,1.0
132,1.0,0.157079071,0.4459,1.0,0.157079071,0.4639,1.0,0.17013973,0.4459,1.0,1.0,1.0
133,1.0,0.132549644,0.4834,1.0,0.132549644,0.4762,1.0,0.067343056,0.4834,1.0,1.0,1.0
134,1.0,0.238282189,0.6303,1.0,0.238282189,0.6118,1.0,0.06855081,0.6303,1.0,1.0,1.0
135,1.0,0.239939079,0.3922,1.0,0.239939079,0.4236,1.0,0.056210428,0.3922,1.0,1.0,1.0
136,1.0,0.271274298,0.3528,1.0,0.271274298,0.2969,1.0,0.087241471,0.3528,1.0,1.0,1.0
137,1.0,0.236726984,0.2192,1.0,0.236726984,0.2024,1.0,0.109862432,0.2192,1.0,1.0,1.0
138,1.0,0.160334155,0.0833,1.0,0.160334155,0.0789,1.0,0.181660235,0.0833,1.0,1.0,1.0
139,1.0,0.292999268,0.0,1.0,0.292999268,0.0,1.0,0.27242738,0.0,1.0,1.0,1.0
140,1.0,0.401110888,0.0,1.0,0.401110888,0.0,1.0,0.286082685,0.0,1.0,1.0,1.0
141,1.0,0.149256185,0.0,1.0,0.149256185,0.0,1.0,0.269473583,0.0,1.0,1.0,1.0
142,1.0,0.163049132,0.0,1.0,0.163049132,0.0,1.0,0.340033472,0.0,1.0,1.0,1.0
143,1.0,0.166977257,0.0,1.0,0.166977257,0.0,1.0,0.344270676,0.0,1.0,1.0,1.0
144,1.0,0.205250561,0.0,1.0,0.205250561,0.0,1.0,0.205188617,0.0,1.0,1.0,1.0
145,1.0,0.307979465,0.0,1.0,0.307979465,0.0,1.0,0.204994872,0.0,1.0,1.0,1.0
146,1.0,0.422584713,0.0,1.0,0.422584713,0.0,1.0,0.256006956,0.0,1.0,1.0,1.0
147,1.0,0.406198055,0.0,1.0,0.406198055,0.0,1.0,0.247988999,0.0,1.0,1.0,1.0
148,1.0,0.361611843,0.0,1.0,0.361611843,0.0,1.0,0.211419225,0.0,1.0,1.0,1.0
149,1.0,0.24808161,0.0,1.0,0.24808161,0.0,1.0,0.200011283,0.0,1.0,1.0,1.0
150,1.0,0.122475065,0.0,1.0,0.122475065,0.0,1.0,0.178104073,0.0,1.0,1.0,1.0
151,1.0,0.061104923,0.0,1.0,0.061104923,0.0,1.0,0.129664958,0.0,1.0,1.0,1.0
152,1.0,0.001909042,0.0483,1.0,0.001909042,0.0107,1.0,0.224155784,0.0483,1.0,1.0,1.0
153,1.0,0.030662451,0.1379,1.0,0.030662451,0.1244,1.0,0.195972994,0.1379,1.0,1.0,1.0
154,1.0,0.035824325,0.2279,1.0,0.035824325,0.1986,1.0,0.191820532,0.2279,1.0,1.0,1.0
155,1.0,0.026189856,0.2641,1.0,0.026189856,0.2571,1.0,0.244714767,0.2641,1.0,1.0,1.0
156,1.0,0.000577044,0.2979,1.0,0.000577044,0.3222,1.0,0.256400168,0.2979,1.0,1.0,1.0
157,1.0,0.000226538,0.3468,1.0,0.000226538,0.3903,1.0,0.260348976,0.3468,1.0,1.0,1.0
158,1.0,0.003640169,0.3644,1.0,0.003640169,0.4114,1.0,0.264438897,0.3644,1.0,1.0,1.0
159,1.0,0.009475692,0.3465,1.0,0.009475692,0.4116,1.0,0.303551227,0.3465,1.0,1.0,1.0
160,1.0,0.039171852,0.324,1.0,0.039171852,0.3266,1.0,0.221615791,0.324,1.0,1.0,1.0
161,1.0,0.049333788,0.2125,1.0,0.049333788,0.2253,1.0,0.249633402,0.2125,1.0,1.0,1.0
162,1.0,0.006074722,0.0673,1.0,0.006074722,0.0732,1.0,0.26829651,0.0673,1.0,1.0,1.0
163,1.0,0.0032244,0.0,1.0,0.0032244,0.0,1.0,0.258434594,0.0,1.0,1.0,1.0
164,1.0,0.03518948,0.0,1.0,0.03518948,0.0,1.0,0.27804935,0.0,1.0,1.0,1.0
165,1.0,0.186126143,0.0,1.0,0.186126143,0.0,1.0,0.306461513,0.0,1.0,1.0,1.0
166,1.0,0.45455578,0.0,1.0,0.45455578,0.0,1.0,0.285110682,0.0,1.0,1.0,1.0
167,1.0,0.378552973,0.0,1.0,0.378552973,0.0,1.0,0.393156409,0.0,1.0,1.0,1.0
168,1.0,0.702663004,0.0,1.0,0.702663004,0.0,1.0,0.476771116,0.0,1.0,1.0,1.0
169,1.0,0.670275927,0.0,1.0,0.670275927,0.0,1.0,0.463066339,0.0,1.0,1.0,1.0
170,1.0,0.791637063,0.0,1.0,0.791637063,0.0,1.0,0.537189543,0.0,1.0,1.0,1.0
171,1.0,0.850343347,0.0,1.0,0.850343347,0.0,1.0,0.577177286,0.0,1.0,1.0,1.0
