Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Total
t20,-998.3987834684898,-1039.0,422.4997540254893,1172.0,1131.621983409,-1200.0,716.0,-2654.99913646849,-223.0,300.0,-723.4627386334049,2372.3179523480007,-716.0,-57.368798750594976,600.0,1912.0,-328.9416893894049,-101.08026289000094,1732.0,-185.61637620831206,905.0,956.0,-300.0,588.2214869668977,5260.349366940102,-1200.0,24.344883686508556,1006.092636726015,792.0,863.3964763807169,1070.0,1206.9254707214873,3.0549564728508116,-980.0,-600.0,11725.95718186837
t21,-1213.755246818258,-1039.0,1130.0,635.7915811272576,1271.9488879530006,-1200.0,716.0,-2729.3981898182583,-223.0,300.0,-602.8543254889522,3000.0,716.0,142.60769567095178,-553.2913490296579,1912.0,-979.2095963052934,465.97745588800166,1732.0,168.7332337916878,905.0,956.0,-300.0,617.0800821430005,5283.0,-547.7085362845522,424.9396022142933,1109.1376327260155,792.0,-1058.4522212571587,671.9478509363422,1433.0,1163.6071455080148,-980.0,-600.0,13520.101702956435
t22,-2100.0,-494.33147083600073,1130.0,1172.0,1443.2164093310012,-1200.0,716.0,-3380.8461009999996,-223.0,300.0,729.3135954070001,2218.1300076353837,716.0,-1616.0,345.2797106346166,1352.5524190880478,962.5751682863355,1178.3161762920004,1235.989613791686,-1949.0,905.0,956.0,300.0,2101.314745475758,3480.005293044241,1200.0,-1508.4628176140925,223.2018607190609,792.0,-899.9310517318828,1070.0,1433.0,1643.8172021874177,980.0,-600.0,14612.140760710574
t23,-2100.0,-112.20399279599968,1130.0,1172.0,-1480.0,683.892419021,716.0,-3069.7525550000005,-223.0,300.0,-1195.0,2154.614968224365,-716.0,-421.8016039040001,360.8690985516354,1255.6972224096983,1865.0307495506659,1400.0,-396.65974383274414,-1949.0,905.0,956.0,-300.0,-37.42340873626038,5014.009055842262,915.1722469903112,-1802.8902697114047,-879.6524448653676,792.0,-2119.0,1070.0,1433.0,2192.062930539098,980.0,-600.0,7892.964672283257
t24,-2100.0,48.71630372399993,1130.0,1172.0,-473.1614039593408,569.2649015953403,-716.0,-1018.7603260000006,-223.0,300.0,-323.4457275680004,3000.0,716.0,-1616.0,-491.82144934400026,1578.4856980439783,1160.830644214022,1299.3533940233049,-1732.0,-1949.0,905.0,-956.0,300.0,-2262.0558376752674,5283.0,1200.0,567.4693675579066,-1893.3478716033883,792.0,-1828.2520429733304,1070.0,1433.0,2769.2910665143204,980.0,-600.0,8091.566716549543
t25,-2100.0,621.7037051404452,588.2312372465543,1172.0,-322.7120005682851,-38.55276610371372,349.7755828130287,-2352.41960081303,-223.0,300.0,333.1967904159997,3000.0,716.0,-1616.0,-531.1508854359996,1625.5742445010287,2000.0,435.3288827994295,-1732.0,-1949.0,-140.26958109971144,956.0,300.0,-2820.5183863121597,5283.0,1200.0,828.128783019876,-1627.328737186943,792.0,-1382.1722120798856,1070.0,1433.0,3372.0,980.0,-600.0,9920.815056336634
t26,-2100.0,-16.82929846899972,1130.0,1172.0,-1464.424734415999,1200.0,385.93519626848627,-2323.6422122684876,-223.0,300.0,589.4408233279994,3000.0,716.0,-1616.0,-356.5082511939998,1494.842305085486,2000.0,-26.395784846777293,-1732.0,-1949.0,-785.4991862269278,61.157319073580574,300.0,-2942.0,5283.0,1200.0,-230.74324918400004,-2143.0,792.0,-2062.658899765943,1070.0,1433.0,3319.1622692979995,980.0,-600.0,5854.836296682421
t27,-2100.0,1039.0,49.66759380699992,1172.0,-1480.0,1200.0,716.0,-2630.411158,-223.0,300.0,409.89863772716893,3000.0,716.0,-1616.0,-223.7886767100001,1528.2930251918235,1839.1256798681766,301.9004040493092,-1732.0,-1949.0,-905.0,618.2264122969157,300.0,-2942.0,5283.0,1200.0,40.94708795582358,-454.8219828074876,16.745865480098487,-654.9139387024303,1070.0,1433.0,2048.70262683899,980.0,-600.0,7751.571576995388
t28,-2100.0,-1039.0,1130.0,1172.0,-1480.0,1200.0,716.0,-2681.3799310000018,-223.0,300.0,309.43487693199955,3000.0,716.0,-1616.0,-70.05773822000022,1562.8146580445493,1807.3829084194506,1400.0,-656.7004334239282,-1949.0,-905.0,643.200507718648,300.0,-2942.0,5283.0,1200.0,46.82988060055293,-751.941401823827,-431.7704848367252,-821.4614340147679,1070.0,1433.0,2094.967322852693,980.0,389.8861497040003,9087.204880952642
t29,-2100.0,638.4760283117644,339.5680152282359,1172.0,-1480.0,991.3074931620007,716.0,-2852.674066000002,-223.0,300.0,56.764740228000186,3000.0,716.0,-1616.0,325.32996130200047,1670.097565434018,1152.517711027981,1400.0,1022.2963537916864,-1949.0,905.0,956.0,300.0,-1957.4956618808835,5283.0,1200.0,157.59832671490548,1111.053373866826,792.0,-1990.4448284551179,1070.0,1433.0,879.2415856065387,980.0,-600.0,13798.636598337955
t30,-2100.0,1039.0,-390.4390124629997,1172.0,-1480.0,489.75215113900083,716.0,-3217.601017,-223.0,300.0,-318.3476881410002,3000.0,716.0,-1616.0,534.549340034,1709.3041158819206,1047.1500639540795,1400.0,1732.0,-806.0544513494319,844.8286251411206,956.0,300.0,-983.6707714209865,5283.0,1200.0,-180.85929058409266,1811.8495427633763,792.0,-2119.0,1070.0,1433.0,-208.06933186909382,980.0,-600.0,14283.392276085893
t31,-2100.0,1039.0,-445.7459064260001,1172.0,-1455.5405668399262,1200.0,-716.0,-2327.634781,-223.0,300.0,-223.4288146890003,3000.0,716.0,-1616.0,368.734472962,1912.0,-724.9194756079993,855.3210235959998,1732.0,-1649.6643785941242,239.15069238581088,956.0,300.0,-955.3760998639991,5283.0,1200.0,75.94898993090693,1408.3169377633758,792.0,-2119.0,1070.0,1334.916739028558,-63.83094041658155,980.0,-600.0,10714.247892229021
