Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,Threshold,nReps,IterativelyAddPeriods,IterateMethod,LoadWeight,ClusterFuelPrices
,,,,269,14769.32791,22265.05552,22670.28839,16924.18514,,,,,,,,,,,,,,
,,,,270,15997.02902,25452.21222,25468.46659,19994.92654,,,,,,,,,,,,,,
,,,,271,17549.33745,26602.30147,27323.70931,21548.5931,,,,,,,,,,,,,,
,,,,272,17707.89501,25985.16991,26917.14887,21573.05766,,,,,,,,,,,,,,
,,,,273,17574.33281,25298.91025,26493.94937,21753.60926,,,,,,,,,,,,,,
,,,,274,17632.6826,24673.35118,26137.06164,22152.6781,,,,,,,,,,,,,,
,,,,275,17725.0066,24171.99254,25684.39708,22368.1163,,,,,,,,,,,,,,
,,,,276,17955.58245,23491.28828,25471.89976,22469.95055,,,,,,,,,,,,,,
,,,,277,18124.82437,22965.99169,25368.20173,22628.55285,,,,,,,,,,,,,,
,,,,278,18448.25003,22487.74485,25382.59044,22528.12595,,,,,,,,,,,,,,
,,,,279,18629.09923,22301.92095,25515.50615,22551.00339,,,,,,,,,,,,,,
,,,,280,19123.0261,22720.79677,25939.19893,22630.12686,,,,,,,,,,,,,,
,,,,281,19912.47299,24481.36841,27132.77403,23318.5531,,,,,,,,,,,,,,
,,,,282,21289.55168,25951.76909,29581.43787,25245.72797,,,,,,,,,,,,,,
,,,,283,21932.01236,25944.26772,30406.30482,25035.18778,,,,,,,,,,,,,,
,,,,284,22085.2744,25633.14806,30636.30699,24020.23568,,,,,,,,,,,,,,
,,,,285,21901.73781,24728.64289,30183.14336,22320.03619,,,,,,,,,,,,,,
,,,,286,21215.17986,23362.79553,29083.14688,20161.33853,,,,,,,,,,,,,,
,,,,287,20318.8154,22154.95973,27767.05842,17992.22352,,,,,,,,,,,,,,
,,,,288,19620.53521,21520.22658,26790.08752,16319.83916,,,,,,,,,,,,,,
,,,,289,19487.41982,21588.05727,26605.38375,15465.56909,,,,,,,,,,,,,,
,,,,290,19476.89327,22041.51109,26745.38235,15072.03002,,,,,,,,,,,,,,
,,,,291,19492.86264,22816.80906,27141.6601,14982.87613,,,,,,,,,,,,,,
,,,,292,19767.48696,24159.89739,28026.05419,15494.00989,,,,,,,,,,,,,,
,,,,293,20316.52548,26595.64477,29865.62932,17224.88024,,,,,,,,,,,,,,
,,,,294,21461.52807,30212.19246,33021.71371,20418.86122,,,,,,,,,,,,,,
,,,,295,22743.94488,31973.84031,35069.88694,22428.82337,,,,,,,,,,,,,,
,,,,296,22987.8391,31648.72816,34814.62306,22819.86905,,,,,,,,,,,,,,
,,,,297,22678.8017,30866.16313,34084.17406,23294.30798,,,,,,,,,,,,,,
,,,,298,22279.46203,29939.71275,33240.95244,23659.26619,,,,,,,,,,,,,,
,,,,299,21818.0224,28770.33775,32122.24216,23543.06169,,,,,,,,,,,,,,
