Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
t91,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4874.525335743804,0.0,0.0,0.0,13144.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,4503.6347107438,5707.365289256199,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,13510.999999999998
t93,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4912.525335743805,0.0,0.0,0.0,13182.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4151.525335743804,0.0,0.0,0.0,12421.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5595.890625000003,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,11458.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,0.0,0.0,4743.839715909094,0.0,0.0,0.0,10445.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3810.050909090909,1793.1397159090945,0.0,1050.6999999999987,0.0,0.0,0.0,9215.999999999998
t98,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3372.0509090909104,1793.1397159090945,0.0,1050.6999999999987,0.0,0.0,0.0,8778.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3164.05090909091,1793.1397159090945,0.0,1050.6999999999987,0.0,0.0,0.0,8570.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,1793.1397159090945,0.0,1050.6999999999987,0.0,0.0,0.0,8545.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3401.0509090909104,1793.1397159090945,0.0,1050.6999999999987,0.0,0.0,0.0,8807.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,3016.1397159090952,0.0,1050.6999999999987,0.0,0.0,0.0,9768.000000000002
t103,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4637.936596074377,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,11511.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5706.936596074378,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,12580.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,3233.0016528925644,3260.2540289256262,0.0,1910.3636363636335,0.0,0.0,0.0,13062.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,3260.2540289256262,0.0,1881.271306818178,0.0,0.0,0.0,13411.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,3686.6806818181767,5707.365289256199,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,13705.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,1793.1397159090945,0.0,1712.1143130165324,0.0,0.0,0.0,13871.000000000002
t109,0.0,0.0,0.0,0.0,0.0,0.0,3877.680681818177,5707.365289256199,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,13896.000000000002
t110,0.0,0.0,0.0,0.0,0.0,0.0,3070.017045454542,5707.365289256199,3260.2540289256262,0.0,1910.3636363636335,0.0,0.0,0.0,13948.000000000002
t111,0.0,0.0,0.0,0.0,0.0,0.0,2962.0170454545414,5707.365289256199,3260.2540289256262,0.0,1910.3636363636335,0.0,0.0,0.0,13840.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,3904.0016528925653,3260.2540289256262,0.0,1910.3636363636335,0.0,0.0,0.0,13733.000000000002
t113,0.0,0.0,0.0,0.0,0.0,0.0,3724.6806818181767,5707.365289256199,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,13743.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,1793.1397159090945,0.0,1722.1143130165322,0.0,0.0,0.0,13881.000000000002
t115,0.0,0.0,0.0,0.0,0.0,0.0,4126.680681818176,5707.365289256199,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,14145.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,3754.0170454545414,5707.365289256199,3260.2540289256262,0.0,1910.3636363636335,0.0,0.0,0.0,14632.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,3114.0170454545423,5707.365289256199,3260.2540289256262,0.0,1910.3636363636335,0.0,0.0,0.0,13992.000000000002
t118,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,3260.2540289256262,0.0,1338.2713068181786,0.0,0.0,0.0,12868.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4613.936596074378,3260.2540289256262,0.0,1050.6999999999987,0.0,0.0,0.0,11487.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4881.050909090911,1793.1397159090945,0.0,1050.6999999999987,0.0,0.0,0.0,10287.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4157.365289256198,1212.5253357438037,0.0,3300.0000000000005,0.0,0.0,0.0,11231.999999999998
t122,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,1212.5253357438037,0.0,3911.3143801652886,0.0,0.0,0.0,10825.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4103.00169034091,666.8889346590921,0.0,3300.0000000000005,0.0,0.0,0.0,10632.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3547.3652892561986,1212.5253357438037,0.0,3300.0000000000005,0.0,0.0,0.0,10621.999999999998
t125,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4419.0016903409105,666.8889346590921,0.0,3300.0000000000005,0.0,0.0,0.0,10948.0
t126,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,1212.5253357438037,0.0,5070.31438016529,0.0,0.0,0.0,11984.0
t127,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,4397.0,0.0,0.0,0.0,13878.999999999998
t128,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5408.000000000001,0.0,0.0,0.0,14890.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5652.000000000001,0.0,0.0,0.0,15134.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5759.0,0.0,0.0,0.0,15240.999999999998
t131,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5878.0,0.0,0.0,0.0,15359.999999999998
t132,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5925.000000000001,0.0,0.0,0.0,15407.0
t133,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5903.000000000001,0.0,0.0,0.0,15385.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5890.000000000001,0.0,0.0,0.0,15372.0
t135,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5803.000000000001,0.0,0.0,0.0,15285.0
t136,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,6000.0,0.0,0.0,0.0,15481.999999999998
t137,0.0,0.0,0.0,0.0,0.0,0.0,3624.109374999998,5707.365289256199,1212.5253357438037,0.0,6000.0,0.0,0.0,0.0,16544.0
t138,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,881.2540289256257,0.0,6000.0,0.0,0.0,0.0,17247.0
t139,0.0,0.0,0.0,0.0,0.0,0.0,4194.109374999998,5707.365289256199,1212.5253357438037,0.0,6000.0,0.0,0.0,0.0,17114.0
t140,0.0,0.0,0.0,0.0,0.0,0.0,3737.1093749999977,5707.365289256199,1212.5253357438037,0.0,6000.0,0.0,0.0,0.0,16657.0
t141,0.0,0.0,0.0,0.0,0.0,0.0,3016.1093749999973,5707.365289256199,1212.5253357438037,0.0,6000.0,0.0,0.0,0.0,15935.999999999998
t142,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,5301.0,0.0,0.0,0.0,14782.999999999998
t143,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,1212.5253357438037,0.0,3860.0000000000014,0.0,0.0,0.0,13342.0
t144,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5523.00169034091,666.8889346590921,0.0,3300.0000000000005,0.0,0.0,0.0,12051.999999999998
t145,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,790.525335743805,0.0,4669.314380165288,0.0,0.0,0.0,11161.0
t146,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4333.101690340911,434.7889346590927,0.0,3300.0000000000005,0.0,0.0,0.0,10630.0
t147,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,790.525335743805,0.0,3914.3143801652886,0.0,0.0,0.0,10406.0
t148,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,790.525335743805,0.0,3915.314380165288,0.0,0.0,0.0,10407.0
t149,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4103.365289256198,790.525335743805,0.0,3300.0000000000005,0.0,0.0,0.0,10756.0
t150,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5555.10169034091,434.7889346590927,0.0,3300.0000000000005,0.0,0.0,0.0,11852.0
t151,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,4750.999999999999,0.0,0.0,0.0,13811.0
t152,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5760.999999999999,0.0,0.0,0.0,14821.0
