BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t117,44468.167860000016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52120.16786
t118,38309.827954092754,5322.223865907251,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51284.05182
t119,46400.73303785642,0.0,-3770.671617856427,0.0,0.0,0.0,0.0,0.0,0.0,-50282.06142
t120,40317.18388860265,2062.58253139735,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50031.76642
t121,45677.859245467655,0.0,-3116.7262054676535,0.0,0.0,0.0,0.0,0.0,0.0,-50213.13304
t122,45360.84094161986,0.0,-2229.6471116198722,0.0,0.0,0.0,0.0,0.0,0.0,-50783.19383
t123,43640.928073185394,248.3707968146004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51541.29887
t124,41727.11308532393,3200.7869646760673,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52579.90005
t125,44283.375060934566,1966.5171190654269,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53901.89218
t126,46244.83448449133,1386.0715255086666,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55282.90601
t127,47307.10520847469,1052.2016015253093,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56011.30681
t128,45310.178195045846,2055.3337949541497,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55017.51199
t129,45360.64742999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53012.64743
t130,43037.72603999993,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50689.72604
t131,42879.689569904054,0.0,-2168.6885199040516,0.0,0.0,0.0,0.0,0.0,0.0,-48363.00105
t132,44139.82434590726,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-46469.60048
t133,42418.88474132406,259.3141222915989,-5062.909743615652,0.0,0.0,0.0,0.0,0.0,0.0,-45267.28912
t134,37290.25485316153,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-44383.56837
t135,36989.47966,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44641.47966
t136,39171.75881000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46823.75881
t137,42202.20265,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49854.20265
t138,43208.72370000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50860.7237
t139,43624.90833,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51276.90833
t140,40377.91188268314,3314.1053473168613,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51344.01723
t141,43179.29051,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50831.29051
t142,42238.08088000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49890.08088
t143,41235.13604,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48887.13604
t144,41031.754680000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48683.75468
t145,40656.22088000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48308.22088
t146,40607.85427,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48259.85427
t147,40670.10909999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48322.1091
t148,40927.98917999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48579.98918
t149,45487.406513107235,0.0,-4091.488083107236,0.0,0.0,0.0,0.0,0.0,0.0,-49047.91843
t150,39718.22465647396,2590.2508835260373,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49960.47554
t151,38802.343772736065,3945.162727263937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50399.5065
t152,38823.161988245745,3373.8681917542604,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49849.03018
t153,40499.887190000016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48151.88719
t154,38531.48694000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46183.48694
t155,42275.02713590726,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-44604.80327
t156,37713.885122415115,1670.5647467460692,-3651.659119161182,0.0,0.0,0.0,0.0,0.0,0.0,-43384.79075
t157,40250.96440590725,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-42580.74054
t158,35150.263203161536,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-42243.57672
t159,35364.67858316154,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-42457.9921
t160,37014.815773161536,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-44108.12929
t161,33028.68857409276,5322.223865907251,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46002.91244
t162,34177.72133336302,4587.057936636984,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46416.77927
t163,40487.07859847766,0.0,-2083.6653784776504,0.0,0.0,0.0,0.0,0.0,0.0,-46055.41322
t164,39431.46848277347,1687.768956566897,-3634.454909340354,0.0,0.0,0.0,0.0,0.0,0.0,-45136.78253
t165,39981.42534942522,635.4760832410174,-4686.747782666233,0.0,0.0,0.0,0.0,0.0,0.0,-43582.15365
t166,39099.73962847636,279.7887437154447,-5042.435122191806,0.0,0.0,0.0,0.0,0.0,0.0,-41989.09325
t167,29051.586860415817,4763.537382745716,-558.6864831615346,0.0,0.0,0.0,0.0,0.0,0.0,-40908.43776
