Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t148,-0.0,-0.0,-0.0,6040.581469155521,4071.083190607098,-0.0,-0.0,0.0,0.0,0.0,10111.664659762619
t149,-0.0,-0.0,-0.0,6040.581469155521,4163.83116540006,-0.0,-0.0,0.0,0.0,0.0,10204.412634555581
t150,-0.0,-0.0,-0.0,6040.581469155521,5590.736419085113,-0.0,-0.0,0.0,0.0,0.0,11631.317888240634
t151,-0.0,-0.0,-0.0,6040.581469155521,5365.195202363157,-0.0,-0.0,0.0,0.0,0.0,11405.776671518677
t152,-0.0,-0.0,-0.0,6040.581469155521,6130.760776337998,-0.0,-0.0,0.0,0.0,0.0,12171.342245493519
t153,-0.0,-0.0,-0.0,6040.581469155521,6971.5610820240445,-0.0,-0.0,0.0,0.0,0.0,13012.142551179564
t154,-0.0,-0.0,-0.0,6040.581469155521,7509.905526596699,-0.0,-0.0,0.0,0.0,0.0,13550.48699575222
t155,-0.0,-0.0,-0.0,6040.581469155521,7747.823624763986,-0.0,-0.0,0.0,0.0,0.0,13788.405093919508
t156,-0.0,-0.0,-0.0,6040.581469155521,7614.765545187285,-0.0,-0.0,0.0,0.0,0.0,13655.347014342806
t157,-0.0,-0.0,-0.0,6040.581469155521,8082.5585705380845,-0.0,-0.0,0.0,0.0,0.0,14123.140039693604
t158,-0.0,-0.0,-0.0,6040.581469155521,7003.793870704726,-0.0,-0.0,0.0,0.0,0.0,13044.375339860246
t159,-0.0,-0.0,-0.0,6040.581469155521,6789.066876487571,-0.0,-0.0,0.0,0.0,0.0,12829.64834564309
t160,-0.0,-0.0,-0.0,6040.581469155521,6793.089453321393,-0.0,-0.0,0.0,0.0,0.0,12833.670922476915
t161,-0.0,-0.0,-0.0,6040.581469155521,7410.121080059726,-0.0,-0.0,0.0,0.0,0.0,13450.702549215246
t162,-0.0,-0.0,-0.0,6040.581469155521,8708.617748462351,-0.0,-0.0,0.0,0.0,0.0,14749.199217617872
t163,-0.0,-0.0,-0.0,6040.581469155521,8816.479511102383,-0.0,-0.0,0.0,0.0,0.0,14857.060980257904
t164,-0.0,-0.0,-0.0,6040.581469155521,8379.936876913978,-0.0,-0.0,0.0,0.0,0.0,14420.518346069499
t165,-0.0,-0.0,-0.0,6040.581469155521,7937.374313619139,-0.0,-0.0,0.0,0.0,0.0,13977.95578277466
t166,-0.0,-0.0,-0.0,6040.581469155521,7997.051473382619,-0.0,-0.0,0.0,0.0,0.0,14037.632942538141
t167,-0.0,-0.0,-0.0,6040.581469155521,6398.91431091335,-0.0,-0.0,0.0,0.0,0.0,12439.495780068872
t168,-0.0,-0.0,-0.0,6040.581469155521,5479.478997071701,-0.0,-0.0,0.0,0.0,0.0,11520.060466227222
t169,-0.0,-0.0,-0.0,6040.581469155521,6444.295697603893,-0.0,-0.0,0.0,0.0,0.0,12484.877166759414
t170,-0.0,-0.0,-0.0,6040.581469155521,6032.969391926833,-0.0,-0.0,0.0,0.0,0.0,12073.550861082353
t171,-0.0,-0.0,-0.0,6040.581469155521,5833.336173982074,-0.0,-0.0,0.0,0.0,0.0,11873.917643137594
t172,-0.0,-0.0,-0.0,6040.581469155521,5747.632531647052,-0.0,-0.0,0.0,0.0,0.0,11788.214000802573
t173,-0.0,-0.0,-0.0,6040.581469155521,5826.287551377327,-0.0,-0.0,0.0,0.0,0.0,11866.869020532848
t174,-0.0,-0.0,-0.0,6040.581469155521,6725.46013410211,-0.0,-0.0,0.0,0.0,0.0,12766.04160325763
t175,-0.0,-0.0,-0.0,6040.581469155521,6728.591713524625,-0.0,-0.0,0.0,0.0,0.0,12769.173182680146
t176,-0.0,-0.0,-0.0,6040.581469155521,7358.699752688076,-0.0,-0.0,0.0,0.0,0.0,13399.281221843597
t177,-0.0,-0.0,-0.0,6040.581469155521,8193.452256979086,-0.0,-0.0,0.0,0.0,0.0,14234.033726134607
t178,-0.0,-0.0,-0.0,6040.581469155521,8708.617748462351,-0.0,-0.0,0.0,0.0,0.0,14749.199217617872
t179,-0.0,-0.0,-0.0,6040.581469155521,8919.916221474792,-0.0,-0.0,0.0,0.0,0.0,14960.497690630313
t180,-0.0,-0.0,-0.0,6040.581469155521,8908.210943257773,-0.0,-0.0,0.0,0.0,0.0,14948.792412413293
t181,-0.0,-0.0,-0.0,6040.581469155521,8900.982131279678,-0.0,-0.0,0.0,0.0,0.0,14941.563600435198
t182,-0.0,-0.0,-0.0,6040.581469155521,8705.57169111676,-0.0,-0.0,0.0,0.0,0.0,14746.15316027228
t183,-0.0,-0.0,-0.0,6040.581469155521,8870.089668329756,-0.0,-0.0,0.0,0.0,0.0,14910.671137485277
t184,-0.0,-0.0,-0.0,6040.581469155521,8875.072323644259,-0.0,-0.0,0.0,0.0,0.0,14915.65379279978
t185,-0.0,-0.0,-0.0,6040.581469155521,9011.597079261659,-0.0,-0.0,0.0,0.0,354.92340444664563,15407.101952863824
t186,-0.0,-0.0,-0.0,6040.581469155521,9216.88247821921,-0.0,-0.0,0.0,0.0,1153.9976869326356,16411.461634307365
t187,-0.0,-0.0,-0.0,6040.581469155521,9217.879009282111,-0.0,-0.0,0.0,0.0,1158.9018375333062,16417.36231597094
t188,-0.0,-0.0,-0.0,6040.581469155521,9158.087145508067,-0.0,-0.0,0.0,0.0,924.8672045578109,16123.535819221399
t189,-0.0,-0.0,-0.0,6040.581469155521,9040.49648008578,-0.0,-0.0,0.0,0.0,462.6402786902348,15543.718227931535
t190,-0.0,-0.0,-0.0,6040.581469155521,8846.172922820138,-0.0,-0.0,0.0,0.0,0.0,14886.754391975659
t191,-0.0,-0.0,-0.0,6040.581469155521,8161.029195949542,-0.0,-0.0,0.0,0.0,0.0,14201.610665105061
t192,-0.0,-0.0,-0.0,6040.581469155521,6616.713869895874,-0.0,-0.0,0.0,0.0,0.0,12657.295339051394
t193,-0.0,-0.0,-0.0,6040.581469155521,6438.783069756509,-0.0,-0.0,0.0,0.0,0.0,12479.364538912028
t194,-0.0,-0.0,-0.0,6040.581469155521,6070.601856284405,-0.0,-0.0,0.0,0.0,0.0,12111.183325439924
t195,-0.0,-0.0,-0.0,6040.581469155521,5922.714441052785,-0.0,-0.0,0.0,0.0,0.0,11963.295910208306
t196,-0.0,-0.0,-0.0,6040.581469155521,4971.369988907113,-0.0,-0.0,0.0,0.0,0.0,11011.951458062635
t197,-0.0,-0.0,-0.0,6040.581469155521,5314.135954804245,-0.0,-0.0,0.0,0.0,0.0,11354.717423959766
t198,-0.0,-0.0,-0.0,6040.581469155521,7185.232315937139,-0.0,-0.0,0.0,0.0,0.0,13225.81378509266
t199,-0.0,-0.0,-0.0,6040.581469155521,8268.052537440124,-0.0,-0.0,0.0,0.0,0.0,14308.634006595645
t200,245.098189484639,-0.0,-0.0,6040.581469155521,9004.621361821353,-0.0,-0.0,-0.0,0.0,83.23603154750124,15373.537052009015
t201,382.9659210697484,-0.0,-0.0,6040.581469155521,9051.458321777687,-0.0,-0.0,0.0,0.0,128.25683205972393,15603.26254406268
t202,382.9659210697484,-0.0,-0.0,6040.581469155521,9076.371598350206,-0.0,-0.0,0.0,0.0,229.11564830553655,15729.034636881011
t203,382.9659210697484,-0.0,-0.0,6040.581469155521,9101.284874922727,-0.0,-0.0,0.0,0.0,325.0896960585856,15849.92196120658
t204,382.9659210697484,-0.0,-0.0,6040.581469155521,9095.30568854532,-0.0,-0.0,0.0,0.0,307.46576526882353,15826.318844039413
t205,382.9659210697484,-0.0,-0.0,6040.581469155521,9065.409756658299,-0.0,-0.0,0.0,0.0,187.98668242678863,15676.943829310356
