Segment,1,2,1,2,1,2,1,2,1,2,1,2,Total
t40,-3.505227697716147e-12,-2.366101284127462e-12,-3.505197927766275e-12,-2.3642062995435126e-12,-3.504645943460417e-12,-2.37004178890427e-12,-3.504289278245451e-12,-2.366620712007716e-12,-3.5046831895283214e-12,-2.3685509461177613e-12,-3.504525575838941e-12,-2.366747889174666e-12,-1.761542094151808e-11
t41,-3.505212744386395e-12,-2.3660991189058847e-12,-3.505131011147266e-12,-2.364188583014143e-12,-3.5047033882112434e-12,-2.3807370108616465e-12,-3.504294904835458e-12,-2.366602388496537e-12,-3.5047537234534082e-12,-2.3820854336202024e-12,-3.5045296499429694e-12,-2.366740067119997e-12,-1.7626071856526578e-11
t42,-3.5050825778091338e-12,-2.3581441976344063e-12,-3.5050764051927872e-12,-2.3559087128333213e-12,-3.5046455977723952e-12,-2.368765354030783e-12,-3.5042595670216964e-12,-2.3587304670416956e-12,-3.504709845668636e-12,-2.370600816486397e-12,-3.504529179554017e-12,-2.366721546072966e-12,-1.7597622845272826e-11
t43,-3.504965413294585e-12,-2.344157203249243e-12,-3.504992021935226e-12,-2.3413788445676178e-12,-3.5046142577850887e-12,-2.353868647919693e-12,-3.504261537498918e-12,-2.344903331777173e-12,-3.504668920198698e-12,-2.356331060120242e-12,-3.5044827723240396e-12,-2.3512002133994548e-12,-1.755397638875145e-11
t44,-3.504608319962961e-12,-2.2198324463363165e-12,-3.5046950134943427e-12,-2.2117826551908197e-12,-3.5041928750947763e-12,-2.2218556049562266e-12,-3.5038404117248247e-12,-2.2222991915265846e-12,-3.5042267087247905e-12,-2.2304050817958457e-12,-3.5040458240972057e-12,-2.230399554211994e-12,-1.7166966915035443e-11
t45,-3.505013655833517e-12,-2.310869805160693e-12,-3.505063488994053e-12,-2.307785435475117e-12,-3.5045183962104194e-12,-2.3144617702176646e-12,-3.5041767662513928e-12,-2.3130423942009237e-12,-3.504519311541551e-12,-2.3162976639845537e-12,-3.504368376679107e-12,-2.3186596175544523e-12,-1.7447712551891466e-11
t46,-3.505112558373379e-12,-2.34954348877985e-12,-3.5054712496865946e-12,-2.349400447242866e-12,-3.5046706279473045e-12,-2.3535341623213895e-12,-3.504347134367571e-12,-2.3526134068562096e-12,-3.5046513512754454e-12,-2.352863675698784e-12,-3.504525645604707e-12,-2.3560563493642413e-12,-1.7567732534351383e-11
t47,-3.5051232517699086e-12,-2.3537965707072957e-12,-3.5056128102687866e-12,-2.3558944839820826e-12,-3.504694250721452e-12,-2.3594058296516885e-12,-3.504391031720564e-12,-2.358809328087681e-12,-3.5046665165622927e-12,-2.3569067058920822e-12,-3.5045563797831643e-12,-2.3616838212626815e-12,-1.7584527197101215e-11
t48,-3.5051433798415488e-12,-2.3575919882849683e-12,-3.5054383267107984e-12,-2.3595836400032723e-12,-3.5047099743917043e-12,-2.362861455285283e-12,-3.504419338486567e-12,-2.36229381159191e-12,-3.504694225550892e-12,-2.3605141171835705e-12,-3.504573417254792e-12,-2.3649929314707783e-12,-1.7595328764517578e-11
t49,-3.5051401261885134e-12,-2.357617728705788e-12,-3.5053529220056743e-12,-2.3625763497705916e-12,-3.5047078328887794e-12,-2.362002953131095e-12,-3.5044440267111324e-12,-2.3651361398521603e-12,-3.5046941720558458e-12,-2.3596171536055304e-12,-3.5045765820923274e-12,-2.364172527506917e-12,-1.759739791269044e-11
t50,-3.5051172540414485e-12,-2.357636755423299e-12,-3.505249732411572e-12,-2.3608847973697453e-12,-3.5047008874158036e-12,-2.3590426719876565e-12,-3.504448706813072e-12,-2.3635128755951285e-12,-3.5046939422596824e-12,-2.356525679334347e-12,-3.5045711920546497e-12,-2.361342071427604e-12,-1.7592632098649526e-11
t51,-3.505064496308389e-12,-2.3576542186851487e-12,-3.5051938111257457e-12,-2.360911682618545e-12,-3.504698773080435e-12,-2.3590431801455944e-12,-3.5044496496246457e-12,-2.3635347007387777e-12,-3.504698936704202e-12,-2.356527226429411e-12,-3.5045696827631766e-12,-2.361335550228068e-12,-1.759256616196386e-11
t52,-3.5050590876515985e-12,-2.357659713536645e-12,-3.5051646097658137e-12,-2.3608785804086132e-12,-3.5047003781629707e-12,-2.358994117412621e-12,-3.5044510064717087e-12,-2.3634996006415064e-12,-3.5046986580872893e-12,-2.3564742751184714e-12,-3.504570890587527e-12,-2.361291236655975e-12,-1.7592456486938263e-11
t53,-3.5050655618548254e-12,-2.3538969047151917e-12,-3.5050439116499524e-12,-2.356067794677555e-12,-3.5046838307033503e-12,-2.3539608600020514e-12,-3.504429578952859e-12,-2.3588924643472757e-12,-3.5046880266334185e-12,-2.3512213837336223e-12,-3.5045491640418295e-12,-2.356467559787852e-12,-1.7578718863602928e-11
t54,-3.505093840486646e-12,-2.354065138000111e-12,-3.5050239059037865e-12,-2.3562344819197767e-12,-3.504664296962811e-12,-2.3536343110376315e-12,-3.5043991375416686e-12,-2.3590466793734285e-12,-3.5046685211557765e-12,-2.350873439372935e-12,-3.5045243333482434e-12,-2.356156018976983e-12,-1.7578715974310763e-11
t55,-3.5050957835116506e-12,-2.3647647740247836e-12,-3.5050107702640023e-12,-2.3665373797869974e-12,-3.504643578509347e-12,-2.364819925288244e-12,-3.504391320133047e-12,-2.3688476340686204e-12,-3.504664461292028e-12,-2.362532489200397e-12,-3.504562822765774e-12,-2.3668668483257265e-12,-1.7610872211385027e-11
t56,-3.5052879405844025e-12,-2.3826857443831336e-12,-3.505107296936435e-12,-2.3838248594990637e-12,-3.5047288867578937e-12,-2.3851104006139937e-12,-3.504459960397695e-12,-2.385324049063639e-12,-3.504750207031481e-12,-2.383683650314579e-12,-3.5046319211356946e-12,-2.383755970693249e-12,-1.766674512877492e-11
