Zone,1,2,3,4,5,6
t136,-2.673030851385315e-10,-1.86105261726147e-10,-4.495026048388114e-10,-1.9123326984715595e-10,-2.486745022659092e-10,-3.717663045733026e-10
t137,-2.5952995561264805e-10,-1.848912071456676e-10,-4.5382170321673197e-10,-1.9239863748164497e-10,-2.5082655645561377e-10,-3.7869359536473883e-10
t138,-2.6642136785952804e-10,-1.8990665257681457e-10,-4.6488045422682333e-10,-2.0028186898253353e-10,-2.564148102187168e-10,-3.875823925897019e-10
t139,-2.7758707566363234e-10,-1.9786734321393383e-10,-4.736668274183375e-10,-2.0308335715375393e-10,-2.6289534636000677e-10,-3.9120180715816336e-10
t140,-2.833388401816504e-10,-2.0194046497058148e-10,-4.793527792241131e-10,-2.08083017848249e-10,-2.623423361108451e-10,-3.933153806295993e-10
t141,-2.8529237766875017e-10,-2.0332244280139853e-10,-4.969850921758343e-10,-2.1745401897966946e-10,-2.6761670350684863e-10,-4.0727589499630625e-10
t142,-3.02139156573182e-10,-2.153457385608165e-10,-5.255334547518668e-10,-2.315547561673491e-10,-2.834202409538081e-10,-4.3187823049605503e-10
t143,-3.2819802035283294e-10,-2.339062282033607e-10,-5.579724147583947e-10,-2.475370019764504e-10,-3.0536187476795366e-10,-4.5722991785889193e-10
t144,-3.5922834988138597e-10,-2.560282601735533e-10,-5.840879383542313e-10,-2.5876611052941624e-10,-3.299300349719345e-10,-4.749859225541263e-10
t145,-3.822531171406503e-10,-2.7241959619583886e-10,-6.075782341808625e-10,-2.71706244634864e-10,-3.3264037265910623e-10,-4.896793353971843e-10
t146,-4.015416865624349e-10,-2.8620757451295894e-10,-6.216920616518545e-10,-2.8184930121091745e-10,-3.441634657647263e-10,-5.013093377896172e-10
t147,-4.20633843574963e-10,-2.998169056930698e-10,-6.370101736043031e-10,-2.896215278173649e-10,-3.516491050846307e-10,-5.150836828179517e-10
t148,-4.287836374086894e-10,-3.0562467552014437e-10,-6.394353999315369e-10,-2.9253129173314256e-10,-3.532916449029712e-10,-5.181586779224798e-10
t149,-4.469157814324483e-10,-3.1699125157574706e-10,-6.338521658426805e-10,-2.945411231052966e-10,-3.4800763210853674e-10,-5.163646364692261e-10
t150,-4.870194525117813e-10,-3.362377293191597e-10,-6.277842304877984e-10,-3.005137559026035e-10,-3.3966018197138364e-10,-5.280312496681427e-10
t151,-5.290322823333432e-10,-3.6121476831919075e-10,-6.095883197148434e-10,-2.9602163929711474e-10,-3.259269296417018e-10,-5.281397902012643e-10
t152,-5.311694385698416e-10,-3.7241942685344903e-10,-5.747318605964994e-10,-2.814803077917568e-10,-3.054688402214472e-10,-5.084731087865782e-10
t153,-5.044595900675222e-10,-3.6869751244135115e-10,-5.460741115594015e-10,-2.619674301060881e-10,-2.888940122955247e-10,-4.875577425673507e-10
t154,-4.747992710520391e-10,-3.3671735989551616e-10,-5.257375850670377e-10,-2.415605176354147e-10,-2.782076922071322e-10,-4.641749390857097e-10
t155,-4.315571873007208e-10,-3.082100263409743e-10,-5.128079891437547e-10,-2.2626217604254507e-10,-2.753333395020997e-10,-4.4583435004399587e-10
t156,-3.9090994004511127e-10,-2.831375331017307e-10,-5.022291911113902e-10,-2.1586685371531755e-10,-2.7380960691777793e-10,-4.2746190134146406e-10
t157,-3.6965875671406793e-10,-2.6244988387611974e-10,-4.957502287122352e-10,-2.0519642968526023e-10,-2.7426832677967263e-10,-4.148443208485239e-10
t158,-3.412370254312406e-10,-2.437712254741864e-10,-4.917669549532188e-10,-1.967393909677853e-10,-2.755079456976319e-10,-4.116729392208495e-10
t159,-3.18581796805396e-10,-2.284782628296594e-10,-4.861278801405627e-10,-1.9136503617700663e-10,-2.754531360951382e-10,-4.1328658192883624e-10
t160,-3.041710182477431e-10,-2.1580963916066045e-10,-4.807882429217316e-10,-1.886102938968242e-10,-2.7337375959424615e-10,-4.0630017597384406e-10
t161,-2.949208146101663e-10,-2.1017403177358455e-10,-4.855558304165331e-10,-1.8942846877386262e-10,-2.7176823631453556e-10,-4.099801217930037e-10
