region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,EmissionsCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,RegSubsidyRevenue,Revenue,Cost,Profit
WECC_WYCO,WECC_WYCO_natural_gas_fired_combustion_turbine_2,6,2,66,0.0,0.0,1.3172303376229305e10,0.0,3.02881590703125e8,2.98295099630241e6,0.0,674200.7187144734,0.0,0.0,1.7132336e7,0.0,0.0,0.0,0.0,1.7132336e7,1.3478842118647446e10,-1.3461709782647446e10
WECC_WYCO,WECC_WYCO_onshore_wind_turbine_1,6,1,67,0.0,0.0,2.4850219850008636e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1753533e8,0.0,0.0,0.0030978157326762225,0.0,5.1753532800309783e8,2.4850219850008636e11,-2.4798466317208325e11
WECC_WYCO,WECC_WYCO_solar_photovoltaic_1,6,1,68,0.0,0.0,1.1126556000044928e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9039918e7,0.0,0.0,0.00025839440685784034,0.0,2.9039918000258394e7,1.1126556000044928e10,-1.109751608204467e10
CA_N,CA_N_naturalgas_ccavgcf_mid_0,1,0,69,1.0661319683336295e11,0.0,2.1108510446150776e10,0.0,1.8470082400000004e10,2.6921464473541874e8,0.0,0.0186375288163112,0.0,0.0,4.1540643e8,0.0,0.0,0.0,0.0,4.15406432e8,3.984780749090484e10,-3.943240105890484e10
CA_N,CA_N_naturalgas_ctavgcf_mid_0,1,0,70,126.81153001999998,0.0,19.835759588932742,0.0,24.556254548951983,0.20240064394698126,0.0,0.018038947683281816,0.0,0.0,0.23642959,0.0,0.0,0.0,0.0,0.2364295870065689,44.61245372951499,-44.37602414250842
CA_N,CA_N_naturalgas_ccccsavgcf_mid_0,1,0,71,112.71890548569088,0.0,21.911790184787563,0.0,18.609197451733053,0.10182099170652048,0.0,0.009939427280682233,0.0,0.0,0.11304636,0.0,0.0,0.0,0.0,0.11304636299610138,40.63274805550782,-40.51970169251172
CA_N,CA_N_battery_mid_0,1,0,72,8.79066358407182e9,1.0974393885470072e10,2.6223312971195526e9,3.27350313450779e9,0.0,0.0,0.0,0.0,0.0,1.7915821e6,2.7452474e7,0.0,0.0,0.0,0.0,2.7452474e7,5.897626013752342e9,-5.870173539752342e9
CA_N,CA_N_nuclear_mid_0,1,0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_ccs100_mid_0,1,0,74,103.64704052705748,0.0,26.292793958706202,0.0,16.546219121664762,0.08964410757732247,0.0,0.00918597873067349,0.0,0.0,0.09375365,0.0,0.0,0.0,0.0,0.09375365078449249,42.93784316667895,-42.84408951589446
CA_N,CA_N_landbasedwind_ltrg1_mid_110_1,1,1,75,28.548140030643317,0.0,5.071538885294544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015436392,0.0,0.0,0.0,0.0,0.015436392277479172,5.071538885294544,-5.056102493017065
CA_N,CA_N_landbasedwind_ltrg1_mid_110_2,1,2,76,23.135659938504386,0.0,5.65077964098897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012384274,0.0,0.0,0.0,0.0,0.012384274043142796,5.65077964098897,-5.6383953669458275
CA_N,CA_N_landbasedwind_ltrg1_mid_110_3,1,3,77,20.714976726995435,0.0,4.224114165437942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007943454,0.0,0.0,0.0,0.0,0.007943454198539257,4.224114165437942,-4.2161707112394025
CA_N,CA_N_landbasedwind_ltrg1_mid_110_4,1,4,78,20.677448106982283,0.0,4.269164613410204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009055809,0.0,0.0,0.0,0.0,0.009055809117853642,4.269164613410204,-4.260108804292351
CA_N,CA_N_landbasedwind_ltrg1_mid_110_5,1,5,79,21.225391351999114,0.0,4.146977018578068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00782292,0.0,0.0,0.0,0.0,0.007822919636964798,4.146977018578068,-4.139154098941103
