region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,AnnualSum
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_3,4,3,151,0.0,0.0,0.0,6.856252315559429e-13,0.0,0.0,6.856252315559429e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_4,4,4,152,0.0,0.0,0.0,9.482058607849829e-14,0.0,0.0,9.482058607849829e-14
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_5,4,5,153,0.0,0.0,0.0,0.005629250092142085,0.0,0.0,0.005629250092142085
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_6,4,6,154,0.0,0.0,0.0,2.3238816020495324e-13,0.0,0.0,2.3238816020495324e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_7,4,7,155,0.0,0.0,0.0,4.215978237017181e-13,0.0,0.0,4.215978237017181e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_8,4,8,156,0.0,0.0,0.0,9.412753216694963e-14,0.0,0.0,9.412753216694963e-14
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_9,4,9,157,0.0,0.0,0.0,1.501609764002719e-13,0.0,0.0,1.501609764002719e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_10,4,10,158,0.0,0.0,0.0,8.629760794581278e-14,0.0,0.0,8.629760794581278e-14
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_11,4,11,159,0.0,0.0,0.0,3.114662344647441e-13,0.0,0.0,3.114662344647441e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_12,4,12,160,0.0,0.0,0.0,2.026457937781039e-13,0.0,0.0,2.026457937781039e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_13,4,13,161,0.0,0.0,0.0,6.204801510086741e-13,0.0,0.0,6.204801510086741e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_14,4,14,162,0.0,0.0,0.0,1.2338664548291778e-13,0.0,0.0,1.2338664548291778e-13
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_15,4,15,163,0.0,0.0,0.0,8.143901536040882e-14,0.0,0.0,8.143901536040882e-14
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_16,4,16,164,0.0,0.0,0.0,2.5725823698593264e-13,0.0,0.0,2.5725823698593264e-13
WECC_PNW,WECC_PNW_naturalgas_ccavgcf_mid_0,5,0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_naturalgas_ctavgcf_mid_0,5,0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_naturalgas_ccccsavgcf_mid_0,5,0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_battery_mid_0,5,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_nuclear_mid_0,5,0,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_naturalgas_ccs100_mid_0,5,0,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_1,5,1,171,0.0,0.0,0.0,0.0,7.152020678995546e-14,0.0,7.152020678995546e-14
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_2,5,2,172,0.0,0.0,0.0,0.0,7.632767187962108e-14,0.0,7.632767187962108e-14
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_3,5,3,173,0.0,0.0,0.0,0.0,1.13940764086645e-13,0.0,1.13940764086645e-13
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_4,5,4,174,0.0,0.0,0.0,0.0,8.499757263333323e-14,0.0,8.499757263333323e-14
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_5,5,5,175,0.0,0.0,0.0,0.0,6.862837348727345e-14,0.0,6.862837348727345e-14
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_6,5,6,176,0.0,0.0,0.0,0.0,6.717845233634213e-14,0.0,6.717845233634213e-14
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_7,5,7,177,0.0,0.0,0.0,0.0,6.200384640994766e-14,0.0,6.200384640994766e-14
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_8,5,8,178,0.0,0.0,0.0,0.0,5.222059408928077e-14,0.0,5.222059408928077e-14
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_1,5,1,179,0.0,0.0,0.0,0.0,0.005042270273321996,0.0,0.005042270273321996
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_2,5,2,180,0.0,0.0,0.0,0.0,1.096735641267829e-12,0.0,1.096735641267829e-12
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_3,5,3,181,0.0,0.0,0.0,0.0,1.873080344582715e-12,0.0,1.873080344582715e-12
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_4,5,4,182,0.0,0.0,0.0,0.0,5.722914611644331e-13,0.0,5.722914611644331e-13
WECC_PNW,WECC_PNW_offshorewind_otrg6_mid_floating_1_150_1,5,1,183,0.0,0.0,0.0,0.0,1.6124989626437758e-14,0.0,1.6124989626437758e-14
WECC_PNW,WECC_PNW_offshorewind_otrg6_mid_floating_1_150_2,5,2,184,0.0,0.0,0.0,0.0,1.3657163977659353e-14,0.0,1.3657163977659353e-14
WECC_PNW,WECC_PNW_offshorewind_otrg6_mid_floating_1_150_3,5,3,185,0.0,0.0,0.0,0.0,8.556966070619081e-15,0.0,8.556966070619081e-15
WECC_WYCO,WECC_WYCO_naturalgas_ccavgcf_mid_0,6,0,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_naturalgas_ctavgcf_mid_0,6,0,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
