,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t89,19073.54219150895,3.1651282820058826e-7,-2.5932555000192783e-7,0.0,-0.0,-2.357525177679451e-9,-3.505249986234499e-9,4755.654357316118,-104.19654887638869,-23725.0,19971.826689917605,2.5020482937873215e-7,-3.422129512310651e-7,0.0,-0.0,-2.35952460942157e-9,-3.5053218427406226e-9,13741.345641136842,-393.1723309566488,-33320.0,18548.24002783251,8.140935792094594e-8,-0.00033167734834697795,0.0,-0.0,-2.384666606870148e-9,-3.5047287727054396e-9,-5257.035323051711,-165.20437317885373,-13126.0,39426.86760152381,2.104884846527532e-7,-6.64932771435873e-7,0.0,-0.0,-2.3665793158692976e-9,-3.5043012548294965e-9,-9592.799569699855,-259.06803136361725,-29575.0,30543.171962058193,6.311404160700004e-8,-6.0096304031097216e-5,0.0,-0.0,-2.3858586451798513e-9,-3.5047577066014765e-9,-7665.964675644659,-211.20722637436495,-22666.0,12089.123082507362,2.1089020062308645e-7,-6.60994818450035e-7,0.0,-0.0,-2.369220504392979e-9,-3.504527230807131e-9,4018.7995699432645,-82.92265199452368,-16024.999999999998
t90,19672.691455997563,1.811020778205591e-7,-5.351847623119604e-7,0.0,-0.0,-2.357510538129967e-9,-3.5051761599901023e-9,3774.999996913698,-87.69145255133178,-23360.0,19962.79884743278,1.9799694161804425e-7,-4.1271093166238224e-7,0.0,-0.0,-2.3558381812269067e-9,-3.5052514196899117e-9,13161.001244864301,-341.80009207657855,-32782.0,16372.42068373467,2.688644476374235e-7,-4.5799144909877495e-7,0.0,-0.0,-2.3687810203457468e-9,-3.5046624639908176e-9,-3403.344057313197,-174.07662622635408,-12795.0,36181.12724727229,2.349525166092554e-7,-3.660916933759865e-7,0.0,-0.0,-2.358700954726165e-9,-3.5042761822436027e-9,-7499.00124471146,-237.1260024238071,-28445.0,31429.642146306935,2.4249152363312183e-7,-5.905909106811237e-7,0.0,-0.0,-2.37061971797582e-9,-3.50469145778998e-9,-8819.101921431859,-233.5402245210127,-22377.0,12975.941039316254,1.9799850605925938e-7,-6.629978634000271e-7,0.0,-0.0,-2.366713046868516e-9,-3.504518758331096e-9,2785.4459816785156,-82.38702052376044,-15679.0
t91,19285.612474915637,1.8399493864199882e-7,-3.516215849661936e-7,0.0,-0.0,-2.3478248384392424e-9,-3.50508315984837e-9,3337.4433609127227,-95.0558356549279,-22528.0,20389.234962056977,1.9408864429434966e-7,-3.2113636086900594e-7,0.0,-0.0,-2.345159373751445e-9,-3.5050490898534024e-9,11527.673341622669,-302.90830354679855,-31614.0,12549.651974737923,2.240531196877951e-7,-3.252091953755556e-7,0.0,-0.0,-2.353880798656519e-9,-3.504632964499115e-9,101.2128607392664,-108.8648353700914,-12542.0,33954.166755579135,2.0818973274801558e-7,-3.370154156077223e-7,0.0,-0.0,-2.3485341480692757e-9,-3.5042969157693628e-9,-5751.132932150929,-183.03382329351635,-28020.0,31219.820419920907,2.2827037154729918e-7,-3.405669796733447e-7,0.0,-0.0,-2.3563374201416955e-9,-3.504658542205714e-9,-8874.212852840838,-234.6075669618125,-22111.0,15848.255658427752,2.0693643529158136e-7,-3.209304932685979e-7,0.0,-0.0,-2.3524203333524196e-9,-3.50448326768744e-9,-340.9837782828937,-8.271880024875989,-15499.0
t92,17231.052796765263,718.2501498252603,-5.277999042721393e-9,0.0,-0.0,-2.1723955612804054e-9,-3.504620118133726e-9,4053.0685941903002,-92.37154077046789,-21910.0,20167.134793378005,429.2182008754308,-5.586648057926362e-9,0.0,-0.0,-2.182013155706641e-9,-3.5044730007920706e-9,10434.801696881726,-284.1546911239349,-30747.0,10535.489371574038,0.00033266959452797054,-8.672227484368023e-9,0.0,-0.0,-2.1971964492739426e-9,-3.5041205135649752e-9,1853.6666489407105,-40.15635317033088,-12349.0,34271.3177584155,338.69058272037876,-8.871465785313362e-9,0.0,-0.0,-2.194300689477604e-9,-3.5037598539562616e-9,-7338.02037221412,-187.98796890719194,-27084.0,30090.823459931547,6.061234132228031e-5,-9.49566877283152e-9,0.0,-0.0,-2.2069939185240134e-9,-3.5041451607680555e-9,-7622.458878098089,-210.3646424305236,-22258.0,16776.201124012616,1.72699791454343e-5,-9.966508033452459e-9,0.0,-0.0,-2.2069637532195912e-9,-3.5039646541087705e-9,-1381.0576897005276,-29.143451566269015,-15366.0
t93,17365.936955130364,1.185611244203799e-6,-6.468234667472722e-8,0.0,-0.0,-2.3066550529244123e-9,-3.5051918199692427e-9,4432.826169205353,-98.76312545114682,-21700.0,20549.315753305396,6.657432702865824e-7,-6.719180714507815e-8,0.0,-0.0,-2.3105819079158975e-9,-3.5050410177385735e-9,10184.008945910831,-280.32469980903085,-30453.0,10506.853366119403,4.433336503134926e-7,-7.46649250588364e-8,0.0,-0.0,-2.317033261820246e-9,-3.504532747768639e-9,1334.1544582313165,-30.007824713440396,-11811.0,33964.10666884002,4.2158857382539667e-7,-7.380315707536715e-8,0.0,-0.0,-2.3157126060251514e-9,-3.5041944869222293e-9,-8315.402782000321,-213.70388718168846,-25435.0,27739.56160517838,4.70426714838226e-7,-7.643419206889368e-8,0.0,-0.0,-2.3188955115521606e-9,-3.504515834198072e-9,-5601.21170782133,-155.34989774514818,-21983.0,16748.49221365256,2.008671201465508e-7,-8.314990245585516e-8,0.0,-0.0,-2.321099043710704e-9,-3.5043746352656574e-9,-2034.3750835258493,-42.11713023846933,-14672.0
t94,16828.57431010656,5.8183158838694526e-8,-7.743545438828074e-7,0.0,-0.0,-2.3506334848700755e-9,-3.505330280517186e-9,3537.475965336889,-82.05027472144194,-20284.0,21318.942149829938,6.790468383436606e-8,-4.639326610363573e-7,0.0,-0.0,-2.3486749933175208e-9,-3.505394703418787e-9,7317.753664977033,-171.69581440514796,-28465.0,10269.556059621727,7.225600895908214e-8,-6.533898221001201e-7,0.0,-0.0,-2.352870724542031e-9,-3.504671606195063e-9,650.106654131873,-15.662713166468786,-10904.0,29772.790016404917,7.319401076004647e-8,-4.890222243815472e-7,0.0,-0.0,-2.3519268209801417e-9,-3.5043514814079497e-9,-6026.245908308362,-165.54410767483623,-23581.0,24677.958943967074,7.289835106860388e-8,-8.537100456296948e-7,0.0,-0.0,-2.353947104480293e-9,-3.5046480473837527e-9,-4097.524163104258,-102.4347800761729,-20478.0,15042.461725438598,7.109401641859628e-8,-6.711971201601045e-7,0.0,-0.0,-2.3554013334774436e-9,-3.504521264745462e-9,-1381.5662130331739,-29.895511799324353,-13631.0
t95,16371.664276937157,1.2345119467364927e-7,-7.660171986873433e-7,0.0,-0.0,-2.3543710941318864e-9,-3.505299577970286e-9,1990.5046459816003,-46.16892227032037,-18316.0,21429.271736244773,1.1323760627311381e-7,-7.784679800553627e-7,0.0,-0.0,-2.3557501611553225e-9,-3.5055359034281498e-9,4371.369052170728,-97.64078774450832,-25703.0,8070.823900296151,1.5943914501764833e-7,-3.4182906531622036e-7,0.0,-0.0,-2.3551177459181314e-9,-3.5046802583137636e-9,2084.914943938628,-41.738844046388074,-10114.0,26542.992768834985,1.212666727537504e-7,-8.174154876534688e-7,0.0,-0.0,-2.3586753670694664e-9,-3.504391869228654e-9,-4527.672009498205,-102.32075863470259,-21913.0,20803.991690934774,1.2773762779306898e-7,-1.0286550649474055e-6,0.0,-0.0,-2.3574904267118735e-9,-3.5046617110902403e-9,-2001.6077324414755,-46.383957586437056,-18756.0,14836.352738060934,1.596868724077097e-7,-3.5205826066202304e-7,0.0,-0.0,-2.3575527815845513e-9,-3.5045370787308773e-9,-1917.5089001512754,-36.843837711286625,-12882.0
t96,14895.843375806508,1.2696295221035254e-7,-1.6115769406620837e-6,0.0,-0.0,-2.3575409568744975e-9,-3.505304354267984e-9,1607.3743650917042,-35.217739407707455,-16468.0,18078.190185756168,1.262392129448427e-7,-1.8639146525234707e-6,0.0,-0.0,-2.3595358298883456e-9,-3.5053312950085642e-9,5161.620844938058,-128.81102895072826,-23111.0,7643.820263195455,1.2034414331437617e-7,-1.5760958272043217e-5,0.0,-0.0,-2.362821042102752e-9,-3.504714389062496e-9,2006.0455366209844,-64.86578416978975,-9585.0,26306.780308374913,1.3494486187151195e-7,-1.952792395737763e-6,0.0,-0.0,-2.3622448835341347e-9,-3.5044213154891036e-9,-5506.778522119629,-123.00178443148965,-20677.0,18144.32003339053,1.2656696116000507e-7,-1.1433855470517794e-5,0.0,-0.0,-2.3604963300380816e-9,-3.504689173634563e-9,-593.3454707357557,-37.97455134151164,-17513.0,15027.313757287795,1.2123298393101515e-7,-6.830894810532656e-6,0.0,-0.0,-2.364938748459259e-9,-3.5045760183711486e-9,-2674.916753795362,-51.39699677675621,-12301.0
t97,12888.495121927448,1.5147691338872976e-7,-7.638270387244726e-7,0.0,-0.0,-2.3575823294037114e-9,-3.5052937213388254e-9,2493.9994420156613,-44.494563324864686,-15338.0,17732.05419729191,1.5484790090411385e-7,-8.222904773508276e-7,0.0,-0.0,-2.3596190289558356e-9,-3.5052010062846538e-9,3965.5135808141818,-171.56777743279002,-21526.0,7333.74798171295,1.4474389160407302e-7,-5.663791042856057e-6,0.0,-0.0,-2.3628644614984115e-9,-3.5047179323220713e-9,1968.2566052705167,-80.00458145837854,-9222.0,25903.346977466856,1.6481350239081476e-7,-8.622311090581689e-7,0.0,-0.0,-2.3623043778743452e-9,-3.5044365066323433e-9,-6084.442245874306,-135.90473088918455,-19683.0,15923.357378471346,1.3888758071158677e-7,-4.638207808845699e-6,0.0,-0.0,-2.360523959522352e-9,-3.504699809889989e-9,705.0040469768514,-25.361420942899166,-16603.0,15047.903378968567,1.4568746581070947e-7,-3.5499671308042657e-6,0.0,-0.0,-2.3649776776537835e-9,-3.504581910396934e-9,-3048.331429202906,-58.57194635536028,-11941.0
t98,11008.774721626181,1.7165394424988355e-7,-5.286986054398935e-7,0.0,-0.0,-2.357606485410616e-9,-3.5052419222633072e-9,3579.4702581402694,-60.24497940350097,-14528.0,17739.167449780816,1.758351677220839e-7,-5.592595326359552e-7,0.0,-0.0,-2.359627999765926e-9,-3.5053013354407497e-9,2851.7275424189274,-203.89499181047023,-20387.0,7096.045181331189,2.3819625558613308e-7,-3.536926410097657e-7,0.0,-0.0,-2.359040366347521e-9,-3.504700808331429e-9,1975.2203080760885,-87.26548928575507,-8984.0,25545.847828253896,1.866779159844413e-7,-5.875358134752286e-7,0.0,-0.0,-2.3623301937310088e-9,-3.504444415391828e-9,-6431.1978150317045,-143.65001281539594,-18971.0,14834.611835310805,2.2811205359822721e-7,-3.353737836553185e-7,0.0,-0.0,-2.356527481596191e-9,-3.5046801978110952e-9,1278.1421535664679,-24.753988764046426,-16088.000000000002,14895.873947474707,2.3631500114413717e-7,-3.572040303719115e-7,0.0,-0.0,-2.3613119689994124e-9,-3.5045708845408036e-9,-3253.362447170049,-62.51150017777265,-11580.0
t99,12309.449523740961,1.9432699805690352e-7,-4.111821072116107e-7,0.0,-0.0,-2.3576116165460166e-9,-3.505198020910641e-9,1768.3124069712783,-29.761930489477606,-14048.0,17723.261500070297,1.9939146608559232e-7,-4.303651396494873e-7,0.0,-0.0,-2.359616842217098e-9,-3.5053454611920613e-9,2207.4720851581446,-216.73358499161918,-19714.0,6770.188174453112,3.1070165469766887e-7,-2.630023682789373e-7,0.0,-0.0,-2.3577347673504655e-9,-3.504688600308945e-9,2235.0556842669453,-109.24385876172366,-8896.0,25105.45263795485,2.1124943188549358e-7,-4.52800352055474e-7,0.0,-0.0,-2.3623335173136867e-9,-3.504443285155825e-9,-6387.158434119924,-148.2942035874303,-18570.0,12733.107632679943,2.975513478263943e-7,-2.5066378453106685e-7,0.0,-0.0,-2.355161057426418e-9,-3.5046685786315946e-9,3184.022361603147,-90.12999432400908,-15827.0,14444.495419449786,3.033051485102793e-7,-2.681301314449166e-7,0.0,-0.0,-2.3600631932070654e-9,-3.5045624019268557e-9,-3007.7041038795915,-57.79131559936785,-11379.0
t100,13046.674051260477,5.072579417754839e-7,-1.8106286480267176e-7,0.0,-0.0,-2.3538593122836645e-9,-3.5051409908773175e-9,692.9894439313057,-11.66349551206557,-13728.0,17380.748683073365,5.167398901157982e-7,-1.8807421762658493e-7,0.0,-0.0,-2.3560323174722487e-9,-3.5051359905624087e-9,2090.0854389366514,-213.83412233280163,-19257.0,6500.62458053552,1.6646632863346197e-6,-1.562894671554305e-7,0.0,-0.0,-2.3539660308811126e-9,-3.5046812719729672e-9,2612.3831837268044,-93.00776576465947,-9020.0,24723.372918078934,5.427812335906978e-7,-1.9941039583606335e-7,0.0,-0.0,-2.358885739260313e-9,-3.5044341409137892e-9,-5906.808028990426,-137.56488942592796,-18679.0,12826.62883988451,1.555679044469186e-6,-1.4952843765315334e-7,0.0,-0.0,-2.3512283764709412e-9,-3.5046709349286786e-9,3287.639838647341,-104.26867993202332,-16010.000000000002,14243.63469861785,1.261199318274309e-6,-1.6063972821420826e-7,0.0,-0.0,-2.3564543058762586e-9,-3.5045515538899607e-9,-2776.2898762516757,-53.34482346072936,-11414.0
t101,12321.456070243228,7.724089895090202e-7,-1.6178094909754925e-7,0.0,-0.0,-2.3538757926263073e-9,-3.5050412791048008e-9,1026.8261290046876,-17.28219985262094,-13331.0,18725.120578017784,7.856541263855269e-7,-1.6773942230343525e-7,0.0,-0.0,-2.3560391163601777e-9,-3.5050636418018318e-9,254.64751903037586,-213.76809766017797,-18766.0,7577.802349275589,3.744031646885705e-6,-1.4843721334487815e-7,0.0,-0.0,-2.3536231164088953e-9,-3.504683257240633e-9,2036.9378604451542,-79.74021331029171,-9535.0,24275.091557690503,8.237535664674661e-7,-1.7814108963601135e-7,0.0,-0.0,-2.3588774148337547e-9,-3.504430807884209e-9,-4879.473653316914,-114.61790501325719,-19281.0,13233.813845167479,3.477919599984202e-6,-1.4192304146072238e-7,0.0,-0.0,-2.350872525054458e-9,-3.504684708243404e-9,3704.6073616840863,-120.42121018157471,-16818.0,14024.732211400498,2.2292729414331235e-6,-1.5149820298766132e-7,0.0,-0.0,-2.3561259799741445e-9,-3.5045455108610205e-9,-2143.5452168473894,-41.18699662489064,-11840.0
t102,11928.4036093493,1.874257411527051e-6,-1.3155842985896387e-7,0.0,-0.0,-2.3541075135915216e-9,-3.5050671390470204e-9,1030.1298278628565,-98.53343894892846,-12860.0,16292.987014799912,1.8752318841610048e-6,-1.372090227250076e-7,0.0,-0.0,-2.356275424559998e-9,-3.5050368717417235e-9,2396.199902771802,-341.18691930384296,-18348.0,6997.03116840901,1.302784068615836e-5,-1.3571122446227883e-7,0.0,-0.0,-2.3536131155851294e-9,-3.5046672925812086e-9,3160.6368056532474,-68.66798694833469,-10089.0,29322.812390967443,1.96141001859998e-6,-1.4622155363650727e-7,0.0,-0.0,-2.3590930086613396e-9,-3.504401869899298e-9,-9620.21274409113,-221.59964868554573,-19481.0,13371.468643137789,9.653398835730952e-6,-1.2882219595900552e-7,0.0,-0.0,-2.350924828384769e-9,-3.5046728206731573e-9,4886.60890852793,-151.07756118430729,-18107.0,14036.63527595152,5.5156201787443365e-6,-1.3320477482819934e-7,0.0,-0.0,-2.356117482258682e-9,-3.5045198717836287e-9,-1853.3627007247069,-60.27258060322456,-12123.0
t103,9334.030968754227,3.1647430655427774e-7,-1.8568387594682114e-7,0.0,-0.0,-2.362462727359276e-9,-3.5050277105808274e-9,3343.238058053647,-56.269026932743365,-12621.0,17183.19892497207,3.100899314240484e-7,-2.0703260652682487e-7,0.0,-0.0,-2.364308336344997e-9,-3.50506347165512e-9,1500.9580430016135,-261.1569680708404,-18423.0,10307.445053409616,2.929072054355283e-7,-1.7789883768765606e-7,0.0,-0.0,-2.362523287037379e-9,-3.5046310563800507e-9,239.79345513036577,-100.23850864893161,-10447.0,27321.484167591603,3.2661015638669867e-7,-2.1919870557899016e-7,0.0,-0.0,-2.3667440848083856e-9,-3.5043878556503557e-9,-7230.355940343563,-167.12822734949907,-19924.0,15603.857103025277,2.893349595400313e-7,-1.6904965271818987e-7,0.0,-0.0,-2.3601290068667095e-9,-3.504652348359986e-9,3919.0794509328507,-103.93655407242456,-19419.0,13922.774735320065,2.9553683976738864e-7,-2.035428635009729e-7,0.0,-0.0,-2.364651295939618e-9,-3.5045473795012045e-9,-1772.7130667749132,-34.0616686311331,-12116.0
t104,12511.451373810332,3.048169309654151e-7,-1.7279844188366235e-7,0.0,-0.0,-2.3694544043220246e-9,-3.5051952208087685e-9,99.99999141725664,-2.451365353686272,-12609.0,9609.652142413026,3.70604856615672e-7,-1.6723220713980783e-7,0.0,-0.0,-2.369426350214248e-9,-3.5049961259318014e-9,9406.630576825179,-212.2827194356465,-18804.0,14637.24288780815,2.2729187740145222e-7,-2.1393848560634497e-7,0.0,-0.0,-2.372259954974382e-9,-3.5046764331564802e-9,-3782.477642273231,-76.76524554220609,-10778.0,29852.970069008887,3.897767663178733e-7,-1.7748529520763516e-7,0.0,-0.0,-2.371596351035591e-9,-3.504411936101437e-9,-9008.74680864674,-201.22326056848829,-20643.0,19479.984315953167,2.1938719452776192e-7,-2.0500292769376856e-7,0.0,-0.0,-2.37028148203212e-9,-3.504700001294077e-9,935.1264310847495,-18.110747046315,-20397.0,10147.67622267966,3.1851667639823427e-7,-1.8380666295531096e-7,0.0,-0.0,-2.370353441931721e-9,-3.5045713779995195e-9,2349.467451592785,-45.14367440114372,-12452.0
t105,13256.35424613262,1.2502546968184144e-7,-602.5024701635724,0.0,-0.0,-2.386109881475579e-9,-3.505231664117481e-9,383.60455609866375,-6.456332186785259,-13031.0,10837.414762197886,1.0851136721913137e-7,-429.21819882614585,0.0,-0.0,-2.387123315817529e-9,-3.5050333421497666e-9,8762.552279047783,-210.74884252206746,-18960.0,14845.120085810942,1.3279137153917314e-7,-0.00021094513773072353,0.0,-0.0,-2.38674259219658e-9,-3.5047496261273295e-9,-3524.6407549509636,-88.47912004154075,-11232.0,32494.64320356872,1.1608542785091105e-7,-338.69058057410314,0.0,-0.0,-2.3884559065474573e-9,-3.5044740456292513e-9,-10230.95289033892,-232.99973276581878,-21692.0,20631.541735323182,1.2681447974896176e-7,-3.8223291609228826e-5,0.0,-0.0,-2.3853812516586914e-9,-3.5047729465210043e-9,461.3942000355458,-8.935897256220589,-21084.0,8691.0091753328,1.287910470069329e-7,-1.0559458552053648e-5,0.0,-0.0,-2.3854470015248323e-9,-3.5046327653246476e-9,4148.042610107892,-83.05177500399348,-12756.0
t106,14176.091754613346,2.4000166435057633e-7,-246.09175315618882,0.0,-0.0,-2.3860944882026667e-9,-3.505238539720725e-9,-1.5307850889621953e-6,-1.6042057346593558e-7,-13930.0,11518.886057079253,2.3739362354926516e-7,-77.89215185313135,0.0,-0.0,-2.385666330328829e-9,-3.5050304316608925e-9,9865.363106866309,-220.3570123238738,-21086.0,15680.811468354084,2.451335112995392e-7,-0.00018112075358642015,0.0,-0.0,-2.3867375465014636e-9,-3.504753181980008e-9,-4003.806561483246,-77.0047259891359,-11600.0,33747.87082900836,2.509477033588565e-7,-61.46369454391803,0.0,-0.0,-2.3870718010937092e-9,-3.504456802651828e-9,-10520.165361941668,-236.24177276776425,-22930.0,21188.714491581388,2.3069367074591263e-7,-3.2522213872057445e-5,0.0,-0.0,-2.3853726004812314e-9,-3.5047733243543846e-9,483.65251845744393,-9.366977741295655,-21663.0,9168.566217580883,2.1649024421334548e-7,-8.682683431556266e-6,0.0,-0.0,-2.3854362194926853e-9,-3.5046265234352144e-9,4174.956299631947,-83.52250874060314,-13260.0
t107,14448.31127378897,3.105738690705522e-7,-8.199726870316524e-7,0.0,-0.0,-2.382036654442495e-9,-3.505252528723716e-9,613.0398365262821,-14.351109799919612,-15047.0,11917.944976841027,2.829537848436106e-7,-1.1902178612752507e-6,0.0,-0.0,-2.383027049684824e-9,-3.5050446996272687e-9,11637.39889562299,-266.34387155081725,-23289.0,16990.03529290578,2.7654397621891125e-7,-1.7856429311858224e-6,0.0,-0.0,-2.385079034510837e-9,-3.5047437819422796e-9,-4934.570690002917,-105.46460138769211,-11950.0,35427.83631618592,2.6151034280462194e-7,-5.8220415218981536e-6,0.0,-0.0,-2.3864887661565357e-9,-3.5044359246766682e-9,-11127.999998772728,-249.8363118466857,-24050.0,22184.9291065383,2.623044355395904e-7,-1.6887318661033562e-6,0.0,-0.0,-2.383651765349871e-9,-3.5047598325126803e-9,-182.63026460738325,-18.298840498494485,-21984.0,9869.34436002286,2.5021458410907076e-7,-1.572081071107962e-6,0.0,-0.0,-2.3837076276888233e-9,-3.5046136581901492e-9,3994.7622212337565,-80.10657992871494,-13784.0
t108,14627.153072402922,7.181437122557475e-7,-2.464951545160814e-7,0.0,-0.0,-2.3695355947359627e-9,-3.5052407209154744e-9,1651.279573175301,-38.43264604403308,-16239.999999999998,12396.642409564389,8.440277999247986e-7,-2.363360139630064e-7,0.0,-0.0,-2.3694534929270766e-9,-3.5050544502940997e-9,11863.99999780876,-272.6424079749466,-23988.0,18094.629707182994,8.219867335826873e-7,-2.6831517197348815e-7,0.0,-0.0,-2.373690083104813e-9,-3.5046732188549863e-9,-5694.41102813139,-122.21867959921354,-12278.0,36325.60557335406,6.233177380015866e-7,-2.976624474317353e-7,0.0,-0.0,-2.3739895924919503e-9,-3.504366982073893e-9,-10940.322114580993,-245.28345909277482,-25140.0,22251.171336968233,9.643446984216104e-7,-2.430872665945313e-7,0.0,-0.0,-2.371778426350345e-9,-3.504696577881015e-9,151.79364127126684,-68.96497895475775,-22334.0,11365.764736046436,7.118117599501233e-7,-2.5032621010997437e-7,0.0,-0.0,-2.3718402646375036e-9,-3.5045526641339386e-9,2967.6599304570545,-59.424666958960955,-14274.0
t109,16561.363792488926,5.387940687144596e-7,-2.580830287209309e-7,0.0,-0.0,-2.3678999730223804e-9,-3.5053000713450585e-9,1053.196568221951,-24.56036098568176,-17590.0,15676.123762500045,4.11993022216091e-7,-3.097415203955096e-7,0.0,-0.0,-2.36932380808286e-9,-3.5050993243634713e-9,11233.44156133031,-256.56532392672796,-26653.0,17985.357907209294,6.570119460190997e-7,-2.708947423930439e-7,0.0,-0.0,-2.3722057140659932e-9,-3.5046615350830114e-9,-5291.138849724037,-111.21905786533476,-12583.0,36741.24303167073,5.4294980787243e-7,-2.891828272145574e-7,0.0,-0.0,-2.371503515113628e-9,-3.504344607090247e-9,-10198.446133284275,-227.79689863429948,-26315.0,22658.794657514904,9.427036329124134e-7,-2.3106569024683257e-7,0.0,-0.0,-2.3702375035504857e-9,-3.5046811458875573e-9,-27.76263204401308,-40.032026176547305,-22591.0,11591.366750642073,5.709380691723816e-7,-2.541463406808831e-7,0.0,-0.0,-2.370293994215692e-9,-3.5045425654129217e-9,3230.7094855000623,-62.07623645291882,-14760.0
t110,17240.313441721126,3.665009059715876e-7,-3.1674204461212505e-7,0.0,-0.0,-2.3676334888385496e-9,-3.5053716920195844e-9,2021.1042307386795,-42.41767250365926,-19219.0,21234.6036303034,2.8501914337753863e-7,-4.314287211063205e-7,0.0,-0.0,-2.3692933115903844e-9,-3.5051209440967634e-9,7853.073459036404,-203.6770891875325,-28884.0,17166.385572260493,4.550996808919194e-7,-3.18127285878642e-7,0.0,-0.0,-2.3719746650222723e-9,-3.5046590647962005e-9,-4265.806906746357,-82.57866564506885,-12818.0,36267.31715154476,3.2869078485449367e-7,-4.0915558990198557e-7,0.0,-0.0,-2.371477883746435e-9,-3.504339970722197e-9,-8574.78700454752,-191.530146910822,-27501.0,23412.810398239555,6.801603638313855e-7,-2.495994666349414e-7,0.0,-0.0,-2.3700004799855106e-9,-3.504675850949342e-9,-651.3775739741354,-38.43282469001205,-22723.0,11649.720044651927,4.090605631638185e-7,-2.9647436716846206e-7,0.0,-0.0,-2.3700517549224727e-9,-3.504538160011329e-9,3617.793795492928,-69.51384025142967,-15198.0
t111,17196.470314539056,2.057927674361859e-7,-8.440043216768659e-7,0.0,-0.0,-2.3693087765854165e-9,-3.5055324650024643e-9,3606.308407797104,-83.77872169204835,-20719.0,21744.229843188452,2.2426521799476152e-7,-6.457569538867559e-7,0.0,-0.0,-2.3689262209448124e-9,-3.5051754516341597e-9,8914.53197324472,-206.7618160058089,-30452.0,18709.718002853755,2.5129818804668313e-7,-6.805365220166879e-7,0.0,-0.0,-2.3735301637677875e-9,-3.5046604385088875e-9,-5690.809644340697,-121.90835807777944,-12897.0,35847.37979935971,2.4681640288647796e-7,-6.190898880646749e-7,0.0,-0.0,-2.3711314323781495e-9,-3.504326795323805e-9,-7514.531966274561,-167.84783270693646,-28165.0,26313.668182395053,3.316346698215317e-7,-3.955925560037115e-7,0.0,-0.0,-2.371626080148848e-9,-3.504666848539508e-9,-3381.932007839124,-83.736174486009,-22848.0,11370.700953703144,2.3445770510137797e-7,-6.022089143888055e-7,0.0,-0.0,-2.371664684526384e-9,-3.5045388587553e-9,4066.433237412556,-78.13419074193236,-15359.0
t112,18382.84751939247,2.406536302288612e-7,-4.6374459591566103e-7,0.0,-0.0,-2.3656758436561223e-9,-3.505566003328941e-9,3699.083072146108,-85.930591309608,-21996.0,22155.837734303303,3.2149454941048846e-7,-3.13626747040815e-7,0.0,-0.0,-2.364184583922209e-9,-3.5053023470831955e-9,9506.28050762196,-254.11824192731953,-31408.0,18150.889343178016,4.1167511557648036e-7,-3.165299097155359e-7,0.0,-0.0,-2.3699015837562853e-9,-3.504641656628714e-9,-5167.116825062763,-113.77251820438654,-12870.0,33977.321414897124,3.4721352579468194e-7,-3.242675037316406e-7,0.0,-0.0,-2.3666331723285246e-9,-3.504305172116113e-9,-5497.055061697009,-132.26635321716358,-28348.0,29088.784723440454,9.119681507118978e-7,-2.22839498563149e-7,0.0,-0.0,-2.368198000825185e-9,-3.5046369991494018e-9,-6026.937028407246,-171.84769571638884,-22890.0,11880.231269104092,3.7454680416875583e-7,-2.9396367608637657e-7,0.0,-0.0,-2.3678900260414537e-9,-3.5045236962556687e-9,3485.745335398951,-66.97660457761987,-15299.0
