Time_Index,MA_flex_coal_supercritical,MA_old_large_coal_PPA,MA_old_large_coal_PPA_InState,MA_solar_pv,MA_solar_pv_PPA,CT_flex_coal_supercritical,CT_old_large_coal_PPA,CT_old_large_coal_PPA_InState,CT_onshore_wind,CT_solar_pv,ME_flex_coal_supercritical,ME_old_large_coal_PPA,ME_old_large_coal_PPA_InState,ME_onshore_wind,MA_battery,CT_battery,ME_battery
138,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.967575073,0,0.8,0.8,0.8,0.427647233,1,1,1
139,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.947055817,0,0.8,0.8,0.8,0.428736746,1,1,1
140,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.922798336,0,0.8,0.8,0.8,0.413813174,1,1,1
141,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.981649756,0,0.8,0.8,0.8,0.354275286,1,1,1
142,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.987221539,0,0.8,0.8,0.8,0.335782766,1,1,1
143,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.972513497,0,0.8,0.8,0.8,0.419259131,1,1,1
144,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.921534657,0,0.8,0.8,0.8,0.374869168,1,1,1
145,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.942537785,0,0.8,0.8,0.8,0.301030874,1,1,1
146,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.942126811,0,0.8,0.8,0.8,0.325035155,1,1,1
147,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.740993917,0,0.8,0.8,0.8,0.387509257,1,1,1
148,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.56838423,0,0.8,0.8,0.8,0.436268449,1,1,1
149,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.254551947,0,0.8,0.8,0.8,0.409830958,1,1,1
150,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.088092998,0,0.8,0.8,0.8,0.362387031,1,1,1
151,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.153454423,0,0.8,0.8,0.8,0.333725303,1,1,1
152,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.125184193,0,0.8,0.8,0.8,0.27631855,1,1,1
153,0.8,0.8,0.8,0.1883,0.1883,0.8,0.8,0.8,0.232314631,0.1888,0.8,0.8,0.8,0.156356975,1,1,1
154,0.8,0.8,0.8,0.4067,0.4067,0.8,0.8,0.8,0.527668715,0.418,0.8,0.8,0.8,0.096909747,1,1,1
155,0.8,0.8,0.8,0.5478,0.5478,0.8,0.8,0.8,0.643087626,0.5584,0.8,0.8,0.8,0.082197607,1,1,1
156,0.8,0.8,0.8,0.6386,0.6386,0.8,0.8,0.8,0.444231838,0.6543,0.8,0.8,0.8,0.094594836,1,1,1
157,0.8,0.8,0.8,0.6504,0.6504,0.8,0.8,0.8,0.497035325,0.6701,0.8,0.8,0.8,0.102840483,1,1,1
158,0.8,0.8,0.8,0.6311,0.6311,0.8,0.8,0.8,0.564896762,0.647,0.8,0.8,0.8,0.105240457,1,1,1
159,0.8,0.8,0.8,0.5093,0.5093,0.8,0.8,0.8,0.640720606,0.5124,0.8,0.8,0.8,0.067702353,1,1,1
160,0.8,0.8,0.8,0.299,0.299,0.8,0.8,0.8,0.400899559,0.316,0.8,0.8,0.8,0.140837073,1,1,1
161,0.8,0.8,0.8,0.0553,0.0553,0.8,0.8,0.8,0.538941324,0.1148,0.8,0.8,0.8,0.161545038,1,1,1
162,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.923362017,0,0.8,0.8,0.8,0.168319955,1,1,1
163,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.840292275,0,0.8,0.8,0.8,0.248747885,1,1,1
164,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.243614614,0,0.8,0.8,0.8,0.357263148,1,1,1
165,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.643543959,0,0.8,0.8,0.8,0.407699734,1,1,1
166,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.796087563,0,0.8,0.8,0.8,0.559159398,1,1,1
167,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.903208315,0,0.8,0.8,0.8,0.730784357,1,1,1
168,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.935438216,0,0.8,0.8,0.8,0.753751397,1,1,1
169,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.997932076,0,0.8,0.8,0.8,0.818970919,1,1,1
170,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.982208312,0,0.8,0.8,0.8,0.724056244,1,1,1
171,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.986259937,0,0.8,0.8,0.8,0.717351198,1,1,1
172,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.994179308,0,0.8,0.8,0.8,0.723726153,1,1,1
173,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.966724813,0,0.8,0.8,0.8,0.723625481,1,1,1
174,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.938414276,0,0.8,0.8,0.8,0.731772125,1,1,1
175,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.819656253,0,0.8,0.8,0.8,0.790290594,1,1,1
176,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.804335475,0,0.8,0.8,0.8,0.554285526,1,1,1
177,0.8,0.8,0.8,0.2056,0.2056,0.8,0.8,0.8,0.796525359,0.1964,0.8,0.8,0.8,0.616902471,1,1,1
178,0.8,0.8,0.8,0.4097,0.4097,0.8,0.8,0.8,0.6475963,0.35,0.8,0.8,0.8,0.659731388,1,1,1
179,0.8,0.8,0.8,0.5584,0.5584,0.8,0.8,0.8,0.803939998,0.4004,0.8,0.8,0.8,0.512989461,1,1,1
180,0.8,0.8,0.8,0.4656,0.4656,0.8,0.8,0.8,0.813347638,0.5397,0.8,0.8,0.8,0.467998236,1,1,1
181,0.8,0.8,0.8,0.5802,0.5802,0.8,0.8,0.8,0.786184669,0.5759,0.8,0.8,0.8,0.373288602,1,1,1
182,0.8,0.8,0.8,0.5964,0.5964,0.8,0.8,0.8,0.809754848,0.508,0.8,0.8,0.8,0.438009381,1,1,1
183,0.8,0.8,0.8,0.5111,0.5111,0.8,0.8,0.8,0.920710862,0.4839,0.8,0.8,0.8,0.587767482,1,1,1
184,0.8,0.8,0.8,0.3605,0.3605,0.8,0.8,0.8,0.424674869,0.3378,0.8,0.8,0.8,0.65806514,1,1,1
185,0.8,0.8,0.8,0.1202,0.1202,0.8,0.8,0.8,0.673590124,0.1348,0.8,0.8,0.8,0.666335702,1,1,1
186,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.722590208,0,0.8,0.8,0.8,0.702498555,1,1,1
187,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.807032704,0,0.8,0.8,0.8,0.735339999,1,1,1
188,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.794338346,0,0.8,0.8,0.8,0.639792442,1,1,1
189,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.920866907,0,0.8,0.8,0.8,0.592087984,1,1,1
190,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.775906444,0,0.8,0.8,0.8,0.523823261,1,1,1
191,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.790116549,0,0.8,0.8,0.8,0.516953051,1,1,1
192,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.313982964,0,0.8,0.8,0.8,0.425170183,1,1,1
193,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.228863105,0,0.8,0.8,0.8,0.42695722,1,1,1
194,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.186610132,0,0.8,0.8,0.8,0.299720883,1,1,1
195,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.168072969,0,0.8,0.8,0.8,0.244982213,1,1,1
196,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.099481188,0,0.8,0.8,0.8,0.266644388,1,1,1
197,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.07131198,0,0.8,0.8,0.8,0.336548865,1,1,1
198,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.141474232,0,0.8,0.8,0.8,0.403077483,1,1,1
199,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.174716681,0,0.8,0.8,0.8,0.409066558,1,1,1
200,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.109989181,0,0.8,0.8,0.8,0.39652282,1,1,1
201,0.8,0.8,0.8,0.1584,0.1584,0.8,0.8,0.8,0.090794012,0.1776,0.8,0.8,0.8,0.398093283,1,1,1
202,0.8,0.8,0.8,0.3603,0.3603,0.8,0.8,0.8,0.030788897,0.3604,0.8,0.8,0.8,0.361599565,1,1,1
