Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
t42,0.0,0.0,0.0,1790.1982484806367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2042.0087763591903
t43,0.0,0.0,0.0,1936.2239049537302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2188.034432832284
t44,0.0,0.0,0.0,2488.3818186373583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2740.192346515912
t45,0.0,0.0,0.0,3285.2846094496026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3537.0951373281564
t46,0.0,0.0,0.0,4454.407806343226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4706.2183342217795
t47,0.0,0.0,0.0,5921.717808809861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6173.528336688414
t48,737.9207596841188,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7491.84842661485
t49,1573.8451273690225,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8327.772794299754
t50,2102.003263851263,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8855.930930781995
t51,2360.981170684273,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9114.908837615005
t52,2426.9958973452767,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9180.923564276009
t53,2133.4600410080966,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8887.387707938828
t54,1158.4173187988144,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7912.344985729545
t55,0.0,0.0,0.0,5711.946377559131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5963.7569054376845
t56,0.0,0.0,0.0,4628.177009142985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4879.987537021539
t57,0.0,0.0,-7.105427357601002e-15,4559.105066623043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4810.915594501596
t58,0.0,0.0,0.0,4724.899797965591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4976.710325844144
t59,0.0,0.0,0.0,4782.705547954342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5034.516075832896
