Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-97.18128744944956,-83.96392900816528
t214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.34041610447811,-83.96392900816528
t215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.34041610447811,-83.96392900816528
t216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.34041610447811,-83.96392900816528
t217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.34041610447811,-83.96392900816528
t218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.34041610447811,-83.96392900816528
t219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816528
t223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802073,-81.30794949459857,-83.96392900816528
t224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802073,-81.30794949459857,-83.96392900816528
t225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802073,-81.30794949459857,-83.96392900816528
t226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802073,-81.30794949459857,-83.96392900816528
t227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802073,-81.30794949459857,-83.96392900816528
