Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Total
t1473,0.0,11126.320279020756,0.0,0.0,0.0,0.0,2360.0,0.0,18020.55298368594,570.3812772933045,0.0,0.0,0.0,2890.0000000000005,0.0,34967.25454
t1474,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,32101.188017986664,738.4269831302439,0.0,0.0,0.0,1040.4000000000005,0.0,36240.01500111691
t1475,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,37495.71702463435,735.0685374266858,0.0,0.0,1028.3152914046982,1040.4000000000005,0.0,42659.50085346573
t1476,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,37204.794813181856,520.4625846628801,0.0,0.0,2019.7331274863734,1040.4000000000005,0.0,43145.39052533111
t1477,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,37678.5824146902,542.6112563276398,0.0,0.0,1604.4889208998186,1040.4000000000005,0.0,43226.082591917664
t1478,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,36323.71611564002,617.6205811217205,0.0,0.0,2160.2615930278707,1040.4000000000005,0.0,42501.99828978961
t1479,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,34179.20381407591,0.0,0.0,0.0,3465.919979370781,1040.4000000000005,0.0,41045.52379344669
t1480,0.0,5804.051433529739,0.0,0.0,0.0,0.0,2360.0,0.0,22858.173756981705,473.5818394885549,0.0,0.0,0.0,2890.0000000000005,0.0,34385.80703
t1481,0.0,21879.279510896216,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,563.6127690932077,480.0,0.0,7149.210460010586,2890.0000000000005,0.0,35322.10274000001
t1482,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,629.2999520012589,480.0,0.0,3796.8510171136227,2890.0000000000005,0.0,35273.69484
t1483,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,425.7863041545559,480.0,0.0,3760.855744960338,2890.0000000000005,0.0,35034.18592000001
t1484,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,336.84647032065357,480.0,0.0,3279.6350287942355,2890.0000000000005,0.0,34464.02537
t1485,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,267.35815472520386,480.0,0.0,2367.5581743896855,2890.0000000000005,0.0,33482.4602
t1486,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,807.0436519676988,480.0,0.0,383.77862714719413,2890.0000000000005,0.0,32038.36615000001
t1487,0.0,25056.02800168461,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,320.5010283153871,0.0,0.0,0.0,2890.0000000000005,0.0,30626.529029999998
t1488,0.0,24055.119453879524,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,275.6487061204771,0.0,0.0,0.0,2890.0000000000005,0.0,29580.76816
t1489,0.0,23658.44275645258,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,118.82409354742084,0.0,0.0,0.0,2890.0000000000005,0.0,29027.26685
t1490,0.0,23523.609059902563,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,89.06195009743955,0.0,0.0,0.0,2890.0000000000005,0.0,28862.671010000002
t1491,0.0,23617.35380902211,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,96.47663097789145,0.0,0.0,0.0,2890.0000000000005,0.0,28963.83044
t1492,0.0,24145.889107354218,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,81.81249264578169,0.0,0.0,0.0,2890.0000000000005,0.0,29477.7016
t1493,0.0,24886.94762042506,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,122.66733957494054,0.0,0.0,0.0,2890.0000000000005,0.0,30259.614960000003
