Time_Index,NG,west_north_central_naturalgas_ccs90,None,west_north_central_naturalgas_ccs100,west_north_central_uranium
516,3.23,4.32,0,4.45,0.66
517,3.23,4.32,0,4.45,0.66
518,3.23,4.32,0,4.45,0.66
519,3.23,4.32,0,4.45,0.66
520,3.23,4.32,0,4.45,0.66
521,3.23,4.32,0,4.45,0.66
522,3.23,4.32,0,4.45,0.66
523,3.23,4.32,0,4.45,0.66
524,3.23,4.32,0,4.45,0.66
525,3.23,4.32,0,4.45,0.66
526,3.23,4.32,0,4.45,0.66
527,3.23,4.32,0,4.45,0.66
528,3.23,4.32,0,4.45,0.66
529,3.23,4.32,0,4.45,0.66
530,3.23,4.32,0,4.45,0.66
531,3.23,4.32,0,4.45,0.66
532,3.23,4.32,0,4.45,0.66
533,3.23,4.32,0,4.45,0.66
534,3.23,4.32,0,4.45,0.66
535,3.23,4.32,0,4.45,0.66
536,3.23,4.32,0,4.45,0.66
537,3.23,4.32,0,4.45,0.66
538,3.23,4.32,0,4.45,0.66
539,3.23,4.32,0,4.45,0.66
540,3.23,4.32,0,4.45,0.66
541,3.23,4.32,0,4.45,0.66
542,3.23,4.32,0,4.45,0.66
543,3.23,4.32,0,4.45,0.66
544,3.23,4.32,0,4.45,0.66
545,3.23,4.32,0,4.45,0.66
546,3.23,4.32,0,4.45,0.66
547,3.23,4.32,0,4.45,0.66
548,3.23,4.32,0,4.45,0.66
549,3.23,4.32,0,4.45,0.66
550,3.23,4.32,0,4.45,0.66
551,3.23,4.32,0,4.45,0.66
552,3.23,4.32,0,4.45,0.66
553,3.23,4.32,0,4.45,0.66
554,3.23,4.32,0,4.45,0.66
555,3.23,4.32,0,4.45,0.66
556,3.23,4.32,0,4.45,0.66
557,3.23,4.32,0,4.45,0.66
558,3.23,4.32,0,4.45,0.66
559,3.23,4.32,0,4.45,0.66
560,3.23,4.32,0,4.45,0.66
561,3.23,4.32,0,4.45,0.66
562,3.23,4.32,0,4.45,0.66
563,3.23,4.32,0,4.45,0.66
564,3.23,4.32,0,4.45,0.66
565,3.23,4.32,0,4.45,0.66
566,3.23,4.32,0,4.45,0.66
567,3.23,4.32,0,4.45,0.66
568,3.23,4.32,0,4.45,0.66
569,3.23,4.32,0,4.45,0.66
570,3.23,4.32,0,4.45,0.66
571,3.23,4.32,0,4.45,0.66
572,3.23,4.32,0,4.45,0.66
573,3.23,4.32,0,4.45,0.66
574,3.23,4.32,0,4.45,0.66
575,3.23,4.32,0,4.45,0.66
576,3.23,4.32,0,4.45,0.66
577,3.23,4.32,0,4.45,0.66
578,3.23,4.32,0,4.45,0.66
579,3.23,4.32,0,4.45,0.66
580,3.23,4.32,0,4.45,0.66
581,3.23,4.32,0,4.45,0.66
582,3.23,4.32,0,4.45,0.66
583,3.23,4.32,0,4.45,0.66
584,3.23,4.32,0,4.45,0.66
585,3.23,4.32,0,4.45,0.66
586,3.23,4.32,0,4.45,0.66
587,3.23,4.32,0,4.45,0.66
588,3.23,4.32,0,4.45,0.66
589,3.23,4.32,0,4.45,0.66
590,3.23,4.32,0,4.45,0.66
591,3.23,4.32,0,4.45,0.66
592,3.23,4.32,0,4.45,0.66
593,3.23,4.32,0,4.45,0.66
594,3.23,4.32,0,4.45,0.66
595,3.23,4.32,0,4.45,0.66
596,3.23,4.32,0,4.45,0.66
597,3.23,4.32,0,4.45,0.66
598,3.23,4.32,0,4.45,0.66
599,3.23,4.32,0,4.45,0.66
600,3.23,4.32,0,4.45,0.66
601,3.23,4.32,0,4.45,0.66
602,3.23,4.32,0,4.45,0.66
603,3.23,4.32,0,4.45,0.66
604,3.23,4.32,0,4.45,0.66
605,3.23,4.32,0,4.45,0.66
606,3.23,4.32,0,4.45,0.66
607,3.23,4.32,0,4.45,0.66
608,3.23,4.32,0,4.45,0.66
609,3.23,4.32,0,4.45,0.66
610,3.23,4.32,0,4.45,0.66
611,3.23,4.32,0,4.45,0.66
612,3.23,4.32,0,4.45,0.66
613,3.23,4.32,0,4.45,0.66
614,3.23,4.32,0,4.45,0.66
615,3.23,4.32,0,4.45,0.66
616,3.23,4.32,0,4.45,0.66
617,3.23,4.32,0,4.45,0.66
618,3.23,4.32,0,4.45,0.66
619,3.23,4.32,0,4.45,0.66
620,3.23,4.32,0,4.45,0.66
621,3.23,4.32,0,4.45,0.66
622,3.23,4.32,0,4.45,0.66
623,3.23,4.32,0,4.45,0.66
624,3.23,4.32,0,4.45,0.66
625,3.23,4.32,0,4.45,0.66
626,3.23,4.32,0,4.45,0.66
627,3.23,4.32,0,4.45,0.66
628,3.23,4.32,0,4.45,0.66
629,3.23,4.32,0,4.45,0.66
630,3.23,4.32,0,4.45,0.66
631,3.23,4.32,0,4.45,0.66
632,3.23,4.32,0,4.45,0.66
633,3.23,4.32,0,4.45,0.66
634,3.23,4.32,0,4.45,0.66
635,3.23,4.32,0,4.45,0.66
636,3.23,4.32,0,4.45,0.66
637,3.23,4.32,0,4.45,0.66
638,3.23,4.32,0,4.45,0.66
639,3.23,4.32,0,4.45,0.66
640,3.23,4.32,0,4.45,0.66
641,3.23,4.32,0,4.45,0.66
642,3.23,4.32,0,4.45,0.66
643,3.23,4.32,0,4.45,0.66
644,3.23,4.32,0,4.45,0.66
645,3.23,4.32,0,4.45,0.66
646,3.23,4.32,0,4.45,0.66
647,3.23,4.32,0,4.45,0.66
648,3.23,4.32,0,4.45,0.66
649,3.23,4.32,0,4.45,0.66
650,3.23,4.32,0,4.45,0.66
651,3.23,4.32,0,4.45,0.66
652,3.23,4.32,0,4.45,0.66
653,3.23,4.32,0,4.45,0.66
654,3.23,4.32,0,4.45,0.66
655,3.23,4.32,0,4.45,0.66
656,3.23,4.32,0,4.45,0.66
657,3.23,4.32,0,4.45,0.66
658,3.23,4.32,0,4.45,0.66
659,3.23,4.32,0,4.45,0.66
660,3.23,4.32,0,4.45,0.66
661,3.23,4.32,0,4.45,0.66
662,3.23,4.32,0,4.45,0.66
663,3.23,4.32,0,4.45,0.66
664,3.23,4.32,0,4.45,0.66
665,3.23,4.32,0,4.45,0.66
666,3.23,4.32,0,4.45,0.66
667,3.23,4.32,0,4.45,0.66
668,3.23,4.32,0,4.45,0.66
669,3.23,4.32,0,4.45,0.66
670,3.23,4.32,0,4.45,0.66
671,3.23,4.32,0,4.45,0.66
672,3.23,4.32,0,4.45,0.66
673,3.23,4.32,0,4.45,0.66
674,3.23,4.32,0,4.45,0.66
675,3.23,4.32,0,4.45,0.66
676,3.23,4.32,0,4.45,0.66
677,3.23,4.32,0,4.45,0.66
678,3.23,4.32,0,4.45,0.66
679,3.23,4.32,0,4.45,0.66
680,3.23,4.32,0,4.45,0.66
681,3.23,4.32,0,4.45,0.66
682,3.23,4.32,0,4.45,0.66
683,3.23,4.32,0,4.45,0.66
684,3.23,4.32,0,4.45,0.66
685,3.23,4.32,0,4.45,0.66
686,3.23,4.32,0,4.45,0.66
687,3.23,4.32,0,4.45,0.66
688,3.23,4.32,0,4.45,0.66
