region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,CO2_Capture_Rate,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Hydro_level,LDS
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_11.0,landbasedwind_ltrg1_low_40,1,32,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4337.159501,-1,0,-1,0,0,0,835157.055,66290,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16.297,103276.791,0,0,106.213,232926.13,12703.977,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_12.0,landbasedwind_ltrg1_low_40,1,33,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2728.522665,-1,0,-1,0,0,0,835157.055,64129,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15.073,95518.235,0,0,81.597,178943.098,10542.043,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_13.0,landbasedwind_ltrg1_low_40,1,34,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,19479.61153,-1,0,-1,0,0,0,835157.055,64707,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16.835,106684.841,0,0,80.263,176017.207,11120.992,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_14.0,landbasedwind_ltrg1_low_40,1,35,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1514.065467,-1,0,-1,0,0,0,835157.055,66035,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15.72,99620.808,0,0,68.926,151155.814,12448.988,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_15.0,landbasedwind_ltrg1_low_40,1,36,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1765.280603,-1,0,-1,0,0,0,835157.055,68089,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14.696,93131.087,0,0,137.757,302101.32,14502.866,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_1.0,utilitypv_losangeles_low_0_2,1,37,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3097.385896,-1,0,-1,0,0,0,621174.246,45413,7274,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14.124,89506.735,0,0,0.032,69.121,4445.992,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_2.0,utilitypv_losangeles_low_0_2,1,38,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3804.404599,-1,0,-1,0,0,0,621174.246,45995,7274,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10.887,68992.186,0,0,14.726,32294.776,5027.683,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_3.0,utilitypv_losangeles_low_0_2,1,39,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1582.134584,-1,0,-1,0,0,0,621174.246,44821,7274,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11.448,72544.901,0,0,2.319,5086.156,3853.195,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_4.0,utilitypv_losangeles_low_0_2,1,40,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3455.586962,-1,0,-1,0,0,0,621174.246,45370,7274,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.461,53615.158,0,0,15.997,35080.623,4402.777,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_5.0,utilitypv_losangeles_low_0_2,1,41,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3608.965378,-1,0,-1,0,0,0,621174.246,45397,7274,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.826,36918.69,0,0,36.428,79886.448,4429.509,0,0
