Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR
t70,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t71,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t72,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t73,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t74,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t75,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.47499999999998
t76,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t77,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t78,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t79,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t80,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t81,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t82,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t83,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,101.53206242831016,0.0,0.0,62.474999999999994
t84,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,113.17220570507176,0.0,0.0,62.474999999999994
t85,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,113.17220570507176,0.0,0.0,62.474999999999994
t86,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,113.17220570507176,0.0,0.0,62.474999999999994
t87,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,113.17220570507176,0.0,0.0,62.474999999999994
t88,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,113.17220570507176,0.0,0.0,62.474999999999994
t89,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,130.57758728795892,0.0,0.0,62.474999999999994
t90,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,130.57758728795892,0.0,0.0,62.47499999999997
t91,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,130.57758728795892,0.0,0.0,62.474999999999966
t92,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,130.57758728795892,0.0,0.0,62.474999999999994
t93,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.62333989419221,0.0,0.0,62.474999999999994
t94,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.62333989419221,0.0,0.0,62.474999999999994
t95,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.62333989419221,0.0,0.0,62.474999999999994
t96,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.62333989419221,0.0,0.0,62.474999999999994
t97,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t98,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t99,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t100,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t101,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t102,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t103,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,90.31465532139643,0.0,0.0,62.474999999999994
t104,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,94.48469820351028,0.0,0.0,62.474999999999994
t105,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,94.48469820351028,0.0,0.0,62.474999999999994
