,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1387,8074.594597511631,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15096.442420962485
t1388,15411.516404324431,3594.4952651335657,-3427.3525583172877,0.0,-0.0,0.0,0.0,0.0,0.0,-15578.659111140707
t1389,7890.993494467841,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14912.841317918694
t1390,6776.724731167614,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13798.572554618468
t1391,19364.27369875652,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-12342.425875305666
t1392,18123.383485081264,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-11101.53566163041
t1393,16272.264974438243,506.6532903307991,-6515.194533120054,0.0,-0.0,0.0,0.0,0.0,0.0,-10263.72373164899
t1394,16835.010227515377,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-9813.16240406452
t1395,16609.201974346575,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-9587.354150895724
t1396,2512.7473897886093,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9534.595213239463
t1397,2806.0870831574202,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9827.934906608274
t1398,6077.140559083999,5879.617152573604,-1142.2306708772503,0.0,-0.0,0.0,0.0,0.0,0.0,-10814.527040780351
t1399,5624.469532754874,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12646.317356205727
t1400,14734.145427802048,3046.3030113930117,-3975.5448120578417,0.0,-0.0,0.0,0.0,0.0,0.0,-13804.903627137219
t1401,17646.84370472974,1898.0660688417288,-5123.781754609125,0.0,-0.0,0.0,0.0,0.0,0.0,-14421.128018962345
t1402,21915.695923813295,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-14893.848100362442
t1403,22334.60188880401,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-15312.754065353154
t1404,22513.982276835293,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-15492.134453384439
t1405,17430.59885305192,2558.046982565126,-4463.800840885728,0.0,-0.0,0.0,0.0,0.0,0.0,-15524.844994731322
t1406,17918.182051985845,2339.052083796607,-4682.795739654247,0.0,-0.0,0.0,0.0,0.0,0.0,-15574.438396128206
t1407,16997.405262683995,2751.429845180335,-4270.417978270518,0.0,-0.0,0.0,0.0,0.0,0.0,-15478.417129593812
t1408,17739.508727669978,2307.043189345141,-4714.8046341057125,0.0,-0.0,0.0,0.0,0.0,0.0,-15331.747282909406
t1409,16008.742866781724,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-15424.603013184425
t1410,8650.722196717998,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15672.570020168852
t1411,8986.269040211819,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16008.116863662672
t1412,20889.828036150597,1148.679142589292,-5873.168680861561,0.0,-0.0,0.0,0.0,0.0,0.0,-16165.338497878327
t1413,16688.877213800544,2914.6628890236243,-4107.184934427229,0.0,-0.0,0.0,0.0,0.0,0.0,-15496.35516839694
t1414,17260.18610140379,2067.653348559387,-4954.194474891467,0.0,-0.0,0.0,0.0,0.0,0.0,-14373.64497507171
t1415,15731.822486777157,2104.8169949694284,-4917.0308284814255,0.0,-0.0,0.0,0.0,0.0,0.0,-12919.608653265159
t1416,14032.399213911314,2304.5385194772157,-4717.309303973638,0.0,-0.0,0.0,0.0,0.0,0.0,-11619.628429414894
t1417,11679.181349197628,3040.0827330277175,-3981.765090423136,0.0,-0.0,0.0,0.0,0.0,0.0,-10737.498991802211
