Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
t516,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t517,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t518,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t519,0.0,0.0,0.0,0.0,0.0,2186.1759031098495,2186.1759031098495
t520,0.0,0.0,0.0,0.0,0.0,6699.705276991731,6699.705276991731
t521,0.0,0.0,0.0,0.0,0.0,5235.301030066625,5235.301030066625
t522,0.0,0.0,0.0,0.0,0.0,3802.9938385240757,3802.9938385240757
t523,0.0,0.0,0.0,0.0,0.0,3802.9938385240757,3802.9938385240757
t524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t527,0.0,0.0,0.0,0.0,0.0,208.4985733905107,208.4985733905107
t528,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t530,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t531,0.0,0.0,0.0,0.0,0.0,584.1398535972982,584.1398535972982
t532,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t533,0.0,0.0,0.0,0.0,0.0,1725.5579633352083,1725.5579633352083
t534,0.0,0.0,0.0,0.0,0.0,4731.0713040812025,4731.0713040812025
t535,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t536,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t537,0.0,0.0,0.0,0.0,0.0,2603.3565795305044,2603.3565795305044
t538,0.0,0.0,0.0,0.0,0.0,5531.409358848684,5531.409358848684
t539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t540,0.0,0.0,0.0,0.0,0.0,5979.895953167234,5979.895953167234
t541,0.0,0.0,0.0,0.0,0.0,5840.634966810247,5840.634966810247
t542,0.0,0.0,0.0,0.0,0.0,5922.185374323646,5922.185374323646
