Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
t156,7669.93467237224,3113.907756522015,1915.3579822280483,0.0,0.0,1948.799588877697,14648.0
t157,7669.93467237224,4213.422004214523,2037.1034743669493,0.0,0.0,495.53984904628743,14416.0
t158,7564.429372376685,4322.414837107265,2258.1557905160494,0.0,0.0,0.0,14145.0
t159,7669.93467237224,3022.535774235194,2354.1352657165007,0.0,0.0,970.3942876760641,14017.0
t160,7669.93467237224,1124.2720963030458,2828.551602005827,0.0,0.0,2508.2416293188876,14131.0
t161,7669.93467237224,0.0,4714.051277788446,0.0,0.0,2669.014049839315,15053.0
t162,7669.93467237224,0.0,6643.498722898801,0.0,0.0,1996.5666047289571,16309.999999999998
t163,7669.93467237224,0.0,8593.259113992446,0.0,0.0,42.80621363531534,16306.0
t164,5648.020243695054,0.0,10291.979756304945,0.0,0.0,0.0,15940.0
t165,2687.2168746094617,0.0,12750.783125390539,0.0,0.0,0.0,15438.0
t166,0.0,0.0,15744.948813783474,0.0,0.0,0.0,15744.948813783474
t167,0.0,0.0,18149.312717768855,0.0,0.0,844.5129086807957,18993.825626449652
t168,0.0,0.0,15004.997761681807,0.0,0.0,2635.425030884523,17640.42279256633
t169,0.0,0.0,17588.870895175696,0.0,0.0,0.0,17588.870895175696
t170,0.0,0.0,3165.9468060287563,0.0,0.0,7021.847823450854,10187.79462947961
t171,0.0,0.0,17034.039134846465,0.0,0.0,0.0,17034.039134846465
t172,0.0,0.0,13590.627080202346,0.0,0.0,1696.9534319538377,15287.580512156184
t173,0.0,0.0,3016.4971736168445,0.0,0.0,7021.847823450854,10038.3449970677
t174,0.0,0.0,3309.7920772252232,0.0,0.0,7021.847823450854,10331.639900676077
t175,0.0,0.0,17840.133089668223,0.0,0.0,0.0,17840.133089668223
t176,0.0,4072.6626697454426,319.7051822635792,0.0,0.0,7021.847823450854,11414.215675459876
t177,0.0,13647.968161048326,0.0,0.0,0.0,2789.155134620197,16437.123295668523
t178,0.0,15060.52278346639,0.0,0.0,0.0,2336.008138308843,17396.530921775233
t179,0.0,14725.466165351532,0.0,0.0,0.0,2608.6182201558977,17334.08438550743
t180,0.0,14251.906474371171,0.0,0.0,0.0,2880.8923533439083,17132.79882771508
t181,0.0,15180.528594888328,4779.921154623916,0.0,0.0,0.0,19960.449749512245
t182,0.0,17079.6288094713,2697.745140336345,0.0,0.0,0.0,19777.373949807647
t183,0.0,19245.61933213972,0.0,0.0,0.0,200.96012475504034,19446.57945689476
t184,0.0,13861.197668946836,0.0,0.0,0.0,2928.1982139480237,16789.39588289486
t185,0.0,2493.373682039408,11339.476084874,0.0,0.0,3218.853984926778,17051.703751840185
t186,0.0,0.0,15020.974344588116,0.0,0.0,3218.853984926778,18239.828329514894
t187,0.0,0.0,14831.360123465505,0.0,0.0,3218.853984926778,18050.214108392283
t188,0.0,0.0,6531.365715904528,0.0,0.0,7021.847823450854,13553.213539355382
t189,0.0,0.0,6180.159079736533,0.0,0.0,7021.847823450854,13202.006903187386
t190,0.0,0.0,5610.382356166113,0.0,0.0,7021.847823450854,12632.230179616967
t191,0.0,0.0,9849.16319074737,0.0,0.0,4685.2884090616635,14534.451599809032
t192,0.0,0.0,18219.36153191345,0.0,0.0,0.0,18219.36153191345
t193,0.0,0.0,17468.377129043587,0.0,0.0,0.0,17468.377129043587
t194,0.0,0.0,17114.36831226787,0.0,0.0,0.0,17114.36831226787
t195,0.0,0.0,16986.40206451517,0.0,0.0,0.0,16986.40206451517
t196,0.0,0.0,10583.254322156869,0.0,0.0,3218.853984926778,13802.108307083647
