Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1235.9553860891992
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1902.9213800044022
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2677.132960126622
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3521.008339836306
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3521.008339836306
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3521.008339836306
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3521.008339836306
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4389.632700978378
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4389.632700978378
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4955.731784680155
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4955.731784680155
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4904.1845857664275
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4890.950279873922
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4906.784011603658
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4993.801053536947
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5165.501198253094
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5345.308351132532
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5554.847144457128
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5683.298024609541
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5225.133554162275
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3808.978218115668
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2430.094936404797
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1375.8514741974373
